system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
27363107B79734749620930_0,27363107B79734749620930,1,Cabo Delgado,4971.76904296875,2110.89013671875,0,0,0,0,3,0,0,MOZ,3076.903076171875,2244.02294921875,0,0,1361986.375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B79734749620930_1,27363107B79734749620930,1,Cabo Delgado,10079.9775390625,12681.0126953125,0,0,0,0,8,0,0,MOZ,90670.453125,333855.65625,0,0,2207156.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B79734749620930_2,27363107B79734749620930,1,Cabo Delgado,7697.681640625,11967.4619140625,0,0,0,0,1,0,0,MOZ,107686.1171875,188019.78125,0,0,2207156.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B79734749620930_3,27363107B79734749620930,1,Cabo Delgado,17777.66015625,26200.09375,0,0,0,0,9,0,0,MOZ,198356.5625,467832.6875,0,0,2207156.75,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B75878915981920_0,27363107B75878915981920,1,Nampula,2575.73095703125,2783.835693359375,0,0,0,0,2,0,0,MOZ,60058.203125,96132.3359375,0,0,3209938.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B75878915981920_1,27363107B75878915981920,1,Nampula,3856.962646484375,4960.78076171875,0,0,0,0,5,0,0,MOZ,404847.46875,288459.25,0,0,6026922,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B75878915981920_2,27363107B75878915981920,1,Nampula,510.4498291015625,1982.4178466796875,0,0,0,0,3,0,0,MOZ,25396.361328125,169369.9375,0,0,6026922,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B75878915981920_3,27363107B75878915981920,1,Nampula,4367.41259765625,6943.19873046875,0,0,0,0,8,0,0,MOZ,430243.84375,457829.1875,0,0,6026922,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B36451567951769_0,27363107B36451567951769,1,Niassa,43240.09375,6292.71044921875,0,0,0,0,3,0,0,MOZ,39136.0546875,10698.9267578125,0,0,861605,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B36451567951769_1,27363107B36451567951769,1,Niassa,56702.07421875,14142.4072265625,0,0,0,0,10,0,0,MOZ,139254.59375,133571.078125,0,0,2199782.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B36451567951769_2,27363107B36451567951769,1,Niassa,8995.7783203125,3196.96484375,0,0,0,0,1,0,0,MOZ,206036.5,186599.984375,0,0,2199782.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B36451567951769_3,27363107B36451567951769,1,Niassa,65690.7109375,13068.4130859375,0,0,0,0,11,0,0,MOZ,344857.65625,253619.46875,0,0,2199782.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B41711230736845_0,27363107B41711230736845,1,Gaza,0,0,8120.6328125,5826.9130859375,0,0,0,2,0,MOZ,0,0,9170.359375,12213.0732421875,1103764,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27363107B41711230736845_1,27363107B41711230736845,1,Gaza,0,0,18953.30859375,9239.876953125,0,0,0,3,0,MOZ,0,0,40696.4921875,59959.07421875,1537627,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
