system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
64602211B19416274064143_0,64602211B19416274064143,1,Adrar,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,74490.3359375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B19416274064143_1,64602211B19416274064143,1,Adrar,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,63173.3359375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B19416274064143_2,64602211B19416274064143,1,Adrar,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,63173.3359375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B19416274064143_3,64602211B19416274064143,1,Adrar,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,63173.3359375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B24757493091095_0,64602211B24757493091095,1,Assaba,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,256471.90625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B24757493091095_1,64602211B24757493091095,1,Assaba,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,396970.625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B24757493091095_2,64602211B24757493091095,1,Assaba,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,396970.625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B24757493091095_3,64602211B24757493091095,1,Assaba,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,396970.625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B32818049823770_0,64602211B32818049823770,1,Brakna,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,271429.875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B32818049823770_1,64602211B32818049823770,1,Brakna,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,379743.6875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
