system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
64602211B19416274064143_0,64602211B19416274064143,1,Adrar,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,69757.828125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B19416274064143_1,64602211B19416274064143,1,Adrar,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,60665.1640625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B19416274064143_2,64602211B19416274064143,1,Adrar,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,60665.1640625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B19416274064143_3,64602211B19416274064143,1,Adrar,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,60665.1640625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B24757493091095_0,64602211B24757493091095,1,Assaba,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,240357.046875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B24757493091095_1,64602211B24757493091095,1,Assaba,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,383092.9375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B24757493091095_2,64602211B24757493091095,1,Assaba,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,383092.9375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B24757493091095_3,64602211B24757493091095,1,Assaba,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,383092.9375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B32818049823770_0,64602211B32818049823770,1,Brakna,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,246943.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B32818049823770_1,64602211B32818049823770,1,Brakna,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,361099.4375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B32818049823770_2,64602211B32818049823770,1,Brakna,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,361099.4375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
64602211B32818049823770_3,64602211B32818049823770,1,Brakna,0,0,0,0,0,0,0,0,0,MRT,0,0,0,0,361099.4375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
