system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
38925275B86793894515453_0,38925275B86793894515453,1,Province 1,2136.329833984375,2359.943115234375,2489.62939453125,1402.4188232421875,0,14.8689603805542,3,2,3,NPL,7952.83837890625,227020.65625,55035.2421875,115241.515625,4183833.5,0,1060.228759765625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B86793894515453_1,38925275B86793894515453,1,Province 1,2233.21630859375,2892.65087890625,2489.62939453125,1402.4188232421875,0,0,6,2,3,NPL,254751.484375,1199926.125,5387.0498046875,23654.529296875,8249973,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B86793894515453_2,38925275B86793894515453,1,Province 1,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,8249973,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B86793894515453_3,38925275B86793894515453,1,Province 1,2233.21630859375,2892.65087890625,2489.62939453125,1402.4188232421875,0,0,6,2,3,NPL,254751.484375,1199926.125,5387.0498046875,23654.529296875,8249973,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B32852473043531_0,38925275B32852473043531,1,Province 2,330.76751708984375,746.55670166015625,147.52798461914062,308.744873046875,0,3.6395010948181152,3,1,3,NPL,300.1520080566406,156455.453125,5.270583629608154,3513.774169921875,3864288.75,0,348.46160888671875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B32852473043531_1,38925275B32852473043531,1,Province 2,483.7291564941406,1019.5661010742188,147.52798461914062,308.744873046875,0,0,5,1,3,NPL,76569.0234375,878890.3125,83.75067901611328,48969.27734375,8018597,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B32852473043531_2,38925275B32852473043531,1,Province 2,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,8018597,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B32852473043531_3,38925275B32852473043531,1,Province 2,483.7291564941406,1019.5661010742188,147.52798461914062,308.744873046875,0,0,5,1,3,NPL,76569.0234375,878890.3125,83.75067901611328,48969.27734375,8018597,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B1624743257395_0,38925275B1624743257395,1,Bagmati,18.021896362304688,1054.3177490234375,2679.5107421875,3458.321533203125,0,12.365276336669922,4,4,2,NPL,1052.75244140625,302232.1875,34393.40625,1296787.875,4591106,0,47.62122344970703,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B1624743257395_1,38925275B1624743257395,1,Bagmati,1947.36669921875,1847.2135009765625,2679.5107421875,3458.321533203125,0,0,7,4,2,NPL,118400.421875,528657.875,86293.65625,8088582,10706119,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B1624743257395_2,38925275B1624743257395,1,Bagmati,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,10706119,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B1624743257395_3,38925275B1624743257395,1,Bagmati,1947.36669921875,1847.2135009765625,2679.5107421875,3458.321533203125,0,0,7,4,2,NPL,118400.421875,528657.875,86293.65625,8088582,10706119,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B44970447822435_0,38925275B44970447822435,1,Gandaki,9838.3056640625,3684.719482421875,72.01282501220703,626.58856201171875,0,0,4,1,1,NPL,105388.8515625,525177.125,199.0919189453125,192570.765625,2768389.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B44970447822435_1,38925275B44970447822435,1,Gandaki,9838.3056640625,3684.719482421875,72.01282501220703,626.58856201171875,67.27208709716797,571.36602783203125,4,1,3,NPL,95292.71875,418683.71875,255.1742706298828,256929.1875,2311997,142539.171875,155419.53125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B44970447822435_2,38925275B44970447822435,1,Gandaki,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,2311997,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B44970447822435_3,38925275B44970447822435,1,Gandaki,9838.3056640625,3684.719482421875,72.01282501220703,626.58856201171875,67.27208709716797,571.36602783203125,4,1,3,NPL,95292.71875,418683.71875,255.1742706298828,256929.1875,2311997,142539.171875,155419.53125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B41812398098692_0,38925275B41812398098692,1,Lumbini,680.51605224609375,1083.9185791015625,865.45806884765625,1061.6514892578125,0,0,3,2,1,NPL,5560.28759765625,171707.609375,427.9022216796875,330473.15625,3776888.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B41812398098692_1,38925275B41812398098692,1,Lumbini,697.21881103515625,2044.0919189453125,1428.2423095703125,2032.0394287109375,0,0,5,3,1,NPL,17234.419921875,327381.53125,28046.6484375,651810.5625,5226102.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B41812398098692_2,38925275B41812398098692,1,Lumbini,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,5226102.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B41812398098692_3,38925275B41812398098692,1,Lumbini,697.21881103515625,2044.0919189453125,1428.2423095703125,2032.0394287109375,0,0,5,3,1,NPL,17234.419921875,327381.53125,28046.6484375,651810.5625,5226102.5,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B76883637113030_0,38925275B76883637113030,1,Karnali,194.266845703125,3351.043701171875,3678.9853515625,3843.337890625,0,0,4,3,0,NPL,711.962646484375,205814.171875,5186.0048828125,170870.453125,2263033.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B76883637113030_1,38925275B76883637113030,1,Karnali,194.266845703125,3856.16650390625,3684.148193359375,4108.70068359375,0,0,6,4,0,NPL,1087.538330078125,123736.328125,8211.2802734375,123327.0078125,1486914.375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B76883637113030_2,38925275B76883637113030,1,Karnali,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,1486914.375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B76883637113030_3,38925275B76883637113030,1,Karnali,194.266845703125,3856.16650390625,3684.148193359375,4108.70068359375,0,0,6,4,0,NPL,1087.538330078125,123736.328125,8211.2802734375,123327.0078125,1486914.375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B37881943378158_0,38925275B37881943378158,1,Sudurpaschim,373.45263671875,1177.767822265625,207.70176696777344,1198.9932861328125,0,0,2,2,0,NPL,1095.2769775390625,119788.078125,1614.3350830078125,187103.59375,1612796.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B37881943378158_1,38925275B37881943378158,1,Sudurpaschim,2540.38623046875,5298.73193359375,207.70176696777344,1198.9932861328125,0,0,5,2,0,NPL,525426.125,1822802.375,1967.2080078125,309655.8125,4521938,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B37881943378158_2,38925275B37881943378158,1,Sudurpaschim,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,4521938,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B37881943378158_3,38925275B37881943378158,1,Sudurpaschim,2540.38623046875,5298.73193359375,207.70176696777344,1198.9932861328125,0,0,5,2,0,NPL,525426.125,1822802.375,1967.2080078125,309655.8125,4521938,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
