system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
602756B50041453479655_0,602756B50041453479655,1,Autonomous Region of Bougainville,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,171170.34375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B50041453479655_1,602756B50041453479655,1,Autonomous Region of Bougainville,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,288009.9375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B50041453479655_2,602756B50041453479655,1,Autonomous Region of Bougainville,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,288009.9375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B50041453479655_3,602756B50041453479655,1,Autonomous Region of Bougainville,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,288009.9375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93864696482497_0,602756B93864696482497,1,Central Province,0,0,0,0,64.830841064453125,1476.1541748046875,0,0,4,PNG,0,0,0,0,177716.03125,97.89060974121094,24968.53515625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93864696482497_1,602756B93864696482497,1,Central Province,0,0,0,0,66.27335357666016,1687.12451171875,0,0,5,PNG,0,0,0,0,278808.4375,153.07318115234375,43068.3125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93864696482497_2,602756B93864696482497,1,Central Province,0,0,0,0,39.66945266723633,635.69573974609375,0,0,1,PNG,0,0,0,0,278808.4375,10.840343475341797,3494.724853515625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93864696482497_3,602756B93864696482497,1,Central Province,0,0,0,0,105.94280242919922,2322.8203125,0,0,6,PNG,0,0,0,0,278808.4375,163.9135284423828,46563.0390625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B7407698878652_0,602756B7407698878652,1,Chimbu (Simbu) Province,0,0,0,0,904.649169921875,1083.92822265625,0,0,2,PNG,0,0,0,0,272866,746.5001220703125,5599.9365234375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B7407698878652_1,602756B7407698878652,1,Chimbu (Simbu) Province,0,0,0,0,904.649169921875,1083.92822265625,0,0,2,PNG,0,0,0,0,601922.25,1813.4423828125,10601.5009765625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B7407698878652_2,602756B7407698878652,1,Chimbu (Simbu) Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,601922.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B7407698878652_3,602756B7407698878652,1,Chimbu (Simbu) Province,0,0,0,0,904.649169921875,1083.92822265625,0,0,2,PNG,0,0,0,0,601922.25,1813.4423828125,10601.5009765625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B6474807440256_0,602756B6474807440256,1,East New Britain Province,0,0,0,0,39.20293045043945,967.9423828125,0,0,4,PNG,0,0,0,0,220455.453125,34.054962158203125,4181.12451171875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B6474807440256_1,602756B6474807440256,1,East New Britain Province,0,0,0,0,84.7721176147461,1468.0045166015625,0,0,5,PNG,0,0,0,0,320574.125,213.30262756347656,7438.34521484375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B6474807440256_2,602756B6474807440256,1,East New Britain Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,320574.125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B6474807440256_3,602756B6474807440256,1,East New Britain Province,0,0,0,0,84.7721176147461,1468.0045166015625,0,0,5,PNG,0,0,0,0,320574.125,213.30262756347656,7438.34521484375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B46774983793805_0,602756B46774983793805,1,East Sepik Province,0,0,0,0,2282.02685546875,2952.6103515625,0,0,2,PNG,0,0,0,0,354374.53125,830.7120361328125,6090.02880859375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
