system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
86620642B69119058579524_0,86620642B69119058579524,1,Abyei PCA,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,11634.3173828125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B69119058579524_1,86620642B69119058579524,1,Abyei PCA,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,29937.31640625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B69119058579524_2,86620642B69119058579524,1,Abyei PCA,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,29937.31640625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B69119058579524_3,86620642B69119058579524,1,Abyei PCA,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,29937.31640625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B80352504723135_0,86620642B80352504723135,1,Gezira,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,3221457,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B80352504723135_1,86620642B80352504723135,1,Gezira,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,4734209.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B80352504723135_2,86620642B80352504723135,1,Gezira,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,4734209.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B80352504723135_3,86620642B80352504723135,1,Gezira,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,4734209.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B86272532082738_0,86620642B86272532082738,1,Blue Nile,0,0,69.22002410888672,779.1639404296875,0,0,0,1,0,SDN,0,0,3.4637739658355713,34.59001922607422,670553.3125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B86272532082738_1,86620642B86272532082738,1,Blue Nile,0,0,69.22002410888672,779.1639404296875,0,0,0,1,0,SDN,0,0,258.0806579589844,36.69718551635742,1288361.625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B86272532082738_2,86620642B86272532082738,1,Blue Nile,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,1288361.625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B86272532082738_3,86620642B86272532082738,1,Blue Nile,0,0,69.22002410888672,779.1639404296875,0,0,0,1,0,SDN,0,0,258.0806579589844,36.69718551635742,1288361.625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B67241023181859_0,86620642B67241023181859,1,Central Darfur,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,598630.625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B67241023181859_1,86620642B67241023181859,1,Central Darfur,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,645125.0625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B67241023181859_2,86620642B67241023181859,1,Central Darfur,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,645125.0625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B67241023181859_3,86620642B67241023181859,1,Central Darfur,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,645125.0625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B42892304507154_0,86620642B42892304507154,1,East Darfur,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,948210,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B42892304507154_1,86620642B42892304507154,1,East Darfur,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,2266174.75,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B42892304507154_2,86620642B42892304507154,1,East Darfur,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,2266174.75,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B42892304507154_3,86620642B42892304507154,1,East Darfur,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,2266174.75,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B51630913908628_0,86620642B51630913908628,1,Gedaref,0,0,2586.08984375,1208.7841796875,0,0,0,1,0,SDN,0,0,16819.404296875,35157.625,1300583.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B51630913908628_1,86620642B51630913908628,1,Gedaref,0,0,2586.08984375,1208.7841796875,0,0,0,1,0,SDN,0,0,30811.9609375,42176.33203125,1625787.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B51630913908628_2,86620642B51630913908628,1,Gedaref,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,1625787.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B51630913908628_3,86620642B51630913908628,1,Gedaref,0,0,2586.08984375,1208.7841796875,0,0,0,1,0,SDN,0,0,30811.9609375,42176.33203125,1625787.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B34113093603931_0,86620642B34113093603931,1,Kassala,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,1318972.125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B34113093603931_1,86620642B34113093603931,1,Kassala,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,2142164,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B34113093603931_2,86620642B34113093603931,1,Kassala,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,2142164,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B34113093603931_3,86620642B34113093603931,1,Kassala,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,2142164,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B69351377969837_0,86620642B69351377969837,1,Khartoum,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,4419231,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B69351377969837_1,86620642B69351377969837,1,Khartoum,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,7368615,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B69351377969837_2,86620642B69351377969837,1,Khartoum,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,7368615,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B69351377969837_3,86620642B69351377969837,1,Khartoum,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,7368615,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B32784125865646_0,86620642B32784125865646,1,North Darfur,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,1610674.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
86620642B32784125865646_1,86620642B32784125865646,1,North Darfur,0,0,0,0,0,0,0,0,0,SDN,0,0,0,0,3610374.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
