system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
71046170B16569890219484_0,71046170B16569890219484,1,Dakar,0,4.995562553405762,0,46.10850143432617,0,0,1,1,0,SEN,0,7575.6396484375,0,522986.84375,2214287.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B16569890219484_1,71046170B16569890219484,1,Dakar,5.521550178527832,124.43934631347656,0,46.10850143432617,0,0,3,1,0,SEN,24750.095703125,2236888.75,0,828719.375,3572771.25,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B16569890219484_2,71046170B16569890219484,1,Dakar,0,0,0,0,0,16.709367752075195,0,0,1,SEN,0,0,0,0,3572771.25,0,6252.45458984375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B16569890219484_3,71046170B16569890219484,1,Dakar,5.521550178527832,124.43934631347656,0,46.10850143432617,0,16.709367752075195,3,1,1,SEN,24750.095703125,2236888.75,0,828719.375,3572771.25,0,6252.45458984375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89912390768536_0,71046170B89912390768536,1,Diourbel,0,0,0,0,0,0,0,0,0,SEN,0,0,0,0,1086932.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89912390768536_1,71046170B89912390768536,1,Diourbel,0,0,0,0,0,0,0,0,0,SEN,0,0,0,0,1862278.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89912390768536_2,71046170B89912390768536,1,Diourbel,0,0,0,0,76.38903045654297,291.23773193359375,0,0,5,SEN,0,0,0,0,1862278.5,258.7408752441406,6740.05712890625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89912390768536_3,71046170B89912390768536,1,Diourbel,0,0,0,0,76.38903045654297,291.23773193359375,0,0,5,SEN,0,0,0,0,1862278.5,258.7408752441406,6740.05712890625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B84527172065489_0,71046170B84527172065489,1,Fatick,0,0,136.27291870117188,779.381591796875,1209.7325439453125,1303.208251953125,0,1,1,SEN,0,0,289.9048156738281,62781.08203125,510146.1875,94163.5390625,179869.265625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B84527172065489_1,71046170B84527172065489,1,Fatick,260.3487243652344,754.0196533203125,191.35671997070312,887.97564697265625,318.56439208984375,1016.4956665039062,4,2,1,SEN,4151.66552734375,131507.015625,626.03094482421875,119877.640625,878366.8125,43396.7265625,244464.265625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B84527172065489_2,71046170B84527172065489,1,Fatick,0,0,0,0,351.1017150878906,2021.38671875,0,0,9,SEN,0,0,0,0,878366.8125,22870.45703125,288856.5625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B84527172065489_3,71046170B84527172065489,1,Fatick,260.3487243652344,754.0196533203125,191.35671997070312,887.97564697265625,573.912353515625,1677.793212890625,4,2,10,SEN,4151.66552734375,131507.015625,626.03094482421875,119877.640625,878366.8125,61109.89453125,274065.3125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B9856693808493_0,71046170B9856693808493,1,Kaffrine,0,0,0,0,0,0,0,0,0,SEN,0,0,0,0,408581.15625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B9856693808493_1,71046170B9856693808493,1,Kaffrine,0,0,0,0,0,0,0,0,0,SEN,0,0,0,0,701151.125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B9856693808493_2,71046170B9856693808493,1,Kaffrine,0,0,0,0,2422.277587890625,6027.56591796875,0,0,16,SEN,0,0,0,0,701151.125,18222.265625,500321.0625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B9856693808493_3,71046170B9856693808493,1,Kaffrine,0,0,0,0,2422.277587890625,6027.56591796875,0,0,16,SEN,0,0,0,0,701151.125,18222.265625,500321.0625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B19471834738959_0,71046170B19471834738959,1,Kaolack,0,0,0,0,0,40.299232482910156,0,0,1,SEN,0,0,0,0,688657.75,0,1185.364013671875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B19471834738959_1,71046170B19471834738959,1,Kaolack,0,0,0,0,0,40.299232482910156,0,0,1,SEN,0,0,0,0,1182045.875,0,3030.673583984375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B19471834738959_2,71046170B19471834738959,1,Kaolack,0,0,0,0,88.93009185791016,1615.414794921875,0,0,11,SEN,0,0,0,0,1182045.875,1049.640380859375,215293.671875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B19471834738959_3,71046170B19471834738959,1,Kaolack,0,0,0,0,88.93009185791016,1650.1556396484375,0,0,12,SEN,0,0,0,0,1182045.875,1049.640380859375,217962.625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B66864032803639_0,71046170B66864032803639,1,Kolda,0,0,562.52996826171875,928.57708740234375,0,9.931513786315918,0,1,1,SEN,0,0,710.35791015625,31207.46484375,479639.875,0,3155.2529296875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B66864032803639_1,71046170B66864032803639,1,Kolda,0,0,562.52996826171875,928.57708740234375,0,9.931513786315918,0,1,1,SEN,0,0,1237.753662109375,53831.4921875,823432.125,0,5463.173828125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B66864032803639_2,71046170B66864032803639,1,Kolda,0,0,0,0,2014.83447265625,7094.1875,0,0,15,SEN,0,0,0,0,823432.125,34511.71875,547563.5625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B66864032803639_3,71046170B66864032803639,1,Kolda,0,0,562.52996826171875,928.57708740234375,1914.55859375,6612.67919921875,0,1,16,SEN,0,0,1237.753662109375,53831.4921875,823432.125,34506.0703125,507529.3125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B63374102885919_0,71046170B63374102885919,1,Louga,0,3.3704662322998047,1.85562264919281,196.8106231689453,0,0,2,1,1,SEN,0,0.02007265016436577,668.18365478515625,13901.654296875,632112.0625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B63374102885919_1,71046170B63374102885919,1,Louga,0,3.3704662322998047,1.85562264919281,196.8106231689453,0,0,2,1,1,SEN,0,7.910280227661133,1324.3238525390625,23672.291015625,1086674.125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B63374102885919_2,71046170B63374102885919,1,Louga,0,60.43378829956055,0,0,8163.19189453125,7391.1806640625,1,0,20,SEN,0,2850.49072265625,0,0,1086674.125,65558.2890625,159465.1875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B63374102885919_3,71046170B63374102885919,1,Louga,0,63.804256439208984,1.85562264919281,196.8106231689453,8159.953125,7391.1806640625,3,1,21,SEN,0,2858.40087890625,1324.3238525390625,23672.291015625,1086674.125,65550.40625,159465.1875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B85295751834134_0,71046170B85295751834134,1,Matam,10286.8330078125,4405.08203125,0,0,0,0,2,0,0,SEN,16854.38671875,14877.6875,0,0,424344.53125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B85295751834134_1,71046170B85295751834134,1,Matam,10286.8330078125,4405.08203125,0,0,0,0,2,0,0,SEN,24003.44140625,24540.861328125,0,0,724399.125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B85295751834134_2,71046170B85295751834134,1,Matam,0,0,0,0,3868.168701171875,3301.0771484375,0,0,11,SEN,0,0,0,0,724399.125,23076.4921875,83028.734375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B85295751834134_3,71046170B85295751834134,1,Matam,10286.8330078125,4405.08203125,0,0,2490.42724609375,1267.96142578125,2,0,11,SEN,24003.44140625,24540.861328125,0,0,724399.125,18035.0390625,75046.453125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B37999982332216_0,71046170B37999982332216,1,Saint Louis,1592.6806640625,1282.5650634765625,147.1066436767578,689.49591064453125,0,61.06676483154297,2,2,3,SEN,4461.61376953125,77900.8828125,1492.97607421875,24368.041015625,638434,0,21809.78515625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B37999982332216_1,71046170B37999982332216,1,Saint Louis,1594.8426513671875,1590.0697021484375,147.1066436767578,689.49591064453125,0,61.06676483154297,3,2,3,SEN,8940.9921875,147418.8125,2775.92041015625,42707.80078125,1095962.25,0,31155.623046875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B37999982332216_2,71046170B37999982332216,1,Saint Louis,486.1723327636719,1013.8880615234375,0,0,2677.838623046875,4510.01220703125,1,0,11,SEN,2480.3876953125,55606.59375,0,0,1095962.25,19788.943359375,441959.21875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B37999982332216_3,71046170B37999982332216,1,Saint Louis,2081.014892578125,2302.42431640625,147.1066436767578,689.49591064453125,2595.95751953125,3822.356201171875,4,2,14,SEN,11421.3798828125,194645.765625,2775.92041015625,42707.80078125,1095962.25,19370.69921875,305674.90625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B19178449543377_0,71046170B19178449543377,1,Sedhiou,0,0,0,0,0,0,0,0,0,SEN,0,0,0,0,327634.65625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B19178449543377_1,71046170B19178449543377,1,Sedhiou,9.544118881225586,496.1880798339844,0,0,0,0,2,0,0,SEN,1665.9329833984375,72529.40625,0,0,562639.8125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B19178449543377_2,71046170B19178449543377,1,Sedhiou,0,0,0,0,688.30194091796875,3115.7001953125,0,0,15,SEN,0,0,0,0,562639.8125,2259.593994140625,342514.375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B19178449543377_3,71046170B19178449543377,1,Sedhiou,9.544118881225586,496.1880798339844,0,0,642.3924560546875,2684.991455078125,2,0,15,SEN,1665.9329833984375,72529.40625,0,0,562639.8125,1918.1048583984375,272357.59375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B85662395344337_0,71046170B85662395344337,1,Tambacounda,0,921.5146484375,4666.923828125,1643.1947021484375,0,28.18633270263672,1,1,1,SEN,0,2004.3636474609375,388.0099182128906,10237.0615234375,511620.5,0,94.8122329711914,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B85662395344337_1,71046170B85662395344337,1,Tambacounda,0,921.5146484375,4666.923828125,1643.1947021484375,0,28.18633270263672,1,1,1,SEN,0,2773.41064453125,1223.5028076171875,19227.939453125,876505.6875,0,143.45167541503906,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B85662395344337_2,71046170B85662395344337,1,Tambacounda,0,0,0,0,5177.47265625,11077.8779296875,0,0,17,SEN,0,0,0,0,876505.6875,20526.91796875,496540.875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B85662395344337_3,71046170B85662395344337,1,Tambacounda,0,921.5146484375,4666.923828125,1643.1947021484375,4878.91943359375,9913.578125,1,1,18,SEN,0,2773.41064453125,1223.5028076171875,19227.939453125,876505.6875,17487.126953125,481778.5625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89315153043645_0,71046170B89315153043645,1,Thies,8.350415229797363,254.6696319580078,0,0,10.887447357177734,103.66287231445312,1,0,1,SEN,36.236427307128906,80545.2890625,0,0,1277956.75,0.27435174584388733,34137.37109375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89315153043645_1,71046170B89315153043645,1,Thies,26.497013092041016,401.78338623046875,0,0,0,24.477584838867188,6,0,1,SEN,844.33349609375,340051.5,0,0,2196827.25,0,1980.074951171875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89315153043645_2,71046170B89315153043645,1,Thies,0,0,0,0,305.316162109375,2570.104736328125,0,0,5,SEN,0,0,0,0,2196827.25,37050.2578125,1274524.875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89315153043645_3,71046170B89315153043645,1,Thies,26.497013092041016,401.78338623046875,0,0,246.92037963867188,2235.788818359375,6,0,6,SEN,844.33349609375,340051.5,0,0,2196827.25,32837.71484375,1019093.8125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B26251724010642_0,71046170B26251724010642,1,Ziguinchor,0.7119170427322388,409.49761962890625,78.29631805419922,423.14691162109375,0,0,1,1,0,SEN,0.2780865728855133,13342.1376953125,34.845584869384766,21559.61328125,394377.28125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B26251724010642_1,71046170B26251724010642,1,Ziguinchor,1761.908203125,2907.09326171875,78.29631805419922,423.14691162109375,0,0,5,1,0,SEN,90615.40625,492375.1875,52.606353759765625,38326.66015625,677260.4375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B26251724010642_2,71046170B26251724010642,1,Ziguinchor,0,0,0,0,698.9527587890625,3521.9091796875,0,0,17,SEN,0,0,0,0,677260.4375,3881.772216796875,510589.75,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B26251724010642_3,71046170B26251724010642,1,Ziguinchor,1761.908203125,2907.09326171875,78.29631805419922,423.14691162109375,113.76399993896484,1119.830078125,5,1,17,SEN,90615.40625,492375.1875,52.606353759765625,38326.66015625,677260.4375,601.88824462890625,42802.75390625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B5066698136661_0,71046170B5066698136661,1,Kedougou,0,0,3151.238525390625,1664.9765625,0,60.34530258178711,0,1,1,SEN,0,0,136.10850524902344,7102.84716796875,110240.6875,0,4.977900981903076,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
