system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
71046170B16569890219484_0,71046170B16569890219484,1,Dakar,0,4.98728609085083,0,46.091697692871094,0,0,1,1,0,SEN,0,4827.40869140625,0,442136.125,2017654.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B16569890219484_1,71046170B16569890219484,1,Dakar,5.480185031890869,124.35662841796875,0,46.091697692871094,0,0,3,1,0,SEN,102653.8359375,2237727.75,0,781363.1875,3599361.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B16569890219484_2,71046170B16569890219484,1,Dakar,0,0,0,0,0,16.709367752075195,0,0,1,SEN,0,0,0,0,3599361.75,0,10753.87109375,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B16569890219484_3,71046170B16569890219484,1,Dakar,5.480185031890869,124.35662841796875,0,46.091697692871094,0,16.709367752075195,3,1,1,SEN,102653.8359375,2237727.75,0,781363.1875,3599361.75,0,10753.87109375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89912390768536_0,71046170B89912390768536,1,Diourbel,0,0,0,0,0,0,0,0,0,SEN,0,0,0,0,1016306.5625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89912390768536_1,71046170B89912390768536,1,Diourbel,0,0,0,0,0,0,0,0,0,SEN,0,0,0,0,1812515.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89912390768536_2,71046170B89912390768536,1,Diourbel,0,0,0,0,76.38903045654297,291.23773193359375,0,0,5,SEN,0,0,0,0,1812515.5,6575.234375,57679.0078125,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B89912390768536_3,71046170B89912390768536,1,Diourbel,0,0,0,0,76.38903045654297,291.23773193359375,0,0,5,SEN,0,0,0,0,1812515.5,6575.234375,57679.0078125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B84527172065489_0,71046170B84527172065489,1,Fatick,0,0,135.32510375976562,759.52935791015625,1071.8782958984375,1277.9390869140625,0,1,1,SEN,0,0,7661.755859375,52958.6640625,501382.96875,98476.125,143726.78125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
71046170B84527172065489_1,71046170B84527172065489,1,Fatick,191.12982177734375,689.78607177734375,188.72799682617188,865.33343505859375,307.01385498046875,1002.8380737304688,4,2,1,SEN,34255.640625,116543.0703125,23043.7578125,130486.734375,882151,54671.12109375,183033.734375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
