system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
17018030B84591335552725_0,17018030B84591335552725,1,Rennell and Bellona,0,0,0,0,119.32916259765625,48.93281555175781,0,0,1,SLB,0,0,0,0,882.13128662109375,223.1158447265625,33.8947868347168,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B84591335552725_1,17018030B84591335552725,1,Rennell and Bellona,0,0,0,0,119.32916259765625,48.93281555175781,0,0,1,SLB,0,0,0,0,1557.564453125,437.2400207519531,57.3151969909668,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B84591335552725_2,17018030B84591335552725,1,Rennell and Bellona,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,1557.564453125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B84591335552725_3,17018030B84591335552725,1,Rennell and Bellona,0,0,0,0,119.32916259765625,48.93281555175781,0,0,1,SLB,0,0,0,0,1557.564453125,437.2400207519531,57.3151969909668,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B43755880178831_0,17018030B43755880178831,1,Makira,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,15008.2578125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B43755880178831_1,17018030B43755880178831,1,Makira,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,27797.083984375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B43755880178831_2,17018030B43755880178831,1,Makira,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,27797.083984375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B43755880178831_3,17018030B43755880178831,1,Makira,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,27797.083984375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B19935783635883_0,17018030B19935783635883,1,Temotu,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,6331.34521484375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B19935783635883_1,17018030B19935783635883,1,Temotu,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,8595.3037109375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B19935783635883_2,17018030B19935783635883,1,Temotu,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,8595.3037109375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B19935783635883_3,17018030B19935783635883,1,Temotu,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,8595.3037109375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B28135645457785_0,17018030B28135645457785,1,Malaita,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,73803.828125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B28135645457785_1,17018030B28135645457785,1,Malaita,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,95066.7109375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B28135645457785_2,17018030B28135645457785,1,Malaita,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,95066.7109375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B28135645457785_3,17018030B28135645457785,1,Malaita,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,95066.7109375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B49873759306190_0,17018030B49873759306190,1,Capital Territory (Honiara),0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,35428.18359375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B49873759306190_1,17018030B49873759306190,1,Capital Territory (Honiara),0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,63441,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B49873759306190_2,17018030B49873759306190,1,Capital Territory (Honiara),0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,63441,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B49873759306190_3,17018030B49873759306190,1,Capital Territory (Honiara),0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,63441,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B21058058503942_0,17018030B21058058503942,1,Guadalcanal,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,51192.98828125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B21058058503942_1,17018030B21058058503942,1,Guadalcanal,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,122537.9453125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B21058058503942_2,17018030B21058058503942,1,Guadalcanal,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,122537.9453125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B21058058503942_3,17018030B21058058503942,1,Guadalcanal,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,122537.9453125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B21762340724861_0,17018030B21762340724861,1,Central,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,7697.3671875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B21762340724861_1,17018030B21762340724861,1,Central,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,11875.5244140625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B21762340724861_2,17018030B21762340724861,1,Central,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,11875.5244140625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B21762340724861_3,17018030B21762340724861,1,Central,0,0,0,0,0,0,0,0,0,SLB,0,0,0,0,11875.5244140625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B8659224027401_0,17018030B8659224027401,1,Western,0,0,0,0,0,4.473264217376709,0,0,1,SLB,0,0,0,0,25443.96875,0,1546.0313720703125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B8659224027401_1,17018030B8659224027401,1,Western,0,0,0,0,0.3266626000404358,648.93218994140625,0,0,16,SLB,0,0,0,0,41449.84765625,40.86948013305664,13034.328125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17018030B8659224027401_2,17018030B8659224027401,1,Western,0,0,0,0,0.057071540504693985,197.41429138183594,0,0,3,SLB,0,0,0,0,41449.84765625,5.48037052154541,2493.38720703125,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
