system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
98794003B76410579323989_0,98794003B76410579323989,1,Departamento de Cuscatlán,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,201796.71875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B76410579323989_1,98794003B76410579323989,1,Departamento de Cuscatlán,0,0,0,0,129.73475646972656,492.109375,0,0,8,SLV,0,0,0,0,296729.6875,23020.546875,226681.96875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B76410579323989_2,98794003B76410579323989,1,Departamento de Cuscatlán,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,296729.6875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B76410579323989_3,98794003B76410579323989,1,Departamento de Cuscatlán,0,0,0,0,129.73475646972656,492.109375,0,0,8,SLV,0,0,0,0,296729.6875,23020.546875,226681.96875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B42513633485886_0,98794003B42513633485886,1,Departamento de Usulután,0,0,0,0,0.6419429779052734,150.47076416015625,0,0,2,SLV,0,0,0,0,320870.34375,39.579505920410156,16423.07421875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B42513633485886_1,98794003B42513633485886,1,Departamento de Usulután,4.780285358428955,772.50384521484375,0,0,314.47442626953125,564.99737548828125,8,0,48,SLV,327.4231872558594,175488.46875,0,0,373480.84375,24963.78125,115493.03125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B42513633485886_2,98794003B42513633485886,1,Departamento de Usulután,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,373480.84375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B42513633485886_3,98794003B42513633485886,1,Departamento de Usulután,4.780285358428955,772.50384521484375,0,0,314.47442626953125,564.99737548828125,8,0,48,SLV,327.4231872558594,175488.46875,0,0,373480.84375,24963.78125,115493.03125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B3671241590115_0,98794003B3671241590115,1,La Libertad,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,581722.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B3671241590115_1,98794003B3671241590115,1,La Libertad,0.9930205941200256,468.2554626464844,1.9245916604995728,266.3884582519531,6.599798679351807,605.33514404296875,7,2,15,SLV,92.61966705322266,216185.859375,886.9287109375,382151.3125,851091.375,645.80340576171875,173420.046875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B3671241590115_2,98794003B3671241590115,1,La Libertad,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,851091.375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B3671241590115_3,98794003B3671241590115,1,La Libertad,0.9930205941200256,468.2554626464844,1.9245916604995728,266.3884582519531,6.599798679351807,605.33514404296875,7,2,15,SLV,92.61966705322266,216185.859375,886.9287109375,382151.3125,851091.375,645.80340576171875,173420.046875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B28533173695218_0,98794003B28533173695218,1,Departamento de Ahuachapán,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,288702.90625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B28533173695218_1,98794003B28533173695218,1,Departamento de Ahuachapán,0,141.03347778320312,12.621561050415039,419.29132080078125,31.48374366760254,493.4974670410156,1,1,10,SLV,0,26195.44140625,1285.1285400390625,85860.6875,382705.0625,7321.3857421875,245069.25,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B28533173695218_2,98794003B28533173695218,1,Departamento de Ahuachapán,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,382705.0625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B28533173695218_3,98794003B28533173695218,1,Departamento de Ahuachapán,0,141.03347778320312,12.621561050415039,419.29132080078125,31.48374366760254,493.4974670410156,1,1,10,SLV,0,26195.44140625,1285.1285400390625,85860.6875,382705.0625,7321.3857421875,245069.25,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B56835012218806_0,98794003B56835012218806,1,Departamento de Sonsonate,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,394943.03125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B56835012218806_1,98794003B56835012218806,1,Departamento de Sonsonate,0,37.14530563354492,20.196914672851562,494.8059387207031,6.2948784828186035,492.5328369140625,3,2,15,SLV,0,3556.318115234375,3207.57568359375,358137.1875,531432,1389.4923095703125,99613.6953125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
