system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
83879307B66756469447496_0,83879307B66756469447496,1,Hiiraan,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,287719.65625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B66756469447496_1,83879307B66756469447496,1,Hiiraan,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,482109.46875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B66756469447496_2,83879307B66756469447496,1,Hiiraan,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,482109.46875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B66756469447496_3,83879307B66756469447496,1,Hiiraan,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,482109.46875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B13610404434600_0,83879307B13610404434600,1,Sanaag,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,237395.78125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B13610404434600_1,83879307B13610404434600,1,Sanaag,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,398456.625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B13610404434600_2,83879307B13610404434600,1,Sanaag,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,398456.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B13610404434600_3,83879307B13610404434600,1,Sanaag,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,398456.625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B32896531038690_0,83879307B32896531038690,1,Banadir,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,768310.875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B32896531038690_1,83879307B32896531038690,1,Banadir,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,1286766.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B32896531038690_2,83879307B32896531038690,1,Banadir,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,1286766.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B32896531038690_3,83879307B32896531038690,1,Banadir,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,1286766.5,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B67680758004346_0,83879307B67680758004346,1,Togdheer,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,355813.21875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B67680758004346_1,83879307B67680758004346,1,Togdheer,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,596576.4375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B67680758004346_2,83879307B67680758004346,1,Togdheer,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,596576.4375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B67680758004346_3,83879307B67680758004346,1,Togdheer,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,596576.4375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B58207540839705_0,83879307B58207540839705,1,Bakool,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,272635.90625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B58207540839705_1,83879307B58207540839705,1,Bakool,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,457257.90625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B58207540839705_2,83879307B58207540839705,1,Bakool,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,457257.90625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
83879307B58207540839705_3,83879307B58207540839705,1,Bakool,0,0,0,0,0,0,0,0,0,SOM,0,0,0,0,457257.90625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
