system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
75366066B3567364273406_0,75366066B3567364273406,1,Manzini,0,0,14.518861770629883,438.1588134765625,0,0,0,4,0,SWZ,0,0,43.010196685791016,48052.9609375,309885.96875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B3567364273406_1,75366066B3567364273406,1,Manzini,15.699339866638184,386.41412353515625,14.518861770629883,438.1588134765625,0,0,1,4,0,SWZ,28.11334991455078,21157.458984375,73.94034576416016,52683.41015625,389697.0625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B3567364273406_2,75366066B3567364273406,1,Manzini,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,389697.0625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B3567364273406_3,75366066B3567364273406,1,Manzini,15.699339866638184,386.41412353515625,14.518861770629883,438.1588134765625,0,0,1,4,0,SWZ,28.11334991455078,21157.458984375,73.94034576416016,52683.41015625,389697.0625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B12234306804593_0,75366066B12234306804593,1,Lubombo,0,0,478.73150634765625,1838.4464111328125,0,0,0,3,0,SWZ,0,0,1106.1907958984375,75981.40625,207704.984375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B12234306804593_1,75366066B12234306804593,1,Lubombo,0,103.15591430664062,478.73150634765625,1838.4464111328125,3.268704891204834,563.1031494140625,1,3,2,SWZ,0,3390.026123046875,673.41278076171875,86366.6171875,239968.421875,29.371652603149414,18624.66015625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B12234306804593_2,75366066B12234306804593,1,Lubombo,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,239968.421875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B12234306804593_3,75366066B12234306804593,1,Lubombo,0,103.15591430664062,478.73150634765625,1838.4464111328125,3.268704891204834,563.1031494140625,1,3,2,SWZ,0,3390.026123046875,673.41278076171875,86366.6171875,239968.421875,29.371652603149414,18624.66015625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B21527038718027_0,75366066B21527038718027,1,Shiselweni,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,224798.78125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B21527038718027_1,75366066B21527038718027,1,Shiselweni,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,216427.53125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B21527038718027_2,75366066B21527038718027,1,Shiselweni,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,216427.53125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B21527038718027_3,75366066B21527038718027,1,Shiselweni,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,216427.53125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B25905390127614_0,75366066B25905390127614,1,Hhohho,0,0,201.05419921875,942.87506103515625,0.34596842527389526,225.2215118408203,0,3,1,SWZ,0,0,621.2117919921875,142634.328125,285693.6875,3.4686052799224854,8413.5654296875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B25905390127614_1,75366066B25905390127614,1,Hhohho,1.4042925834655762,341.9815368652344,201.05419921875,942.87506103515625,0.5311275720596313,497.60833740234375,1,3,4,SWZ,24.387243270874023,21831.517578125,244.80572509765625,159781.421875,334170.71875,4.157668590545654,37431.85546875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B25905390127614_2,75366066B25905390127614,1,Hhohho,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,334170.71875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B25905390127614_3,75366066B25905390127614,1,Hhohho,1.4042925834655762,341.9815368652344,201.05419921875,942.87506103515625,0.5311275720596313,497.60833740234375,1,3,4,SWZ,24.387243270874023,21831.517578125,244.80572509765625,159781.421875,334170.71875,4.157668590545654,37431.85546875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
