system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
23847190B76461278489523_0,23847190B76461278489523,1,Tibesti,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,12216.9814453125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B76461278489523_1,23847190B76461278489523,1,Tibesti,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,63583.7421875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B76461278489523_2,23847190B76461278489523,1,Tibesti,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,63583.7421875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B76461278489523_3,23847190B76461278489523,1,Tibesti,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,63583.7421875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B42201300909064_0,23847190B42201300909064,1,Borkou,36316.25390625,6333.2412109375,0,0,0,0,1,0,0,TCD,1692.70458984375,324.37139892578125,0,0,44942.796875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B42201300909064_1,23847190B42201300909064,1,Borkou,36316.25390625,6333.2412109375,0,0,0,0,1,0,0,TCD,7515.91650390625,1566.9508056640625,0,0,233477.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B42201300909064_2,23847190B42201300909064,1,Borkou,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,233477.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B42201300909064_3,23847190B42201300909064,1,Borkou,36316.25390625,6333.2412109375,0,0,0,0,1,0,0,TCD,7515.91650390625,1566.9508056640625,0,0,233477.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B77249644038093_0,23847190B77249644038093,1,Ennedi-Ouest,1739.7138671875,2117.80517578125,0,0,0,0,2,0,0,TCD,421.3454284667969,10669.3388671875,0,0,27801.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B77249644038093_1,23847190B77249644038093,1,Ennedi-Ouest,1739.7138671875,2117.80517578125,0,0,9331.59765625,4611.1806640625,2,0,2,TCD,1114.2642822265625,30858.15234375,0,0,147266.640625,15269.806640625,8345.7978515625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B77249644038093_2,23847190B77249644038093,1,Ennedi-Ouest,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,147266.640625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B77249644038093_3,23847190B77249644038093,1,Ennedi-Ouest,1739.7138671875,2117.80517578125,0,0,9331.59765625,4611.1806640625,2,0,2,TCD,1114.2642822265625,30858.15234375,0,0,147266.640625,15269.806640625,8345.7978515625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B87163061266246_0,23847190B87163061266246,1,Wadi Fira,7196.0517578125,1969.561767578125,0,0,0,0,1,0,0,TCD,56.29941940307617,415.3208312988281,0,0,348415.53125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B87163061266246_1,23847190B87163061266246,1,Wadi Fira,7196.0517578125,1969.561767578125,0,0,0,0,1,0,0,TCD,66.05545806884766,973.07867431640625,0,0,1214643.375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B87163061266246_2,23847190B87163061266246,1,Wadi Fira,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,1214643.375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B87163061266246_3,23847190B87163061266246,1,Wadi Fira,7196.0517578125,1969.561767578125,0,0,0,0,1,0,0,TCD,66.05545806884766,973.07867431640625,0,0,1214643.375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B13389621272768_0,23847190B13389621272768,1,Salamat,6249.86474609375,3329.870361328125,1336.7064208984375,1496.355224609375,16457.267578125,2084.485107421875,1,1,1,TCD,56495.515625,115170.3515625,164.5917510986328,4726.1904296875,237535.421875,9053.125,30787.8984375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B13389621272768_1,23847190B13389621272768,1,Salamat,6249.86474609375,3329.870361328125,1336.7064208984375,1496.355224609375,16748.27734375,2393.46484375,1,1,2,TCD,112332.1015625,181139.21875,612.59625244140625,13852.376953125,425919.84375,19348.83984375,51809.51953125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B13389621272768_2,23847190B13389621272768,1,Salamat,0,0,0,0,0,0,0,0,0,TCD,0,0,0,0,425919.84375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
23847190B13389621272768_3,23847190B13389621272768,1,Salamat,6249.86474609375,3329.870361328125,1336.7064208984375,1496.355224609375,16748.27734375,2393.46484375,1,1,2,TCD,112332.1015625,181139.21875,612.59625244140625,13852.376953125,425919.84375,19348.83984375,51809.51953125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
