system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
36957248B55328686942733_0,36957248B55328686942733,1,Kilimanjaro,2219.661865234375,2103.319580078125,1835.6136474609375,2061.606689453125,21.262983322143555,997.3441162109375,5,4,14,TZA,12959.5087890625,123198.625,93976.0546875,593245.1875,1286549.875,23279.11328125,242564.53125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B55328686942733_1,36957248B55328686942733,1,Kilimanjaro,2219.661865234375,2103.319580078125,1835.6136474609375,2061.606689453125,156.64505004882812,1081.43896484375,5,4,16,TZA,16387.611328125,174739.09375,117080.140625,807573,1831405.625,48558.89453125,384446.28125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B55328686942733_2,36957248B55328686942733,1,Kilimanjaro,4.274374008178711,544.16693115234375,0,0,150.34970092773438,2795.071044921875,3,0,9,TZA,912.491455078125,91186.328125,0,0,1831405.625,10032.1259765625,336846.84375,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B55328686942733_3,36957248B55328686942733,1,Kilimanjaro,2223.936279296875,2247.615234375,1835.6136474609375,2061.606689453125,160.8402557373047,1966.976806640625,8,4,25,TZA,17300.103515625,186554.1875,117080.140625,807573,1831405.625,49018.31640625,422176.21875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B94562559517692_0,36957248B94562559517692,1,Mara,0,0,7987.5244140625,2699.942138671875,260.31683349609375,2295.28271484375,0,1,10,TZA,0,0,38633.01953125,132107.09375,1294958.5,6556.32470703125,273681.65625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B94562559517692_1,36957248B94562559517692,1,Mara,0,0,7987.5244140625,2699.942138671875,720.363037109375,2436.149658203125,0,1,11,TZA,0,0,71954.171875,219209.578125,2122212.5,30865.365234375,485069.28125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B94562559517692_2,36957248B94562559517692,1,Mara,0,0,0,0,486.9684143066406,1147.823974609375,0,0,2,TZA,0,0,0,0,2122212.5,8593.1728515625,11052.484375,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B94562559517692_3,36957248B94562559517692,1,Mara,0,0,7987.5244140625,2699.942138671875,720.363037109375,2436.149658203125,0,1,13,TZA,0,0,71954.171875,219209.578125,2122212.5,30865.365234375,485069.28125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B99133684808243_0,36957248B99133684808243,1,Manyara,137.8912353515625,576.43023681640625,1756.038330078125,1982.8331298828125,465.2659912109375,2367.380126953125,2,2,8,TZA,517.9224853515625,2902.43408203125,18423.140625,40277.1328125,996082.6875,24321.337890625,243022.890625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B99133684808243_1,36957248B99133684808243,1,Manyara,137.8912353515625,576.43023681640625,1756.038330078125,1982.8331298828125,5472.111328125,5401.5400390625,2,2,11,TZA,1182.4466552734375,8193.6943359375,29531.103515625,73164.8984375,1884751.375,84735.296875,596416.3125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
