system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
17295835B80141219017784_0,17295835B80141219017784,1,Northern Region,594.47503662109375,1204.6490478515625,8988.8203125,8671.8798828125,3037.124267578125,35671.7421875,2,8,216,UGA,5502.06982421875,172950.203125,27801.650390625,277794.96875,5114288.5,69852.0234375,3572118.75,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B80141219017784_1,17295835B80141219017784,1,Northern Region,3501.363525390625,4416.70361328125,8988.8203125,8671.8798828125,2584.300537109375,34040.640625,5,8,217,UGA,183435.84375,346737.46875,34117.8984375,552445.5,9170100,92481.1875,6288744,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B80141219017784_2,17295835B80141219017784,1,Northern Region,174.48831176757812,878.1329345703125,0,0,0,0,1,0,0,UGA,434.818359375,81686.4375,0,0,9170100,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B80141219017784_3,17295835B80141219017784,1,Northern Region,3675.851806640625,5294.83642578125,8988.8203125,8671.8798828125,2584.300537109375,33860.76171875,6,8,217,UGA,183870.671875,428423.90625,34117.8984375,552445.5,9170100,92481.1875,6272506,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B57878138064711_0,17295835B57878138064711,1,Eastern Region,21.95507049560547,207.6472625732422,1117.1654052734375,3044.850341796875,540.2232666015625,16226.978515625,1,3,146,UGA,56976.54296875,165829.328125,17009.572265625,914134.375,6124830.5,25511.603515625,3787459.75,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B57878138064711_1,17295835B57878138064711,1,Eastern Region,26.034549713134766,697.1575927734375,1117.1654052734375,3044.850341796875,650.0567626953125,16361.3505859375,3,3,147,UGA,70395.2421875,257468.65625,51341.796875,1769531.875,11637844,83701.5859375,7084735,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B57878138064711_2,17295835B57878138064711,1,Eastern Region,0,0,0,0,0.2347533106803894,306.1927185058594,0,0,1,UGA,0,0,0,0,11637844,281.0552062988281,309185.5625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B57878138064711_3,17295835B57878138064711,1,Eastern Region,26.034549713134766,697.1575927734375,1117.1654052734375,3044.850341796875,650.0567626953125,16361.3505859375,3,3,148,UGA,70395.2421875,257468.65625,51341.796875,1769531.875,11637844,83701.5859375,7084735,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B48340970483027_0,17295835B48340970483027,1,Central Region,69.741241455078125,627.7313232421875,0,76.6079330444336,2907.833251953125,26129.208984375,2,1,260,UGA,64182.6171875,191046.375,0,5260.65234375,6494223,90480.2734375,5179559,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B48340970483027_1,17295835B48340970483027,1,Central Region,69.741241455078125,627.7313232421875,0,76.6079330444336,3031.862548828125,26019.078125,2,1,262,UGA,151617.140625,456103.59375,0,6477.744140625,12084042,183810.65625,9620658,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B48340970483027_2,17295835B48340970483027,1,Central Region,0,0,0,0,12.561860084533691,1525.1370849609375,0,0,5,UGA,0,0,0,0,12084042,2813.30908203125,526743.1875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B48340970483027_3,17295835B48340970483027,1,Central Region,69.741241455078125,627.7313232421875,0,76.6079330444336,3044.42431640625,26006.515625,2,1,267,UGA,151617.140625,456103.59375,0,6477.744140625,12084042,186623.96875,9617845,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B91329899113986_0,17295835B91329899113986,1,Western Region,0,0,8344.6318359375,10245.0390625,2019.94677734375,17395.400390625,1,13,127,UGA,0,0,27455.060546875,2002888,6266786,30719.130859375,2630428.75,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B91329899113986_1,17295835B91329899113986,1,Western Region,143.46775817871094,668.08251953125,8344.6318359375,10245.0390625,1957.0509033203125,16965.916015625,3,13,127,UGA,8961.9716796875,86625.1953125,36102.9765625,3417779.5,11458893,48098.14453125,5156924.5,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B91329899113986_2,17295835B91329899113986,1,Western Region,1.1753568649291992,263.132080078125,872.67767333984375,2367.51025390625,1.058205485343933,383.9963073730469,1,2,1,UGA,4959.1171875,31120.59375,4085.63427734375,664092.125,11458893,900.83209228515625,197285.5625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B91329899113986_3,17295835B91329899113986,1,Western Region,58.616947174072266,331.2929382324219,9214.9521484375,11919.796875,1924.1492919921875,15878.6611328125,4,15,128,UGA,3561.765380859375,43970.0859375,40188.609375,3992676.25,11458893,45904.515625,4813177.5,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
