system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
17295835B80141219017784_0,17295835B80141219017784,1,Northern Region,594.28472900390625,1200.9591064453125,8987.8388671875,8667.140625,3036.06689453125,35632.6953125,2,8,216,UGA,24428.345703125,142029.84375,100766.8671875,253201.78125,4904541,122367.125,3309639.5,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B80141219017784_1,17295835B80141219017784,1,Northern Region,3499.96240234375,4412.6435546875,8987.8388671875,8667.140625,2583.2431640625,34001.59375,5,8,217,UGA,215554.265625,304410.6875,203059.90625,486770.71875,8655777,192108.921875,5752107.5,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B80141219017784_2,17295835B80141219017784,1,Northern Region,173.98513793945312,876.2164306640625,0,0,0,0,1,0,0,UGA,3953.881591796875,80022.1171875,0,0,8655777,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B80141219017784_3,17295835B80141219017784,1,Northern Region,3673.94775390625,5288.85986328125,8987.8388671875,8667.140625,2583.2431640625,33821.8046875,6,8,217,UGA,219508.140625,384432.78125,203059.90625,486770.71875,8655777,192108.921875,5739068.5,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B57878138064711_0,17295835B57878138064711,1,Eastern Region,21.842124938964844,207.1167755126953,1116.794189453125,3039.2265625,539.73626708984375,16197.8251953125,1,3,146,UGA,47507.25390625,156228.53125,94010.6640625,786327.625,5836617,107709.8046875,3503857.25,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B57878138064711_1,17295835B57878138064711,1,Eastern Region,25.92160415649414,696.56182861328125,1116.794189453125,3039.2265625,648.5615234375,16332.6083984375,3,3,147,UGA,65505.2265625,240015.578125,198223.65625,1522651.5,10940930,202356.328125,6527660.5,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B57878138064711_2,17295835B57878138064711,1,Eastern Region,0,0,0,0,0.2347533106803894,305.76739501953125,0,0,1,UGA,0,0,0,0,10940930,103.25901794433594,305679.625,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B57878138064711_3,17295835B57878138064711,1,Eastern Region,25.92160415649414,696.56182861328125,1116.794189453125,3039.2265625,648.5615234375,16332.6083984375,3,3,148,UGA,65505.2265625,240015.578125,198223.65625,1522651.5,10940930,202356.328125,6527660.5,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B48340970483027_0,17295835B48340970483027,1,Central Region,69.093170166015625,626.338623046875,0,76.04380798339844,2903.71630859375,26090.630859375,2,1,260,UGA,70587.484375,164982.046875,0,6534.642578125,6211410,236526.546875,4818078.5,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B48340970483027_1,17295835B48340970483027,1,Central Region,69.093170166015625,626.338623046875,0,76.04380798339844,3027.74462890625,25980.5,2,1,262,UGA,172930.921875,415173.59375,0,9414.2724609375,11678334,444750.15625,9045799,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B48340970483027_2,17295835B48340970483027,1,Central Region,0,0,0,0,12.561860084533691,1515.6766357421875,0,0,5,UGA,0,0,0,0,11678334,1805.935302734375,517065.125,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B48340970483027_3,17295835B48340970483027,1,Central Region,69.093170166015625,626.338623046875,0,76.04380798339844,3040.306640625,25967.9375,2,1,267,UGA,172930.921875,415173.59375,0,9414.2724609375,11678334,446556.09375,9043993,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B91329899113986_0,17295835B91329899113986,1,Western Region,0,0,8315.7060546875,10224.009765625,2018.9088134765625,17389.8359375,1,13,127,UGA,0,0,332060.25,1611140.5,5993830.5,120117.40625,2430762.75,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B91329899113986_1,17295835B91329899113986,1,Western Region,143.23837280273438,667.6868896484375,8315.7060546875,10224.009765625,1956.012939453125,16960.380859375,3,13,127,UGA,13133.7060546875,82891.703125,558820.125,2701551.75,10699515,240710.390625,4546282,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B91329899113986_2,17295835B91329899113986,1,Western Region,1.1075210571289062,262.3392028808594,872.55487060546875,2367.28271484375,1.058205485343933,382.2439880371094,1,2,1,UGA,1899.5081787109375,39787.23046875,75359,584490.625,10699515,2389.458251953125,187590.765625,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
17295835B91329899113986_3,17295835B91329899113986,1,Western Region,58.45984649658203,330.9051208496094,9185.9033203125,11898.66015625,1923.1114501953125,15873.1689453125,4,15,128,UGA,4811.1455078125,36601.23828125,634030.6875,3178575.25,10699515,237343.15625,4234785.5,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
