system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
4885205B10194269353937_0,4885205B10194269353937,1,Andijan Region,0,0,0,60.571773529052734,0,0,0,1,0,UZB,0,0,0,2499.9150390625,2185175.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
4885205B10194269353937_1,4885205B10194269353937,1,Andijan Region,0,0,0,60.571773529052734,0,0,0,1,0,UZB,0,0,0,3326.8388671875,3065979.25,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
4885205B10194269353937_2,4885205B10194269353937,1,Andijan Region,0,0,0,0,0,0,0,0,0,UZB,0,0,0,0,3065979.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
4885205B10194269353937_3,4885205B10194269353937,1,Andijan Region,0,0,0,60.571773529052734,0,0,0,1,0,UZB,0,0,0,3326.8388671875,3065979.25,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
4885205B52900409035974_0,4885205B52900409035974,1,Namangan Region,0,0,19.368635177612305,1212.5682373046875,0,0,0,5,0,UZB,0,0,15.634681701660156,89814.7109375,1937846.125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
4885205B52900409035974_1,4885205B52900409035974,1,Namangan Region,0,0,19.368635177612305,1212.5682373046875,0,0,0,5,0,UZB,0,0,21.045269012451172,128952.4140625,2775447,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
4885205B52900409035974_2,4885205B52900409035974,1,Namangan Region,0,0,0,0,0,0,0,0,0,UZB,0,0,0,0,2775447,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
4885205B52900409035974_3,4885205B52900409035974,1,Namangan Region,0,0,19.368635177612305,1212.5682373046875,0,0,0,5,0,UZB,0,0,21.045269012451172,128952.4140625,2775447,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
4885205B77081451230863_0,4885205B77081451230863,1,Fergana Region,0,0,18.399700164794922,242.93418884277344,0,0,0,2,0,UZB,0,0,28.265886306762695,3916.633544921875,2768221.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
4885205B77081451230863_1,4885205B77081451230863,1,Fergana Region,0,0,18.399700164794922,242.93418884277344,0,0,0,2,0,UZB,0,0,65.868133544921875,7613.73828125,3816631.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
