system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
32282491B7486560380604_0,32282491B7486560380604,1,Sanma,20.871278762817383,450.3779296875,0.045277874916791916,158.1232147216797,1.551245927810669,277.4173889160156,1,1,3,VUT,89.55925750732422,1806.5582275390625,5.479770183563232,13243.4716796875,35961.5234375,71.81996154785156,3554.66259765625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B7486560380604_1,32282491B7486560380604,1,Sanma,20.871278762817383,450.3779296875,0.045277874916791916,158.1232147216797,1.551245927810669,277.4173889160156,1,1,3,VUT,146.52272033691406,3055.06591796875,8.678004264831543,22445.66015625,60990.50390625,119.06072235107422,6050.85791015625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B7486560380604_2,32282491B7486560380604,1,Sanma,0,0,0,0,31.880887985229492,340.06964111328125,0,0,1,VUT,0,0,0,0,60990.50390625,0.012211083434522152,1059.023193359375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B7486560380604_3,32282491B7486560380604,1,Sanma,20.871278762817383,450.3779296875,0.045277874916791916,158.1232147216797,33.432132720947266,617.48699951171875,1,1,4,VUT,146.52272033691406,3055.06591796875,8.678004264831543,22445.66015625,60990.50390625,119.07292938232422,7109.880859375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B8417950609019_0,32282491B8417950609019,1,Torba,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,7420.66796875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B8417950609019_1,32282491B8417950609019,1,Torba,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,11352.2529296875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B8417950609019_2,32282491B8417950609019,1,Torba,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,11352.2529296875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B8417950609019_3,32282491B8417950609019,1,Torba,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,11352.2529296875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B78905986242135_0,32282491B78905986242135,1,Penama,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,26447.140625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B78905986242135_1,32282491B78905986242135,1,Penama,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,37354.76953125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
