system:index,area_nonstrict,area_strict,area_total_pa,area_unknown,count_nonstrict,count_strict,count_total,count_unknown,iso3,nat_pop_gh_00,nat_pop_gh_20,nat_pop_wp_00,nat_pop_wp_20,.geo
0,5964.284477635311,16987.327699652255,22951.612177287567,0.0,6,3,9,0,AFG,3793817.3171908264,7547176.309082471,2772148.5364532825,4160807.005315881,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,14576.04292162949,67751.29450286628,82327.33742449578,0.0,4,8,12,0,AGO,2683089.1344565386,5438810.132388358,2780885.851104754,4982201.524810933,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,710.8031958388643,1715.6221026437681,5563.028656079297,3136.603357596667,20,16,38,2,BGD,2.2158472234827165E7,2.878339141663629E7,1.647768655556542E7,2.249487556502334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4312.351438960766,8511.342526418213,27012.055083810388,14188.361118431389,3,2,28,23,BEN,1117009.351044877,2025929.6020420028,866689.5117040571,1788793.2459020626,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5858.645242241889,13634.292567808401,19502.495657606018,9.557847555726767,12,7,20,1,BTN,111008.0330818602,144780.19378672613,79972.23764405552,115824.49410922451,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5005.305114420606,0.0,248656.55601769954,243651.25090327894,5,0,148,143,BOL,1445795.1933388375,2005920.355835924,1114479.2014878069,1623374.423389242,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,24151.113092875985,6852.614829765887,44643.411770805644,13639.683848163764,7,4,108,97,BFA,1929072.892940019,3510867.725544325,1593942.6983950632,3132221.8611592194,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9.296633911834045,1165.817448276851,1217.1324970746314,42.01841488594519,1,10,14,3,BDI,1012986.346491435,1954854.3446611632,910342.6007250132,1556399.2771493464,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0,0.0,120.24764141357122,120.24764141357122,0,0,7,7,CPV,72947.68539930208,94338.94884628503,61197.337934568175,72973.57516820918,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,53705.84669648628,17642.665645096553,71348.51234158284,0.0,48,20,68,0,KHM,1939097.1807805283,2643361.5024502706,1591007.306954641,2665720.524862562,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,9668.199408652312,31228.3513823928,50314.40865753491,9417.857866489812,10,20,38,8,CMR,2415855.562402603,4241229.9630099675,2056262.8321500758,3844045.0375788407,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,43163.19100857405,33067.10781767656,107813.13162160917,31582.832795358554,9,5,23,9,CAF,606802.2419099474,861260.8951256439,492903.8750642781,735738.7492371525,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,113646.25849567058,4680.482377187528,179704.4737534704,61377.732880612275,7,3,16,6,TCD,1341532.2456873998,2703930.455370738,1095171.5363860482,2268628.024273526,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0,0.0,522.1476194406405,522.1476194406405,0,0,7,7,COM,82724.13872341013,124660.24084991694,68246.62017929593,112861.86514701294,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,64215.686636111874,130859.83744216952,311743.8073446564,116668.28326637493,11,12,47,24,COD,7766692.575708745,1.4864594516449379E7,6284909.153417869,1.572448020477796E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,10717.768269702836,24126.698178679482,124032.9858659823,89188.5194176,8,4,31,19,COG,500515.61598757264,907181.0126392934,647194.958027745,551881.4425473368,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,441.7468284331262,20666.786340803552,70736.6065983433,49628.07342910663,3,12,241,226,CIV,2699272.933645375,4316401.851829523,2201843.669481299,3648987.187591025,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.0,0.0,271.2750361272079,271.2750361272079,0,0,2,2,DJI,120277.05628572618,176494.921865536,84457.42142291724,158509.92679198252,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,46405.54016229927,10838.442397364026,109226.2265694415,51982.24400977821,14,9,32,9,EGY,1.2923559383267406E7,1.950860075666281E7,8938148.177361991,1.3131188808404908E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,33.94559381420122,58.062112636864185,1474.0819869055033,1382.074280454438,18,5,110,87,SLV,979183.6634800888,1035303.6699019244,741295.5310853213,926382.5131877495,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5873.011969958989,0.0,5873.011969958989,0.0,3,0,3,0,ERI,393570.13183407276,584224.2597217669,434313.4976443198,578281.355892846,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,17.202850475907326,694.1844027094983,727.2227554141308,15.835502228725192,2,6,13,5,SWZ,183774.12458944813,212036.94352633881,135077.74847047287,150847.26227543558,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,84201.26232602922,91745.49448503111,175985.21825168686,38.46144062653184,17,18,37,2,ETH,1.0843932832295213E7,1.8973494677920848E7,8436845.829616252,1.4275494138068657E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,504.00112624669487,261.3367253636028,777.7392169917612,12.401365381464656,16,5,24,3,GMB,234213.08404173152,421323.62372872024,166706.68906778714,329528.0913492602,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,18063.421982107335,15776.199771630876,34266.493931003584,426.87217726538,191,61,254,2,GHA,3179755.4535280783,5193637.134443346,2602194.4013435976,4545957.721194253,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2354.107880905576,415.5145476670678,57385.1524390081,54615.53001043546,1,2,109,106,GIN,1355172.2096654181,2150475.253006734,1058128.1810813097,1690641.530964837,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0,454.12764907304006,7998.621705935988,7544.494056862957,0,1,15,14,GNB,202688.95518427264,331210.9868618763,162383.59137285102,257351.65384487106,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1105.9006155042234,716.4113049344982,1822.3119204387208,0.0,6,13,19,0,HTI,1368928.368571737,1854552.7801233116,1037520.4031933665,1966301.999757251,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,17552.671337778753,7451.622365909713,25025.60975788236,21.31605419389465,36,34,87,17,HND,1095854.0638868315,1663023.6602423561,872782.1819282421,1308868.1090323653,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.0,0.0,13744.114285845777,13744.114285845777,0,0,13,13,IND,1.8370442831241223E8,2.423924608840166E8,1.391633973357345E8,1.9385280082198793E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,32739.637011302493,147979.56200601291,219491.6140880126,38772.41507069722,226,250,555,79,IDN,3.337270383448019E7,4.238119636257556E7,2.7724967726179097E7,3.860309298420877E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
