system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000003f2_0,12653393B40111500734429,1,Kandahar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,710139.7826640436,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f2_1,12653393B40111500734429,1,Kandahar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,1207345.7830236822,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f2_2,12653393B40111500734429,1,Kandahar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,1207345.7830236813,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f3_0,12653393B56617740339660,1,Zabul,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,241115.6639648351,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f3_1,12653393B56617740339660,1,Zabul,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,300616.3073512348,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f3_2,12653393B56617740339660,1,Zabul,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,300616.30735123483,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f4_0,12653393B46006342616872,1,Uruzgan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,228365.23905487193,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f4_1,12653393B46006342616872,1,Uruzgan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,332184.8826025987,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f4_2,12653393B46006342616872,1,Uruzgan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,332184.88260259875,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f5_0,12653393B78791504725813,1,Daykundi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,326160.0036053877,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f5_1,12653393B78791504725813,1,Daykundi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,480769.0937997824,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f5_2,12653393B78791504725813,1,Daykundi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,480769.09379978233,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f6_0,12653393B29313712249365,1,Ghanzi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AFG,0.0,0.0,0.0,0.0,1399253.732996006,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003f6_1,12653393B29313712249365,1,Ghanzi,357.3525301627815,1434.401765845716,0.0,0.0,0.0,0.0,1,0,0,AFG,4467.470402326435,22145.666614495218,0.0,0.0,770536.1409932764,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
