system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000045b_0,26408823B1629995979425,1,Bengo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AGO,0.0,0.0,0.0,0.0,503980.9514810922,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045b_1,26408823B1629995979425,1,Bengo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AGO,0.0,0.0,0.0,0.0,674749.4689526908,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045b_2,26408823B1629995979425,1,Bengo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AGO,0.0,0.0,0.0,0.0,674749.4689526906,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045c_0,26408823B75281746675067,1,Benguela,545.0423690900207,2339.0109914115133,0.0,0.0,0.0,0.0,2,0,0,AGO,15574.751660380512,77970.37206543543,0.0,0.0,1854124.3120358167,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045c_1,26408823B75281746675067,1,Benguela,545.0423690900207,2339.0109914115137,0.0,0.0,0.0,0.0,2,0,0,AGO,6640.673169784248,46562.26423289666,0.0,0.0,1690704.697330076,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045c_2,26408823B75281746675067,1,Benguela,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AGO,0.0,0.0,0.0,0.0,1690704.697330077,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045d_0,26408823B27508642812365,1,Bié,1483.3332459928902,3799.742741193115,0.0,0.0,0.0,0.0,1,0,0,AGO,7565.504232841978,54512.79367911945,0.0,0.0,1922342.776101418,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045d_1,26408823B27508642812365,1,Bié,1483.33324599289,3799.742741193115,0.0,0.0,0.0,0.0,1,0,0,AGO,4611.798027740062,31848.102430371364,0.0,0.0,924735.5052689234,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045d_2,26408823B27508642812365,1,Bié,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AGO,0.0,0.0,0.0,0.0,924735.5052689235,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e_0,26408823B25821416016710,1,Cabinda,0.0,0.0,0.0,0.0,0.0,119.39061002422343,0,0,1,AGO,0.0,0.0,0.0,0.0,110688.4611019394,0.0,5973.756693474101,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e_1,26408823B25821416016710,1,Cabinda,0.0,0.0,0.0,0.0,0.0,183.5842136353364,0,0,2,AGO,0.0,0.0,0.0,0.0,1183488.8444549134,0.0,77753.77104884497,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e_2,26408823B25821416016710,1,Cabinda,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AGO,0.0,0.0,0.0,0.0,1183488.8444549139,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045f_0,26408823B93569072225888,1,Cunene,0.0,0.0,5221.37889050366,3343.033026011614,0.0,0.0,0,2,0,AGO,0.0,0.0,15083.178398369748,17675.59999952529,455219.3494346699,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045f_1,26408823B93569072225888,1,Cunene,0.0,0.0,5221.378890503661,3343.0330260116134,48.496081834235326,1922.8599496241256,0,2,5,AGO,0.0,0.0,33307.48337965385,38311.56455024865,1064011.5924505745,299.22972852870197,40245.57209653123,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045f_2,26408823B93569072225888,1,Cunene,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,AGO,0.0,0.0,0.0,0.0,1064011.592450574,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
