system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000531_0,87207978B95213924600823,1,Gitega,0.0,0.0,0.0,64.48474586836117,0.0,0.0,0,1,0,BDI,0.0,0.0,0.0,11873.003185391895,550222.3540271345,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000531_1,87207978B95213924600823,1,Gitega,0.0,0.0,0.0,64.48474586836117,0.0,0.0,0,1,0,BDI,0.0,0.0,0.0,21597.345369061306,769237.3016217025,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000531_2,87207978B95213924600823,1,Gitega,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BDI,0.0,0.0,0.0,0.0,769237.3016217026,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000532_0,87207978B16018837471159,1,Kirundo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BDI,0.0,0.0,0.0,0.0,437157.3548449195,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000532_1,87207978B16018837471159,1,Kirundo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BDI,0.0,0.0,0.0,0.0,731409.7282018801,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000532_2,87207978B16018837471159,1,Kirundo,0.0,0.0,0.0,0.0,37.39996639571938,1240.471214333524,0,0,2,BDI,0.0,0.0,0.0,0.0,731409.72820188,15736.979739295268,603087.7972034151,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000533_0,87207978B26491438187770,1,Muyinga,0.0,0.0,95.44731730002474,464.1477753547841,0.0,0.0,0,1,0,BDI,0.0,0.0,10492.462106049292,93459.59852196187,425838.50457351084,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000533_1,87207978B26491438187770,1,Muyinga,0.0,0.0,95.44731730002474,464.14777535478424,0.0,0.0,0,1,0,BDI,0.0,0.0,16428.70691422294,155084.8428600856,907171.1131394433,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000533_2,87207978B26491438187770,1,Muyinga,0.0,0.0,0.0,0.0,1.8476583505305004,282.7238712073723,0,0,1,BDI,0.0,0.0,0.0,0.0,907171.1131394434,474.20445346832275,306592.03395995445,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000534_0,87207978B61642532121810,1,Ngozi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BDI,0.0,0.0,0.0,0.0,512609.96066493524,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
