system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000003aa_0,11314189B6086502013331,1,Borgou,0.0,0.0,0.0,214.71420556193618,4480.6200701003045,7076.035397962588,0,1,8,BEN,0.0,0.0,0.0,868.1529155881126,720644.9371440306,20157.148973736388,236008.42288462666,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003aa_1,11314189B6086502013331,1,Borgou,0.0,0.0,0.0,214.71420556193615,4480.6200701003045,7076.035397962588,0,1,8,BEN,0.0,0.0,0.0,2942.2279095940144,1615993.846777159,55884.86151189686,504847.40133501217,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003aa_2,11314189B6086502013331,1,Borgou,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BEN,0.0,0.0,0.0,0.0,1615993.8467771593,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ab_0,11314189B84365908568321,1,Alibori,476.2600005125006,1691.3794339146539,5635.8508380577405,3163.716925670911,4234.814549053124,6310.0917193159285,4,4,5,BEN,3481.9434344042093,60063.31115547345,3176.188989884684,42370.53989809993,469555.7461388396,10889.386998304799,106999.41880001454,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ab_1,11314189B84365908568321,1,Alibori,476.2600005125006,1691.3794339146539,5635.873560228207,3163.6942035004467,4234.814549053123,6310.0917193159285,4,5,6,BEN,8766.40939181298,135883.9237626271,10501.637893819057,110070.05658102279,1025699.4306495049,23157.999370668633,230028.6142269298,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ab_2,11314189B84365908568321,1,Alibori,0.0,0.0,0.0,0.0,0.0,49.59358331168106,0,0,1,BEN,0.0,0.0,0.0,0.0,1025699.4306495049,0.0,2483.3632773164736,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac_0,11314189B98234112011604,1,Atakora,1583.5612172132433,2121.405080010497,2698.8125145051154,1827.375170286767,753.8492255689175,2924.115498109407,4,3,6,BEN,52070.24823120609,85733.77485132261,225.24518457010532,743.7075742905339,616422.3266201279,2539.301388590122,70384.6340385383,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac_1,11314189B98234112011604,1,Atakora,1583.561217213243,2121.405080010497,2699.6070648729874,1826.5806199188946,753.8492255689176,2976.963715274884,4,5,11,BEN,79109.81588900555,129491.69635801174,234.13896535225211,1103.2082714503777,998272.6597854482,4580.582097358563,128861.26318095546,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac_2,11314189B98234112011604,1,Atakora,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BEN,0.0,0.0,0.0,0.0,998272.659785448,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ad_0,11314189B13023113934095,1,Donga,0.0,39.174748278000195,0.0,0.0,2317.052205743732,3126.4127311403413,1,0,6,BEN,0.0,934.0455377763831,0.0,0.0,344932.2138030178,5087.986475078944,167107.75913942468,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
