system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000003aa_0,11314189B6086502013331,1,Borgou,0.0,0.0,0.0,174.72900703268894,4480.379902578118,7019.47638868524,0,1,8,BEN,0.0,0.0,0.0,2763.2639577067657,552978.7548116758,54120.86626169293,140357.34251796448,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003aa_1,11314189B6086502013331,1,Borgou,0.0,0.0,0.0,174.72900703268894,4480.379902578115,7019.476388685238,0,1,8,BEN,0.0,0.0,0.0,4543.842009565191,1433379.210607949,146335.0202870709,371765.1340417302,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003aa_2,11314189B6086502013331,1,Borgou,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BEN,0.0,0.0,0.0,0.0,1433379.210607949,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ab_0,11314189B84365908568321,1,Alibori,514.4321959845612,1675.985858014292,5636.148313408739,3094.6449310113285,4254.949519154535,6219.948801587413,4,4,5,BEN,10090.686612697822,47959.984522557585,30040.59009591134,49593.8471441013,402442.71335347096,39246.11115712418,79570.12959494472,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ab_1,11314189B84365908568321,1,Alibori,514.4321959845612,1675.9858580142918,5636.175908070277,3094.6173363497915,4254.949519154535,6219.948801587412,4,5,6,BEN,27370.597605160172,127465.380459504,77929.59150742317,135059.81802484047,1009372.0338506476,91562.25547452462,210184.38042663623,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ab_2,11314189B84365908568321,1,Alibori,0.0,0.0,0.0,0.0,0.0,44.023152496132504,0,0,1,BEN,0.0,0.0,0.0,0.0,1009372.0338506475,0.0,1777.50621111989,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac_0,11314189B98234112011604,1,Atakora,1585.0839554402028,2114.242749206196,2698.8147548154984,1839.1327926931135,754.042412812124,2896.760636369355,4,3,6,BEN,28548.622950974615,64878.00740316995,14197.451964859358,13433.697736780405,480988.7693182326,8821.026524344217,62867.95894910393,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac_1,11314189B98234112011604,1,Atakora,1585.0839554402025,2114.2427492061956,2699.6553956761877,1838.2921518324238,754.0424128121241,2951.423922998127,4,5,11,BEN,47168.884766258234,113287.3454447207,25681.22998618051,25625.80767911191,894634.6703469225,15235.858359367534,130452.12360538093,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac_2,11314189B98234112011604,1,Atakora,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BEN,0.0,0.0,0.0,0.0,894634.6703469226,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ad_0,11314189B13023113934095,1,Donga,0.0,17.201995361296863,0.0,0.0,2316.95362359327,3084.67850973487,1,0,6,BEN,0.0,1380.651368808279,0.0,0.0,275206.5213638937,19468.860723629186,85305.70598530302,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ad_1,11314189B13023113934095,1,Donga,0.0,17.201995361296863,0.0,0.0,2316.9536235932705,3084.6785097348697,1,0,6,BEN,0.0,3851.1810454775314,0.0,0.0,605761.2001440332,50760.92469008938,192831.6532749081,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ad_2,11314189B13023113934095,1,Donga,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BEN,0.0,0.0,0.0,0.0,605761.2001440331,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
