system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000049a_0,66845921B97990669910096,1,Trashigang,814.5835757095841,759.408035931338,0.0,0.0,0.0,0.0,4,0,0,BTN,3189.619413435459,12634.596757521816,0.0,0.0,49310.184507191516,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049a_1,66845921B97990669910096,1,Trashigang,814.5835757095841,759.4080359313383,0.0,0.0,0.0,0.0,4,0,0,BTN,4306.401915572584,16871.26839633906,0.0,0.0,63341.92481316429,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049a_2,66845921B97990669910096,1,Trashigang,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BTN,0.0,0.0,0.0,0.0,63341.92481316428,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049b_0,66845921B83925222569127,1,Trashiyangtse,703.5546433796376,531.6720537416929,0.0,0.0,0.0,0.0,3,0,0,BTN,706.3154999191709,7528.058921397281,0.0,0.0,17054.44424759135,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049b_1,66845921B83925222569127,1,Trashiyangtse,703.5546433796376,531.6720537416928,0.0,0.0,0.0,0.0,3,0,0,BTN,829.2257460876642,10759.173825100028,0.0,0.0,22665.113835385797,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049b_2,66845921B83925222569127,1,Trashiyangtse,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BTN,0.0,0.0,0.0,0.0,22665.113835385797,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049c_0,66845921B85706545486898,1,Mongar,47.6312079051473,240.55970678890822,216.3448556945458,408.5825136776575,0.0,0.0,3,1,0,BTN,27.987428665161133,3483.20471176863,208.16693100333214,12077.257927615086,35980.92145844883,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049c_1,66845921B85706545486898,1,Mongar,47.6312079051473,240.5597067889082,216.3448556945458,408.5825136776575,0.0,0.0,3,1,0,BTN,16.136188864707947,4937.975201895694,358.36446569114923,16846.37622666209,49441.119631707945,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049c_2,66845921B85706545486898,1,Mongar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BTN,0.0,0.0,0.0,0.0,49441.11963170795,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000049d_0,66845921B11724657218086,1,Lhuntse,807.0058195542326,451.6368981090904,215.77352876250137,773.279086577286,0.0,0.0,2,1,0,BTN,393.2377837056331,1657.186205714941,19.08792495727539,12117.966475053541,14323.858040694746,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
