system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000005a5_0,63714938B80965967760299,1,Mbomou,2865.0899431213843,2191.609542162533,12.894047105955144,2562.452629605728,0.0,0.0,2,1,0,CAF,18.909191131591797,162.67594981193542,0.190553717315197,49305.46535253455,167097.99908561254,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a5_1,63714938B80965967760299,1,Mbomou,2865.0899431213847,2191.609542162534,12.894047105955144,2562.4526296057275,0.0,0.0,2,1,0,CAF,32.513679683208466,185.88516008853912,0.18928487040102482,69214.68920912698,232319.75107081127,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a5_2,63714938B80965967760299,1,Mbomou,0.0,0.0,0.0,0.0,12000.823088745587,6839.052929522247,0,0,1,CAF,0.0,0.0,0.0,0.0,232319.75107081127,18047.808214802295,28066.89922818575,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a6_0,63714938B10182621292008,1,Sangha-Mbaéré,2196.246748994656,1753.5899307373986,1226.906595870374,1337.5951362986957,156.1380639055123,761.3558116490825,1,2,1,CAF,772.0096203777939,8969.213808977976,20.312266715802252,11045.889921646798,104449.83979299865,0.4474704749882221,887.269443102181,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a6_1,63714938B10182621292008,1,Sangha-Mbaéré,2196.246748994656,1753.5899307373986,1242.5701907837067,1321.9315413853628,156.13806390551233,761.3558116490825,1,3,4,CAF,1821.257730703801,12965.900409139693,23.037423685193062,15804.692890495857,147054.19007644404,0.4873229078948498,1095.8211916983128,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a6_2,63714938B10182621292008,1,Sangha-Mbaéré,0.0,0.0,0.0,0.0,944.2050431116722,878.9499186360551,0,0,1,CAF,0.0,0.0,0.0,0.0,147054.19007644404,363.2320092096925,1157.9170540552586,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a7_0,63714938B36943607193355,1,Mambéré-Kadéï,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,352268.6653354368,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a7_1,63714938B36943607193355,1,Mambéré-Kadéï,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,491726.96121239365,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a7_2,63714938B36943607193355,1,Mambéré-Kadéï,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,491726.9612123936,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a8_0,63714938B13291789253349,1,Lobaye,0.0,0.0,0.0,0.0,641.1563018698722,1294.4986028957308,0,0,2,CAF,0.0,0.0,0.0,0.0,216206.8862565585,61.01196929439902,7177.118531346321,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a8_1,63714938B13291789253349,1,Lobaye,0.0,0.0,0.0,0.0,641.156301869872,1294.498602895731,0,0,2,CAF,0.0,0.0,0.0,0.0,303214.229930306,72.73450237885118,11562.574372226372,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a8_2,63714938B13291789253349,1,Lobaye,0.0,0.0,0.0,0.0,354.19118842223634,1710.4100824253305,0,0,1,CAF,0.0,0.0,0.0,0.0,303214.2299303061,5050.606040703133,10287.409914221615,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a9_0,63714938B45931335156916,1,Nana-Mambéré,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,216933.63380965454,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a9_1,63714938B45931335156916,1,Nana-Mambéré,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,298848.03960304416,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a9_2,63714938B45931335156916,1,Nana-Mambéré,0.0,0.0,0.0,0.0,464.9986153850332,1667.5244854353368,0,0,1,CAF,0.0,0.0,0.0,0.0,298848.03960304416,3959.965555962175,63450.93806974869,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005aa_0,63714938B60846587530410,1,Ombella-M'Poko,0.0,0.0,0.0,0.0,278.64235333167017,925.4564582791143,0,0,1,CAF,0.0,0.0,0.0,0.0,190226.06961392035,3881.1308938320726,36580.21130880784,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005aa_1,63714938B60846587530410,1,Ombella-M'Poko,0.0,0.0,0.0,0.0,278.64235333167017,925.4564582791143,0,0,1,CAF,0.0,0.0,0.0,0.0,292140.4469424655,6740.6902822274715,72205.95788465414,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005aa_2,63714938B60846587530410,1,Ombella-M'Poko,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,292140.4469424655,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ab_0,63714938B93397482303242,1,Ouham-Pendé,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,416388.3670558614,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ab_1,63714938B93397482303242,1,Ouham-Pendé,0.0,0.0,7.154456644885095,380.07623519102737,0.0,0.0,0,1,0,CAF,0.0,0.0,0.0,5890.434829930173,582649.1561675698,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
