system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000005a5_0,63714938B80965967760299,1,Mbomou,2865.0212076241182,2169.5487120439716,13.071673541698676,2658.058524869025,0.0,0.0,2,1,0,CAF,776.031653496607,1108.749417011434,38.82471168616822,33550.04068545136,130485.48427609372,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a5_1,63714938B80965967760299,1,Mbomou,2865.021207624119,2169.5487120439716,13.071673541698678,2658.0585248690254,0.0,0.0,2,1,0,CAF,805.7161410421118,1239.7446201120003,52.028780345582206,50432.77901472447,192242.24158410553,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a5_2,63714938B80965967760299,1,Mbomou,0.0,0.0,0.0,0.0,12000.317473575473,6938.15198680719,0,0,1,CAF,0.0,0.0,0.0,0.0,192242.24158410553,24016.58063039789,28242.30711653062,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a6_0,63714938B10182621292008,1,Sangha-Mbaéré,2194.601843391585,1799.8666624172683,1227.6866141367157,1337.3026519342127,156.09630845963738,755.0805544760078,1,2,1,CAF,4615.513638925604,6751.483416164912,796.2354463826136,2423.728833322376,81402.0595760183,108.20057398567394,1013.8693196035895,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a6_1,63714938B10182621292008,1,Sangha-Mbaéré,2194.601843391585,1799.8666624172686,1243.4037098247047,1321.5855562462236,156.09630845963738,755.0805544760077,1,3,4,CAF,6514.518077902793,10288.610806513843,1260.060708312337,4703.940855786903,120854.98583503463,119.91775811323986,1937.7572708671044,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a6_2,63714938B10182621292008,1,Sangha-Mbaéré,0.0,0.0,0.0,0.0,944.2946467035031,835.8197411519457,0,0,1,CAF,0.0,0.0,0.0,0.0,120854.98583503465,1173.3953986278893,1771.1110777297501,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a7_0,63714938B36943607193355,1,Mambéré-Kadéï,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,288926.3630614152,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a7_1,63714938B36943607193355,1,Mambéré-Kadéï,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,424154.3779127268,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a7_2,63714938B36943607193355,1,Mambéré-Kadéï,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,424154.37791272684,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a8_0,63714938B13291789253349,1,Lobaye,0.0,0.0,0.0,0.0,641.4138981902242,1276.93155680114,0,0,2,CAF,0.0,0.0,0.0,0.0,181794.9984091108,1680.813963641292,10104.219507484571,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a8_1,63714938B13291789253349,1,Lobaye,0.0,0.0,0.0,0.0,641.4138981902241,1276.9315568011402,0,0,2,CAF,0.0,0.0,0.0,0.0,267756.2945779854,1548.9794094886631,13256.781852022457,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a8_2,63714938B13291789253349,1,Lobaye,0.0,0.0,0.0,0.0,354.09104212985244,1709.781043347249,0,0,1,CAF,0.0,0.0,0.0,0.0,267756.2945779855,3385.507364642686,20142.624893434295,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a9_0,63714938B45931335156916,1,Nana-Mambéré,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,182082.85827231215,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a9_1,63714938B45931335156916,1,Nana-Mambéré,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CAF,0.0,0.0,0.0,0.0,266575.6637069941,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a9_2,63714938B45931335156916,1,Nana-Mambéré,0.0,0.0,0.0,0.0,464.72147964313626,1630.8765109786764,0,0,1,CAF,0.0,0.0,0.0,0.0,266575.6637069941,3516.529339659959,41502.488791427575,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005aa_0,63714938B60846587530410,1,Ombella-M'Poko,0.0,0.0,0.0,0.0,278.6228296998888,945.6251792889417,0,0,1,CAF,0.0,0.0,0.0,0.0,242715.9850961948,17970.970682360232,56432.774304838036,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
