system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000004f8_0,67827341B31154795269334,1,Bouenza,0.0,118.36819161081723,0.0,0.0,0.0,0.0,1,0,0,COG,0.0,37.59758946020156,0.0,0.0,198224.43032238245,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f8_1,67827341B31154795269334,1,Bouenza,0.0,118.36819161081723,0.0,0.0,10.768956609168914,578.7583949503434,1,0,1,COG,0.0,37.655160665512085,0.0,0.0,248493.85153210582,0.0,795.8151773810387,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f8_2,67827341B31154795269334,1,Bouenza,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,248493.85153210582,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f9_0,67827341B49009283538750,1,Cuvette,0.0,0.0,0.0,259.8742647673314,0.0,0.0,0,1,0,COG,0.0,0.0,0.0,4.298914156854153,91205.543114484,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f9_1,67827341B49009283538750,1,Cuvette,0.0,0.0,1.0114346238802754,507.897438420432,31972.316004301036,4921.375823792361,0,2,8,COG,0.0,0.0,0.0,23.251647765748203,163108.92631499597,122853.996252734,33760.71807844153,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f9_2,67827341B49009283538750,1,Cuvette,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,163108.926314996,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fa_0,67827341B40537916918229,1,Cuvette-Ouest,0.0,0.0,6752.894812724597,2015.4526442465135,0.0,0.0,0,1,0,COG,0.0,0.0,551.5651380387135,3411.6403731406026,28182.329189498767,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fa_1,67827341B40537916918229,1,Cuvette-Ouest,282.94317177217454,1217.1175596676767,6752.894812724598,2015.452644246514,4772.633493014403,2647.111437674076,1,1,4,COG,0.0,61.77578563988209,4303.580056533217,15576.780185398306,155507.05320194742,70900.35302122674,5827.226124849111,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fa_2,67827341B40537916918229,1,Cuvette-Ouest,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,155507.05320194742,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fb_0,67827341B60573037048895,1,Kouilou,88.29232978448272,628.3965706598196,3586.1199559324546,1345.0632251711963,0.0,0.0,1,1,0,COG,220.8253273628652,4098.483059246502,1683.5706531545547,1714.7073760125786,270323.49405953777,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fb_1,67827341B60573037048895,1,Kouilou,88.29232978448272,628.3965706598196,3586.1199559324536,1345.0632251711963,196.45137119386345,1291.7372970567212,1,1,3,COG,530.1566240815446,8209.068357624958,3073.8827352325343,2626.302163886372,444329.80112731294,47.42082655709237,159262.03095670397,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fb_2,67827341B60573037048895,1,Kouilou,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,444329.801127313,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fc_0,67827341B66248450325397,1,Likouala,7.415406875798077,423.47206275245424,2137.1431882478623,2037.720212830738,4500.417007556185,4819.601224616802,1,2,2,COG,0.0,41.683022405952215,0.0,0.0,45576.69252163864,1908.86360910628,940.1865163347684,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fc_1,67827341B66248450325397,1,Likouala,4492.267133885549,5150.611018562562,2137.143188247863,2037.7202128307383,24793.568070714304,9173.39369748194,2,2,8,COG,34362.6314291507,26715.34609720111,0.0,0.0,943181.6385919584,405241.8982335602,117178.56463220435,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fc_2,67827341B66248450325397,1,Likouala,0.0,0.0,0.0,0.0,62.86871690942596,755.3039448848396,0,0,1,COG,0.0,0.0,0.0,0.0,943181.6385919584,468.85880152881145,2676.1795745044947,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fd_0,67827341B50868074767684,1,Lékoumou,2.0278439298052997,186.71069532501713,0.0,0.0,0.0,0.0,1,0,0,COG,9.633273847255051,1022.3111750001635,0.0,0.0,43452.982788983085,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fd_1,67827341B50868074767684,1,Lékoumou,2.0278439298052997,186.71069532501713,2133.4053350635127,1776.83270432101,0.0,63.70451174306081,1,1,2,COG,20.70398579976138,3473.3413994221128,139.22218292951584,4960.299534440041,144934.30293012437,0.0,84.92211192846298,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fd_2,67827341B50868074767684,1,Lékoumou,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,144934.30293012434,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fe_0,67827341B58284401685335,1,Niari,587.9418984933154,2581.57194042872,0.0,92.00237897508137,37.80058392175638,527.9805831466638,3,1,2,COG,618.8318538815404,7485.253429301214,0.0,0.0,174352.74999877755,0.0,382.6117270337418,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fe_1,67827341B58284401685335,1,Niari,587.9418984933153,2581.571940428719,0.0,92.00237897508138,868.6915091503229,2867.050352125053,3,1,6,COG,1022.8989394058254,7553.913088824372,0.0,0.0,147518.28374100282,501.8131823153235,3240.087854522746,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fe_2,67827341B58284401685335,1,Niari,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,147518.28374100282,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ff_0,67827341B92908513350591,1,Plateaux,3072.0343891399857,2659.7606141247434,0.0,0.0,2.6244052488393352,475.065398357111,1,0,1,COG,6166.515380061703,7762.605855560751,0.0,0.0,125301.42037812185,3.0533820809796453,262.62365243025124,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ff_1,67827341B92908513350591,1,Plateaux,3073.062011713977,2658.732991550753,1303.4287136818518,1645.6996341640895,1838.916363713375,4296.501721527943,2,1,6,COG,5000.191859256148,6712.7259677661,1.3651578109711409,1051.1196800936013,104122.70212809513,2751.651083716206,17251.646368061258,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ff_2,67827341B92908513350591,1,Plateaux,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,104122.70212809512,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000500_0,67827341B26824927831038,1,Pool,424.54629507543257,1408.7454137285695,0.0,0.0,1287.856608329425,926.7706303236823,1,0,1,COG,571.5966196670142,1460.9866672462601,0.0,0.0,33064.77568378763,2954.940834162291,1690.9945310764015,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000500_1,67827341B26824927831038,1,Pool,2161.271947482506,2641.868699290439,0.0,0.0,1287.856608329425,806.6650538774024,2,0,1,COG,14.70179249101185,134.99983423704575,0.0,0.0,2642.695921357794,71.47063115130581,36.193276311591035,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000500_2,67827341B26824927831038,1,Pool,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,2642.695921357794,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000501_0,67827341B83703899308508,1,Sangha,0.0,0.0,8666.343333229639,4852.044052153843,0.0,0.0,1,3,0,COG,0.0,0.0,305.8418968729675,811.4427146264352,45543.7347153563,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000501_1,67827341B83703899308508,1,Sangha,0.0,143.13630449777358,8686.755249057036,5505.578112248342,16109.94996678365,5399.928449689067,2,5,8,COG,0.0,116.92572327195211,647.4413711428642,4027.2350830361283,99680.68028848409,26034.214581194017,52824.01591267925,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000501_2,67827341B83703899308508,1,Sangha,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,99680.68028848409,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000502_0,67827341B64489104323901,1,Brazzaville,0.0,0.0,0.0,0.0,0.8245048550888896,339.4367003195864,0,0,2,COG,0.0,0.0,0.0,0.0,1603158.7059112317,862.2568412870169,1494766.4844562004,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000502_1,67827341B64489104323901,1,Brazzaville,3.712143133010935,92.13831984142901,0.0,0.0,55.42081179190427,691.7216390229614,1,0,3,COG,0.0,0.1255291315894711,0.0,0.0,2765994.518436811,4967.238785156296,2756621.915688224,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000502_2,67827341B64489104323901,1,Brazzaville,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,2765994.5184368123,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000503_0,67827341B24651927925898,1,Pointe-Noire,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,484259.2742019202,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000503_1,67827341B24651927925898,1,Pointe-Noire,0.0,0.0,0.0,0.0,0.0,50.267201158912016,0,0,1,COG,0.0,0.0,0.0,0.0,449891.6340848333,0.0,279975.45635881444,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000503_2,67827341B24651927925898,1,Pointe-Noire,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,449891.6340848334,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
