system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000605_0,25444519B7681288134121,1,Ali Sabieh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,66557.02807085676,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000605_1,25444519B7681288134121,1,Ali Sabieh,0.0,0.0,0.0,0.0,199.0180718404734,1030.577138078976,0,0,2,DJI,0.0,0.0,0.0,0.0,101493.45502770758,213.83619339454407,12048.01961511663,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000605_2,25444519B7681288134121,1,Ali Sabieh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,101493.45502770756,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000606_0,25444519B1274960689098,1,Arta,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,38174.22586931945,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000606_1,25444519B1274960689098,1,Arta,0.0,0.0,0.0,0.0,0.7810657191400726,392.31610319554875,0,0,1,DJI,0.0,0.0,0.0,0.0,33816.182389300666,0.017959505319595337,1221.4996191532296,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000606_2,25444519B1274960689098,1,Arta,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,33816.182389300666,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000607_0,25444519B52373268249817,1,Dikhil,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,89024.94355131108,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000607_1,25444519B52373268249817,1,Dikhil,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,78061.25108470736,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000607_2,25444519B52373268249817,1,Dikhil,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,78061.25108470736,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000608_0,25444519B6046592555533,1,Tadjourah,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,60971.22444863916,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000608_1,25444519B6046592555533,1,Tadjourah,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,111399.19781930803,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000608_2,25444519B6046592555533,1,Tadjourah,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,111399.19781930801,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000609_0,25444519B8926294731251,1,Obock,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,11099.1827766185,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000609_1,25444519B8926294731251,1,Obock,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,10623.2474602595,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000609_2,25444519B8926294731251,1,Obock,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,10623.2474602595,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060a_0,25444519B34443348585704,1,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,31727.81328916473,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060a_1,25444519B34443348585704,1,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,70383.76488929431,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060a_2,25444519B34443348585704,1,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,70383.76488929431,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
