system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000062d_0,12472421B94455277260743,1,Anseba Region,3219.9429199929987,1170.3100713453348,0.0,0.0,0.0,0.0,1,0,0,ERI,18770.448863323523,7556.678155741155,0.0,0.0,496199.24412674963,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062d_1,12472421B94455277260743,1,Anseba Region,3219.942919992998,1170.310071345335,0.0,0.0,0.0,0.0,1,0,0,ERI,18298.03881251397,8715.232367889008,0.0,0.0,452596.8464401235,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062d_2,12472421B94455277260743,1,Anseba Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,452596.8464401236,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062e_0,12472421B57032757115732,1,Gash-Barka Region,810.6294987853616,1719.7864568596706,0.0,0.0,0.0,0.0,1,0,0,ERI,16020.105236694217,52392.64206216112,0.0,0.0,537838.587809418,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062e_1,12472421B57032757115732,1,Gash-Barka Region,810.6294987853616,1719.7864568596706,41.283506741889695,1545.1452997982726,0.0,0.0,1,1,0,ERI,25277.906261347234,65017.39588467777,3297.9298394912603,57359.74709386314,788305.8283315327,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062e_2,12472421B57032757115732,1,Gash-Barka Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,788305.8283315321,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062f_0,12472421B98039697407970,1,Debub Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,510181.6131672765,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062f_1,12472421B98039697407970,1,Debub Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,798726.1577532365,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062f_2,12472421B98039697407970,1,Debub Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,798726.1577532366,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000630_0,12472421B35314914583003,1,Maekel Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,411276.2933563541,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000630_1,12472421B35314914583003,1,Maekel Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,547812.40033917,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000630_2,12472421B35314914583003,1,Maekel Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,547812.4003391701,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000631_0,12472421B65827279808895,1,Northen Red Sea Region,1779.9394899225485,3907.2185782916413,0.0,0.0,0.0,0.0,2,0,0,ERI,47147.195482494426,119120.13498871247,0.0,0.0,698218.9596744803,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000631_1,12472421B65827279808895,1,Northen Red Sea Region,1779.9394899225483,3907.218578291641,0.0,0.0,0.0,0.0,2,0,0,ERI,62170.37173809269,144675.0337070887,0.0,0.0,948070.889239775,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000631_2,12472421B65827279808895,1,Northen Red Sea Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,948070.889239775,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000632_0,12472421B74704710393698,1,Southern Red Sea Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,59987.89733399585,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000632_1,12472421B74704710393698,1,Southern Red Sea Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,88942.75112538651,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000632_2,12472421B74704710393698,1,Southern Red Sea Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ERI,0.0,0.0,0.0,0.0,88942.7511253865,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
