system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000642_0,75662566B5378229891244,1,Addis Ababa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ETH,0.0,0.0,0.0,0.0,2027342.5677035293,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000642_1,75662566B5378229891244,1,Addis Ababa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ETH,0.0,0.0,0.0,0.0,3037891.5220806394,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000642_2,75662566B5378229891244,1,Addis Ababa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ETH,0.0,0.0,0.0,0.0,3037891.5220806394,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000643_0,75662566B25357223982520,1,Afar,21093.14156893429,6575.926871099586,3404.884437803745,3559.1108119740425,0.0,0.0,6,2,0,ETH,293604.59635056043,88578.64658522944,18949.47696576525,39462.396516254674,1003840.0769360778,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000643_1,75662566B25357223982520,1,Afar,21093.141568934287,6575.926871099586,3404.884437803745,3559.1108119740425,0.0,0.0,6,2,0,ETH,442941.9563821827,131507.82208144802,27690.734282295216,70320.40148601885,1573806.5710140052,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000643_2,75662566B25357223982520,1,Afar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ETH,0.0,0.0,0.0,0.0,1573806.5710140052,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000644_0,75662566B52684709481520,1,Amhara,1255.283348914663,2859.6990467260975,559.5518785913748,5260.05541859826,0.0,0.396515604108572,2,3,1,ETH,67265.12700548602,130175.92959549959,67523.70809074817,254103.56285565556,1.2868709341614857E7,0.0,49.80795347690582,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000644_1,75662566B52684709481520,1,Amhara,1255.283348914663,2859.6990467260975,3215.928567910464,5592.970483434515,0.0,0.396515604108572,2,4,1,ETH,97200.04254783048,197658.49489118558,107231.52208770641,391936.82746855635,1.920915971677799E7,0.0,27.736168920993805,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000644_2,75662566B52684709481520,1,Amhara,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,ETH,0.0,0.0,0.0,0.0,1.9209159716777984E7,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000645_0,75662566B16746670119676,1,Beneshangul Gumu,1901.4650094565004,3017.496809650311,28.59029576862048,416.5491264083186,0.0,0.0,1,1,0,ETH,9495.792110485025,25909.671982858945,169.2360180386789,231.17502476814406,553916.9541368755,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000645_1,75662566B16746670119676,1,Beneshangul Gumu,1901.4650094565004,3017.496809650311,28.677662767287266,783.5400143700596,0.0,0.0,1,2,0,ETH,17704.827224295586,45314.352612104485,228.68388819107602,1217.1920403497825,988001.8421272609,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
