system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00010000000000000009_0,64989084B45272424478045,1,Yap,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,3909.117959832547,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000009_1,64989084B45272424478045,1,Yap,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,4372.7764850254225,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000009_2,64989084B45272424478045,1,Yap,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,4372.776485025422,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000a_0,64989084B68407387605857,1,Chuuk,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000a_1,64989084B68407387605857,1,Chuuk,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000a_2,64989084B68407387605857,1,Chuuk,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000b_0,64989084B96342448757476,1,Pohnpei,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,23223.46922610966,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000b_1,64989084B96342448757476,1,Pohnpei,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,27214.802045768713,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000b_2,64989084B96342448757476,1,Pohnpei,0.0,90.69368342686373,0.0,0.0,0.0,0.0,1,0,0,FSM,0.0,5653.886478559,0.0,0.0,27214.80204576871,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000c_0,64989084B38426000857262,1,Kosrae,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,3990.8939517638228,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000c_1,64989084B38426000857262,1,Kosrae,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,3076.8574818684815,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000c_2,64989084B38426000857262,1,Kosrae,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,FSM,0.0,0.0,0.0,0.0,3076.857481868481,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
