system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000006af_0,69750345B35244651716901,1,Western North Region,1427.9671879966213,1722.8027776610802,1742.8515616960788,5447.869036244157,0.0,0.0,24,13,0,GHA,49728.97827572742,130995.08120640734,44719.27752767176,321842.8564201837,547529.0585475403,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006af_1,69750345B35244651716901,1,Western North Region,1427.967187996621,1722.8027776610797,1742.8515616960788,5447.869036244154,0.0,0.0,24,13,0,GHA,62888.98648337373,174863.04537384034,56164.92292436562,433006.36255106743,727538.4693721452,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006af_2,69750345B35244651716901,1,Western North Region,0.0,0.0,0.0,0.0,37.53672951773248,1612.4486857529948,0,0,3,GHA,0.0,0.0,0.0,0.0,727538.4693721452,2011.4250992787236,75933.3751553734,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b0_0,69750345B39836988306125,1,Ahafo Region,415.72184495095746,2044.4969193993904,173.8432566790275,2376.1873493341836,0.0,0.0,19,12,0,GHA,11760.171139432052,163022.51557498117,5416.251629327792,131613.04758583027,315577.30544719595,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b0_1,69750345B39836988306125,1,Ahafo Region,415.72184495095746,2044.4969193993904,173.84325667902755,2376.1873493341836,0.0,0.0,19,12,0,GHA,17156.513143049415,264335.51821393985,8881.954961501791,207567.02309195066,504159.69271532795,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b0_2,69750345B39836988306125,1,Ahafo Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,GHA,0.0,0.0,0.0,0.0,504159.692715328,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b1_0,69750345B2033807628285,1,Bono East Region,303.4938881944208,2483.9175841912197,2785.4671672213935,1604.9011425613223,0.0,0.0,11,3,0,GHA,12142.66799014316,164557.44513032978,21026.526523727764,33215.020709909746,583359.6163644902,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b1_1,69750345B2033807628285,1,Bono East Region,303.4938881944208,2483.9175841912183,2785.4671672213935,1604.901142561322,0.0,0.0,11,3,0,GHA,21061.93823968815,259744.83484534983,37296.39059687578,61106.77257567943,994783.734161928,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b1_2,69750345B2033807628285,1,Bono East Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,GHA,0.0,0.0,0.0,0.0,994783.734161928,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006b2_0,69750345B36149396642941,1,Savannah Region,1630.168622522089,4675.571206270246,4931.556414092335,4592.617559618094,0.0013062411006174834,174.8123700875022,8,3,1,GHA,9275.28421555577,44332.94343996545,25945.44302439494,40088.425257064075,337314.7928092951,0.01539307014614928,3641.0760038349854,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
