system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000006d4_0,385441B97135885584055,1,Boke,0.0,0.0,278.40297244003085,974.0657931167158,1582.296843682471,6675.968590948805,0,2,15,GIN,0.0,0.0,640.0675569844925,35462.0016547566,879394.7490927532,14951.473589482432,194218.26561331694,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006d4_1,385441B97135885584055,1,Boke,0.0,0.0,278.4029724400308,974.0657931167157,3315.4292852556587,7630.811690127905,0,2,17,GIN,0.0,0.0,1373.2088267886572,58513.34229896673,1334676.4405547443,53871.04227266701,309981.1632718911,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006d4_2,385441B97135885584055,1,Boke,0.0,0.0,0.0,0.0,67.4434553744454,2501.4332187540504,0,0,4,GIN,0.0,0.0,0.0,0.0,1334676.4405547432,818.4004599167655,32422.11445401246,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006d5_0,385441B29247776226513,1,Conakry,0.0,0.0,0.0,0.0,3.189707798883319,310.3210958649313,0,0,3,GIN,0.0,0.0,0.0,0.0,1191854.1824741669,36284.9507313557,1155568.435601768,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006d5_1,385441B29247776226513,1,Conakry,0.0,0.0,0.0,0.0,3.189707798883319,310.3210958649313,0,0,3,GIN,0.0,0.0,0.0,0.0,1737923.0930155667,59044.30513204634,1678877.3759937587,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006d5_2,385441B29247776226513,1,Conakry,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,GIN,0.0,0.0,0.0,0.0,1737923.0930155665,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006d6_0,385441B61717407014046,1,Faranah,2360.382309555854,1492.5662526926535,0.0,0.0,751.3326146783417,6188.196413073733,1,0,19,GIN,31951.814213029233,23073.3636327695,0.0,0.0,719485.85575543,10035.928853556514,198785.44290571497,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006d6_1,385441B61717407014046,1,Faranah,2360.382309555854,1492.5662526926537,0.0,0.0,7399.368199461016,7216.8254564364415,1,0,20,GIN,63628.47004205158,41752.364171649286,0.0,0.0,1178299.4549074513,299197.2911318895,218844.73503395577,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006d6_2,385441B61717407014046,1,Faranah,0.0,0.0,0.0,0.0,578.7832304371484,778.0747678540829,0,0,1,GIN,0.0,0.0,0.0,0.0,1178299.4549074513,204.64111995324492,5794.004960563034,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006d7_0,385441B85233176952124,1,Kankan,4.266130910879549,297.7958660031761,0.0,0.0,1342.4834606661004,6955.530121278186,2,0,11,GIN,1459.6608816748485,3162.0599190541125,0.0,0.0,1259314.791207907,4643.870027131511,103410.44998413636,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
