system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000100000000000002a2_0,10453824B77004064719389,1,Gracias a Dios,5458.563582298385,1822.492762659972,0.5396015560765769,372.7581117339761,0.0,0.0,2,1,1,HND,11484.65996388972,8905.014563906208,15.947490615828654,4423.482417363815,50475.9746977134,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a2_1,10453824B77004064719389,1,Gracias a Dios,5458.878748098717,1961.3755511241652,0.5396015560765769,372.75811173397614,0.0,0.0,3,2,1,HND,14878.465806572443,11588.033265295207,14.301790486203103,5757.311721756089,84977.92928212912,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a2_2,10453824B77004064719389,1,Gracias a Dios,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,HND,0.0,0.0,0.0,0.0,84977.9292821291,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a3_0,10453824B39335940856231,1,Bay Islands,27.03437651321292,26.526363915318225,0.0,0.0,0.0,0.0,1,0,0,HND,1688.0578484237194,1996.0114089389642,0.0,0.0,27437.2938517992,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a3_1,10453824B39335940856231,1,Bay Islands,36.07616395472239,56.2685937967115,5.026805960573256,42.17994543407113,0.0,4.181244594037679,2,1,2,HND,1459.0854403017197,6377.980014019621,186.01337122917175,8060.023430766193,62033.96982627764,0.0,104.77251534272057,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a3_2,10453824B39335940856231,1,Bay Islands,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,HND,0.0,0.0,0.0,0.0,62033.969826277644,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a4_0,10453824B23263650177640,1,Choluteca,245.6754852034554,1577.8055705345146,0.0,0.0,0.0,0.0,11,0,0,HND,20872.494992386917,150465.48119815817,0.0,0.0,318562.06744558667,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a4_1,10453824B23263650177640,1,Choluteca,397.5683406533674,1848.3700894474214,0.0,168.8877274147399,0.0,81.8749005459249,13,1,1,HND,24415.64661168217,212605.1306575845,0.0,7582.461777694327,389412.63693209307,0.0,33062.455494880676,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a4_2,10453824B23263650177640,1,Choluteca,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,HND,0.0,0.0,0.0,0.0,389412.6369320931,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a5_0,10453824B27729717308702,1,Colón,1949.8964202980094,1007.5126155661382,0.0,0.0,0.0,1.023806245997548,2,0,1,HND,3509.721705170499,7621.308315444665,0.0,0.0,205248.56296870578,0.0,10.93169898726046,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a5_1,10453824B27729717308702,1,Colón,1950.4188473676315,1182.1124659969414,633.6162591714777,1524.5727468546625,0.0,94.78423806530807,4,3,3,HND,3989.6233576055947,13160.531862508149,10435.853789883202,164332.06679107816,302321.88079289,0.0,3981.987218462231,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a5_2,10453824B27729717308702,1,Colón,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,HND,0.0,0.0,0.0,0.0,302321.8807928899,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a6_0,10453824B59135534570849,1,El Paraíso,446.432576001998,2362.5689477052238,13.546577544068443,347.6357938322037,0.0,0.0,4,3,0,HND,26666.510335295723,115837.93368637189,407.7572144507778,12279.516439088238,294499.21233343735,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a6_1,10453824B59135534570849,1,El Paraíso,446.432576001998,2362.5689477052247,13.546577544068443,347.6357938322038,0.0,0.0,5,3,0,HND,43684.30808076651,172107.61167662908,525.0831161230803,19478.44473481428,440539.62640099763,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a6_2,10453824B59135534570849,1,El Paraíso,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,HND,0.0,0.0,0.0,0.0,440539.62640099734,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a7_0,10453824B23677570544502,1,Olancho,6360.326241284367,2377.545068954227,1034.3449212018875,3654.066242763097,0.0,0.0,4,4,1,HND,20747.33387662267,30358.867362078392,11454.710963263347,100063.46894518675,354319.83842865395,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a7_1,10453824B23677570544502,1,Olancho,6612.249905755615,2530.3610304365147,1478.9530774619652,5202.716861422353,0.6350737866014242,287.4073631241187,6,6,2,HND,34319.36617676998,41931.1510836962,16459.18649525352,180534.1433138291,509988.16223819356,601.5252304077148,12772.773823187063,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a7_2,10453824B23677570544502,1,Olancho,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,HND,0.0,0.0,0.0,0.0,509988.1622381938,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a8_0,10453824B78724193103152,1,Valle,226.601316585841,642.6310550650545,0.0,0.0,0.0,0.0,4,0,0,HND,9558.189013871199,57338.863155308,0.0,0.0,122156.85166507571,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a8_1,10453824B78724193103152,1,Valle,226.60131658584098,642.6310550650546,0.0,0.0,0.0,0.0,4,0,1,HND,11053.478405167392,78004.71764148775,0.0,0.0,154493.78939931848,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a8_2,10453824B78724193103152,1,Valle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,HND,0.0,0.0,0.0,0.0,154493.78939931846,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a9_0,10453824B27728388827872,1,Atlántida,28.32365640562174,118.8205388758843,1608.3961406768537,1913.4491416408994,0.0,0.0,2,5,1,HND,272.17301599205126,4847.24329758513,36434.34376223303,204668.02120387316,282891.9725055953,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a9_1,10453824B27728388827872,1,Atlántida,28.32365640562174,119.58420279444944,1908.3704940055263,2090.200280613222,0.0,23.27138259637299,3,6,2,HND,305.87721942224925,5673.875880592856,121824.5101389151,275490.1966254232,421505.1619519009,0.0,800.3051447067479,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002a9_2,10453824B27728388827872,1,Atlántida,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,HND,0.0,0.0,0.0,0.0,421505.1619519009,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002aa_0,10453824B65572632187118,1,Comayagua,71.10651216344799,481.3492613675511,512.0451097454511,2009.0474951662602,0.0,0.0,3,4,0,HND,3508.5132966251344,62556.80749709147,16100.157118130724,134713.68750422462,292796.4217938537,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002aa_1,10453824B65572632187118,1,Comayagua,71.10651216344797,481.34926136755115,512.0451097454511,2009.04749516626,0.0,64.71751035377383,4,4,1,HND,5661.306746105879,117362.21099485453,25500.083522838842,239096.4941635779,513629.2188339876,0.0,7460.7741140425205,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002aa_2,10453824B65572632187118,1,Comayagua,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,HND,0.0,0.0,0.0,0.0,513629.2188339874,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002ab_0,10453824B73363653217090,1,Copán,17.763128717163323,314.2528045491991,129.3941599444322,1233.6740076138328,0.0,0.0,2,4,0,HND,560.0053910962506,15177.162202127542,5254.178978005592,97565.14581843691,246773.85317988397,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002ab_1,10453824B73363653217090,1,Copán,17.763128717163323,317.345617695865,129.3941599444322,1246.6441105719548,0.0,3.3699090381426844,3,5,2,HND,755.4563753414973,25820.989215802445,5817.54692005353,138095.01731554142,377914.1337079926,0.0,228.47710562266556,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002ab_2,10453824B73363653217090,1,Copán,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,HND,0.0,0.0,0.0,0.0,377914.1337079923,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000002ac_0,10453824B86429592273305,1,Cortés,140.6052035614848,1381.8830819001312,307.58544315862673,1295.0983965632374,0.2184049961065837,7.270676180756851,4,4,1,HND,56110.89665791392,612791.6617598294,17096.74354076932,191716.63570139577,1001558.9380718608,4.724926735139361,118.45437372557674,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
