system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000070c_0,65028918B6690755070061,1,Bali,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IDN,0.0,0.0,0.0,0.0,2629070.3506559,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000070c_1,65028918B6690755070061,1,Bali,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IDN,0.0,0.0,0.0,0.0,4092754.413560903,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000070c_2,65028918B6690755070061,1,Bali,30.186366558955143,1003.0259516006153,151.37516901539823,1445.0686313114659,0.0,0.0,4,3,0,IDN,23435.46194308973,1614586.2977873206,21074.291624319434,774294.1956095943,4092754.4135609027,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000070d_0,65028918B98829509874887,1,West Nusa Tenggara,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IDN,0.0,0.0,0.0,0.0,3195546.2853129436,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000070d_1,65028918B98829509874887,1,West Nusa Tenggara,140.73575198619318,1051.2920959209985,256.24638042692095,957.560093924973,0.0,0.0,3,1,0,IDN,3101.737270346167,448409.1744989708,16342.493705883622,34743.25663816087,4368922.714323718,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000070d_2,65028918B98829509874887,1,West Nusa Tenggara,1146.5314201635254,4595.296577198797,494.95127076986887,1918.6678792698567,17.631769752129912,339.11826485325673,14,5,2,IDN,53920.48387207561,1154919.0917761426,62974.60524897044,697796.4467509501,4368922.714323717,2070.7792888879776,116558.17616520847,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000070e_0,65028918B99918739720671,1,Banten,0.0,23.86107742539881,0.0,0.0,549.8080144682498,355.6815443415012,1,0,1,IDN,0.0,36691.46294093787,0.0,0.0,6923414.696536597,21299.621247260613,39417.098238454906,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000070e_1,65028918B99918739720671,1,Banten,0.0,23.861077425398808,0.0,0.0,549.8080144682498,355.6815443415012,1,0,1,IDN,0.0,56673.83134044946,0.0,0.0,1.2115962665839974E7,41080.82361555354,94756.24047176742,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000070e_2,65028918B99918739720671,1,Banten,5.480681657791138,309.50768437853776,957.3652814860001,2520.424405298908,0.0,28.366619203871515,4,9,1,IDN,1724.5461490154266,958369.4894440296,95945.52629905607,1650549.5101406993,1.211596266583998E7,0.0,129403.90354310953,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000070f_0,65028918B13838862025135,1,Central Java,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IDN,0.0,0.0,0.0,0.0,2.5923812560657747E7,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
