system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000818_0,31783359B80437097027275,1,Xaignabouli,973.9443157417371,1565.8645341312038,35.77904873551691,2467.0949708907697,0.0,0.0,1,4,0,LAO,4323.432486656451,37583.32696707256,427.71031287660975,41718.841811865,263046.4197285498,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000818_1,31783359B80437097027275,1,Xaignabouli,973.9443157417371,1479.3438913778969,43.009647873084184,3396.503901718285,0.0,0.0,1,7,0,LAO,6108.438758844216,43591.33955354491,505.60600569452805,66498.48793518814,343285.2900025579,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000818_2,31783359B80437097027275,1,Xaignabouli,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,343285.29000255815,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000819_0,31783359B8999899719232,1,Attapeu,1741.1094534673857,1820.8816413986515,4.508846395053698,2018.2963321330722,0.0,0.0,3,2,0,LAO,4086.2925122521915,9628.05275466931,3.539946964838914,3049.920071058097,76965.09993493385,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000819_1,31783359B8999899719232,1,Attapeu,1741.1094534673857,1876.9108618362825,4.5088463950537,2018.2963321330722,0.0,0.0,4,2,0,LAO,6980.577169714005,21357.75848426372,4.523534564022146,5116.852601232004,131902.28699747327,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000819_2,31783359B8999899719232,1,Attapeu,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,131902.2869974733,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081a_0,31783359B18099798035754,1,Bokeo,0.006209030970200604,410.3626361440027,0.0,56.39414237976878,0.0,0.0,1,1,0,LAO,0.05995545425251418,8736.004661252919,0.0,1394.1314441862496,107486.05630931775,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081a_1,31783359B18099798035754,1,Bokeo,988.6688682822108,1818.7379790293892,0.0,56.39414237976877,0.0,0.0,2,1,0,LAO,5816.778269458286,35990.536362480954,0.0,1782.1031024649594,170554.4346826095,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081a_2,31783359B18099798035754,1,Bokeo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,170554.43468260954,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081b_0,31783359B52686694059818,1,Bolikhamsai,2661.804456945717,3292.5730986163708,0.0,421.8671996342822,0.0,0.0,3,1,0,LAO,3750.381619786747,44298.223432075625,0.0,10663.15473730191,158258.8554401398,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081b_1,31783359B52686694059818,1,Bolikhamsai,2661.8044569457174,2974.2746058731577,585.3980514171334,2771.0422298234057,104.04166522301075,1043.629279604134,3,5,2,LAO,7034.055094025992,77296.77282618736,1439.5057998043087,89292.5801614926,335020.2515967333,481.0489459559669,8011.585496235407,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081b_2,31783359B52686694059818,1,Bolikhamsai,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,335020.2515967334,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081c_0,31783359B26227132251916,1,Champasak,3135.8815983757445,2871.0298759161587,26.655797565980425,1530.5687345678607,0.0,0.0,3,4,0,LAO,9122.051758048552,164356.95738524507,344.7933889265172,32474.79865879325,426059.3297459492,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081c_1,31783359B26227132251916,1,Champasak,3140.9335750575196,3646.2941772876343,56.1374703749649,2251.3403656431706,0.0,0.0,7,5,0,LAO,12860.256545878508,273289.2320155226,953.5412321222965,72570.44743416841,646910.0178702325,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081c_2,31783359B26227132251916,1,Champasak,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,646910.0178702327,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081d_0,31783359B1064119540000,1,Houaphan,690.8827169816941,1695.0591543584367,0.0,0.0,0.0,0.0,1,0,0,LAO,3893.1720747081563,25699.370677376355,0.0,0.0,244067.0061356048,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081d_1,31783359B1064119540000,1,Houaphan,709.3035399372963,3404.5492086170307,3897.8350584425066,2162.347873627029,12.991564350020068,537.7471963536688,3,1,3,LAO,6030.428846251539,58025.8865096398,18525.55701315854,24823.24216507598,286287.31975600985,195.24761915518806,6589.033483189873,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081d_2,31783359B1064119540000,1,Houaphan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,286287.3197560098,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081e_0,31783359B32687543126582,1,Khammouane,2427.957931235641,3314.2017849642057,0.0,0.0,0.0,0.0,3,0,0,LAO,23415.534078607358,74674.40805259545,0.0,0.0,243963.24972398987,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081e_1,31783359B32687543126582,1,Khammouane,1805.6619035605088,3062.2831947623986,4526.055517289217,2890.6964719615803,82.47478094103143,19.650257377574835,4,5,2,LAO,28481.187343306272,107991.38529662452,13540.197791450682,51167.74951144156,380443.14415847254,149.10821038805878,228.69291919327662,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081e_2,31783359B32687543126582,1,Khammouane,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,380443.1441584728,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081f_0,31783359B96178998933928,1,Luang Namtha,2194.5942213063877,3206.811222591686,0.0,0.0,0.0,0.0,1,0,0,LAO,7089.072533709395,72379.41538595114,0.0,0.0,116024.90981920036,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081f_1,31783359B96178998933928,1,Luang Namtha,2654.7699225166784,3851.930846360815,0.0,0.0,0.0,0.0,2,0,0,LAO,12739.69367161936,124404.47984760419,0.0,0.0,186329.14280011193,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081f_2,31783359B96178998933928,1,Luang Namtha,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,186329.142800112,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000820_0,31783359B8337285946490,1,Luang Prabang,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,318340.7128188768,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000820_1,31783359B8337285946490,1,Luang Prabang,2.920397306799743,657.8855752564053,793.4531895663042,1626.1598158617414,0.0,0.0,1,1,0,LAO,66.68307107154499,15018.027115873821,1945.311580309184,16005.9438790413,407464.6246980439,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000820_2,31783359B8337285946490,1,Luang Prabang,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,407464.62469804403,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
