system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000868_0,1627179B80972729563959,1,Bomi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LBR,0.0,0.0,0.0,0.0,71389.60661820346,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000868_1,1627179B80972729563959,1,Bomi,0.0,0.0,0.0,0.0,203.93174709185013,407.0704563537467,0,0,1,LBR,0.0,0.0,0.0,0.0,105123.64734631385,14399.305390378102,31582.99413756804,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000868_2,1627179B80972729563959,1,Bomi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LBR,0.0,0.0,0.0,0.0,105123.64734631384,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000869_0,1627179B61083292869492,1,Bong,0.0,0.0,0.0,0.0,5.8186141898234665,237.102340850161,0,0,1,LBR,0.0,0.0,0.0,0.0,279406.87432326365,252.8819156241293,8333.649399210512,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000869_1,1627179B61083292869492,1,Bong,0.0,0.0,0.0,0.0,5.8186141898234665,237.102340850161,0,0,1,LBR,0.0,0.0,0.0,0.0,421615.5676307433,182.77168661968452,13675.115607069665,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000869_2,1627179B61083292869492,1,Bong,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LBR,0.0,0.0,0.0,0.0,421615.5676307433,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000086a_0,1627179B68944354302681,1,Gbarpolu,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LBR,0.0,0.0,0.0,0.0,63122.155428577455,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000086a_1,1627179B68944354302681,1,Gbarpolu,0.0,0.0,0.0021429477953443343,684.3076865270989,128.8875266323268,427.30138981785336,0,1,1,LBR,0.0,0.0,0.0,3133.8897203423085,118885.44626834047,92.63748441636562,8984.908385112882,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000086a_2,1627179B68944354302681,1,Gbarpolu,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LBR,0.0,0.0,0.0,0.0,118885.44626834044,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000086b_0,1627179B88241484252267,1,Grand Bassa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LBR,0.0,0.0,0.0,0.0,183041.54605336548,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
