system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000671_0,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0.0,0.0,0.0,0.0,256.15327534622276,1237.5838955469171,0,0,3,MAR,0.0,0.0,0.0,0.0,7086.211036626936,434.7528462098494,455.8410821805494,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000671_1,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0.0,0.0,1536.2639248070288,1366.4052708023976,10.57553630863481,232.96393634136038,0,1,4,MAR,0.0,0.0,1510.6965361937791,999.5406556206298,11100.258148207588,15.545163824255852,64.72750120190504,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000671_2,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MAR,0.0,0.0,0.0,0.0,11100.258148207588,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000672_0,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0.0,0.0,0.0,0.0,331.2180983628712,5250.945486386525,0,0,20,MAR,0.0,0.0,0.0,0.0,2462341.549847747,23704.248430625536,1315889.8823678936,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000672_1,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0.0,0.0,872.7220304851146,2271.0928279681752,457.61233338098964,5210.225764563793,0,2,26,MAR,0.0,0.0,38580.74390211555,289659.80115008116,3293875.7231084146,57541.006728229804,2049635.3012563917,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000672_2,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0.0,0.0,0.0,0.0,0.02659423352383515,121.94090957351614,0,0,1,MAR,0.0,0.0,0.0,0.0,3293875.7231084127,31.74914539374557,83447.22315737513,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000673_0,70788906B40056535803135,1,Oriental,0.0,0.0,0.0,0.0,324.09713510301185,3245.6236678675314,0,0,9,MAR,0.0,0.0,0.0,0.0,1722468.3425546754,4693.315200636514,270389.0705200925,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000673_1,70788906B40056535803135,1,Oriental,0.0,0.0,0.0,0.0,360.8157763577048,3620.839728649523,0,0,15,MAR,0.0,0.0,0.0,0.0,2069442.414325354,9399.796856142902,367414.7272655672,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000673_2,70788906B40056535803135,1,Oriental,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MAR,0.0,0.0,0.0,0.0,2069442.4143253544,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000674_0,70788906B26242154300952,1,Drâa-Tafilalet,0.0,0.0,795.6417103983134,1703.3124836052896,1692.299169312045,10197.223956151838,0,2,11,MAR,0.0,0.0,3977.188489064107,9315.331791114855,1241452.8691798798,9599.733233717185,210913.55509779765,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000674_1,70788906B26242154300952,1,Drâa-Tafilalet,0.0,0.0,1580.0293270053046,4413.669285451358,2422.8451599532737,18121.49835979371,0,5,18,MAR,0.0,0.0,15250.126457956612,62531.01957164621,1477425.9714765053,203195.04915979123,539379.2505226947,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000674_2,70788906B26242154300952,1,Drâa-Tafilalet,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MAR,0.0,0.0,0.0,0.0,1477425.9714765048,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000675_0,70788906B1820144472977,1,Souss-Massa,0.0,0.0,1289.9295206635352,2992.9133619729896,1015.5421539369825,7249.725755191817,0,3,12,MAR,0.0,0.0,32991.58320236001,725605.6152726546,1893014.8675489633,13619.996874178196,270354.0429321116,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000675_1,70788906B1820144472977,1,Souss-Massa,0.0,0.0,1289.9295206635352,2992.91336197299,1060.0482819748017,7704.906081922993,0,3,15,MAR,0.0,0.0,42301.47008235093,1120152.84800778,2476519.408895498,18041.188929606567,356850.8819200064,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000675_2,70788906B1820144472977,1,Souss-Massa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MAR,0.0,0.0,0.0,0.0,2476519.408895497,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
