system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000008d4_0,27540722B39676432794686,1,Diana,1599.9006084693488,2362.0437562582943,2017.600697521796,3819.8855912212866,0.0,0.0,3,3,0,MDG,15108.690844202674,32928.87087795108,19345.892155403588,83081.22253465193,333480.9471207122,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d4_1,27540722B39676432794686,1,Diana,1599.9006084693485,2429.735284446921,2017.600697521796,3903.2460260133353,0.0,0.0,4,4,0,MDG,29527.178483709064,79071.91844546708,40091.16522290136,216961.79137793856,802070.367633934,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d4_2,27540722B39676432794686,1,Diana,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MDG,0.0,0.0,0.0,0.0,802070.367633934,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d5_0,27540722B96967449701393,1,Sava,276.80771977154944,939.4773926867648,3201.3465776697017,3652.0382349993492,0.0,0.0,2,3,0,MDG,11120.836705542852,24741.242113609518,41746.05238340933,144075.75303377796,620478.2575304926,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d5_1,27540722B96967449701393,1,Sava,276.8077197715494,939.4773926867646,3201.3465776697026,3652.038234999349,0.0,31.35635958626574,2,3,1,MDG,15005.848376405307,36435.085790372366,51024.22453958506,193017.2537326516,932828.4990793912,0.0,4121.997526376841,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d5_2,27540722B96967449701393,1,Sava,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MDG,0.0,0.0,0.0,0.0,932828.4990793914,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d6_0,27540722B29762949035073,1,Analanjirofo,929.8860518047586,2007.594850148827,828.4060451357389,1692.774902775416,0.0,0.0,2,2,0,MDG,8592.514316178858,41414.69923041365,17536.016125564467,51786.52951300033,658589.8947972589,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d6_1,27540722B29762949035073,1,Analanjirofo,936.6843095437679,2785.6325636388992,828.406045135739,1692.7749027754157,217.03536131571175,880.0356710939686,4,2,5,MDG,15224.874093882563,125267.63370111535,26806.159039126767,111086.53459738217,1021398.5612695673,3908.2641973127047,45387.308130337464,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d6_2,27540722B29762949035073,1,Analanjirofo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MDG,0.0,0.0,0.0,0.0,1021398.5612695673,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d7_0,27540722B26835460634378,1,Amoron'i Mania,0.0,0.0,0.0,10.22103916363535,0.0,0.0,0,1,0,MDG,0.0,0.0,0.0,483.20580987194006,586640.8527481976,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
