system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000090a_0,92416918B70420899930674,1,Bamako,5.4202646498404015,177.31365113697362,0.0,0.0,0.0,0.0,2,0,0,MLI,6977.810139986113,894685.7904365251,0.0,0.0,934388.5022014485,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090a_1,92416918B70420899930674,1,Bamako,5.4202646498404015,177.3136511369736,0.0,0.0,0.0,0.0,2,0,0,MLI,10893.149668039063,2752864.5734123467,0.0,0.0,2894453.87704374,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090a_2,92416918B70420899930674,1,Bamako,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MLI,0.0,0.0,0.0,0.0,2894453.8770437404,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090b_0,92416918B98496355207236,1,Gao,15503.56021462843,7896.4205812896,0.0,0.0,0.0,0.0,6,0,0,MLI,44149.32032732242,113969.34177485995,0.0,0.0,312102.075291094,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090b_1,92416918B98496355207236,1,Gao,18048.815830589767,10666.332477809461,0.0,0.0,0.0,0.0,8,0,0,MLI,100292.83203157088,264838.5571145072,0.0,0.0,781440.5673943781,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090b_2,92416918B98496355207236,1,Gao,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MLI,0.0,0.0,0.0,0.0,781440.5673943779,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090c_0,92416918B67011525583155,1,Kayes,2710.546477693535,13636.978696630444,0.0,0.0,0.0,0.0,25,0,0,MLI,21829.125302382392,272991.9361679124,0.0,0.0,1254140.2732143146,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090c_1,92416918B67011525583155,1,Kayes,3480.5210230056487,15347.493943511976,2034.9883322813566,4434.827489747629,219.641562147066,2540.3302958896384,28,6,1,MLI,48461.005965935605,630551.5467670839,10413.749670964386,39949.749575415844,2538779.909207324,19125.875124678016,103925.59626872838,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090c_2,92416918B67011525583155,1,Kayes,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MLI,0.0,0.0,0.0,0.0,2538779.909207324,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090d_0,92416918B67702032852187,1,Kidal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MLI,0.0,0.0,0.0,0.0,36190.87474496972,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090d_1,92416918B67702032852187,1,Kidal,1038.0945531446487,2143.5096607236883,0.0,0.0,0.0,0.0,2,0,0,MLI,219.25730508286506,442.5154224190743,0.0,0.0,116245.53130614685,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090d_2,92416918B67702032852187,1,Kidal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MLI,0.0,0.0,0.0,0.0,116245.53130614685,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090e_0,92416918B61022065682725,1,Koulikouro,2672.3190008944775,11499.812010784102,0.0,0.0,0.0,0.0,22,0,0,MLI,36428.826550250684,377140.25078844157,0.0,0.0,1471859.3509566195,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090e_1,92416918B61022065682725,1,Koulikouro,2675.9937530536904,11777.957985946327,0.0,0.0,1.538086480461061,553.485758985327,23,0,2,MLI,70670.41820722313,1587139.5276021473,0.0,0.0,3784338.447454927,207.60221827030182,13291.596078496937,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090e_2,92416918B61022065682725,1,Koulikouro,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MLI,0.0,0.0,0.0,0.0,3784338.4474549275,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090f_0,92416918B29694163592634,1,Mopti,6594.840432048463,6960.160843347272,0.0,0.0,3314.6567224636674,3801.206738974899,18,0,1,MLI,39695.90852486208,79274.37574990459,0.0,0.0,1334156.6636090868,178460.39422256872,124617.67930301651,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090f_1,92416918B29694163592634,1,Mopti,6594.840432048464,6960.160843347273,0.0,0.0,23774.82479900712,11269.882797294216,18,0,5,MLI,85316.56768423581,155586.56183845695,0.0,0.0,2462134.292538617,1079659.3682777826,436791.9809122721,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000090f_2,92416918B29694163592634,1,Mopti,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MLI,0.0,0.0,0.0,0.0,2462134.292538617,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000910_0,92416918B20164850262385,1,Segou,736.517967229709,8124.8868050131805,0.0,0.0,0.0,0.0,17,0,0,MLI,20567.349913567305,374553.6588477096,0.0,0.0,1514031.7214178126,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000910_1,92416918B20164850262385,1,Segou,736.517967229709,8124.8868050131805,0.0,0.0,1325.2438855313019,3063.576682518459,17,0,1,MLI,39249.19783440977,711698.5914985336,0.0,0.0,2864815.9580186545,56388.744582456464,130698.93872503951,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000910_2,92416918B20164850262385,1,Segou,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MLI,0.0,0.0,0.0,0.0,2864815.9580186545,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000911_0,92416918B9364304684584,1,Sikasso,2380.8381291161268,11991.056693288388,0.0,0.0,0.0,0.0,22,0,0,MLI,26970.867369702522,433049.55828571884,0.0,0.0,1643124.8437718975,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
