system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000378_0,20573499B9779674920937,1,Ayeyarwady,124.82894052009226,888.2968304618827,0.0,0.0,0.0,0.0,2,0,0,MMR,49.28567290306091,52740.254562972514,0.0,0.0,5140694.30279779,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000378_1,20573499B9779674920937,1,Ayeyarwady,135.94964279529512,2245.1527046577266,0.0,0.0,0.0,311.62060228751284,3,0,1,MMR,50.78752452135086,72091.01187448174,0.0,0.0,6094929.529460154,0.0,42709.61643548991,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000378_2,20573499B9779674920937,1,Ayeyarwady,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MMR,0.0,0.0,0.0,0.0,6094929.529460154,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000379_0,20573499B58864057590207,1,Chin,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MMR,0.0,0.0,0.0,0.0,359071.20453653025,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000379_1,20573499B58864057590207,1,Chin,128.8519040895626,995.4908596072346,1451.731670060195,6059.074083841955,0.0,0.0,1,2,0,MMR,8.088637351989746,53207.12580597401,276.9832627251744,158602.3266236542,518448.8852792237,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000379_2,20573499B58864057590207,1,Chin,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MMR,0.0,0.0,0.0,0.0,518448.88527922373,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000037a_0,20573499B8199738503087,1,Saigang,2609.058427559128,5055.228777414469,1415.6603101172723,1954.5407934783498,0.0,0.0,3,1,0,MMR,26440.898970400543,241907.46930494253,115.36625007539988,31062.443155935034,4107506.875146279,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000037a_1,20573499B8199738503087,1,Saigang,9156.132623404943,8105.378830876292,1415.6603101172723,1954.5407934783502,0.0,0.0,7,1,0,MMR,59477.118500542,401502.5305527693,145.28469496965408,43889.76799255051,5660667.555549272,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000037a_2,20573499B8199738503087,1,Saigang,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MMR,0.0,0.0,0.0,0.0,5660667.555549272,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000037b_0,20573499B79934184351821,1,Kachin,121.66384646389633,1178.8303013332957,4183.552090771238,2858.65884659416,0.0,0.0,2,1,0,MMR,0.0,24152.567175347358,800.7100708335638,4052.932974457741,1235425.0898395758,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
