system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000008af_0,14279143B47638406449643,1,Dornogovi,1904.8421401602418,5241.566047869473,5616.26521246186,3287.787850690975,0.0,0.0,3,2,0,MNG,333.8281866600737,485.6620962023735,425.80923346241605,471.3596428260207,53986.90195012949,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008af_1,14279143B47638406449643,1,Dornogovi,2545.5904040699934,8460.44034686888,5616.26521246186,3287.7878506909756,0.0,0.0,6,2,0,MNG,500.3202236890793,1149.2408894188702,581.4353560320485,669.5402607992291,77370.28686177326,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008af_2,14279143B47638406449643,1,Dornogovi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MNG,0.0,0.0,0.0,0.0,77370.28686177326,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b0_0,14279143B39885639062119,1,Govi-Altai,3660.128949779086,7494.323217075318,37993.34818505531,10263.848321712341,0.0,0.0,3,5,1,MNG,67.09506013989449,4228.508033616468,4369.748798739165,1789.940001427196,65619.05024760144,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b0_1,14279143B39885639062119,1,Govi-Altai,5563.355325272307,9546.49651912041,40661.13872234947,13524.330186262367,0.0,0.0,4,7,1,MNG,207.70308919623494,4782.943071062677,4283.852554520592,2449.4400131823495,51348.51190612784,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b0_2,14279143B39885639062119,1,Govi-Altai,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MNG,0.0,0.0,0.0,0.0,51348.51190612784,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b1_0,14279143B7576416025221,1,Bayankhongor,0.0,0.0,22862.49567481075,10488.817372717087,500.88214808516204,4544.350887042394,0,4,1,MNG,0.0,0.0,2209.203311938997,6802.619260966778,87792.8595920899,13.8170747756958,3067.7385978102684,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b1_1,14279143B7576416025221,1,Bayankhongor,190.21613385435194,1240.431535997428,26623.228878360667,17034.23191654964,341.7517913514748,3574.149474288282,2,7,1,MNG,42.74698956310749,1305.2842095047235,2512.7287940039355,10311.399079725146,78187.99361887151,0.0,1944.3827845454216,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b1_2,14279143B7576416025221,1,Bayankhongor,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MNG,0.0,0.0,0.0,0.0,78187.99361887151,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b2_0,14279143B52126529381065,1,Ömnögovi,271.5902005226187,778.112779385845,33878.602225283066,16253.356899846995,0.0,0.0,1,5,0,MNG,2.0012569427490234,45.122991144657135,3147.0579001501533,18867.81622565561,47720.26243676884,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b2_1,14279143B52126529381065,1,Ömnögovi,6516.390903550836,2708.92625509991,33878.60222528309,16253.356899846995,0.0,0.0,2,5,0,MNG,486.1383360233158,2522.7981018740684,5267.045547763304,34717.986162736546,87956.0985702078,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b2_2,14279143B52126529381065,1,Ömnögovi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MNG,0.0,0.0,0.0,0.0,87956.0985702078,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b3_0,14279143B32793669032275,1,Övörkhangai,98.0345884002599,761.0979666866617,2856.8301930073526,3431.2626173885797,118.41787620168179,1523.3721966638354,1,3,2,MNG,5.970999926328659,350.2831074818969,387.8553744722158,23103.149960446637,114958.46132404346,0.0,1363.2647619470954,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b3_1,14279143B32793669032275,1,Övörkhangai,59.55060004395086,396.0391707376887,3336.5255577732128,4128.030987422366,118.41787620168179,1523.3721966638357,1,5,2,MNG,0.0,135.5614060908556,783.8996425708756,20995.02234892361,104287.21718874456,0.0,1208.7736720144749,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b3_2,14279143B32793669032275,1,Övörkhangai,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MNG,0.0,0.0,0.0,0.0,104287.21718874456,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
