system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000003b6_0,87150794B58281898249288,1,Tahoua/Agadez,59370.25475631561,13890.947866851464,12744.986057416536,6233.930322413333,0.0,950.5571052528844,1,1,2,NER,7592.4681020429125,3943.9011725878518,587.4105387609306,403.8878282286023,1875220.4801197744,0.0,43.860939830420286,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b6_1,87150794B58281898249288,1,Tahoua/Agadez,96976.2562096188,15490.87845913153,12744.986057416536,6233.930322413333,3716.7885841140524,7126.90433937931,4,1,6,NER,22976.333810620203,7668.653915104137,2186.771529732214,1437.643102864793,4843470.251845639,23712.9552732968,143482.48307512447,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b6_2,87150794B58281898249288,1,Tahoua/Agadez,0.0,0.0,0.0,0.0,0.021319659697074514,651.1283580666664,0,0,6,NER,0.0,0.0,0.0,0.0,4843470.251845644,0.2771927221148622,77116.96111160058,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b7_0,87150794B47488127174201,1,Dossa,4366.2964982251215,2730.2920575445187,86.9492689126372,773.6087096160278,0.0,0.0,1,3,1,NER,169446.7680360051,146718.50498373542,1185.8031599704836,26063.75324786767,1297944.1397373148,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b7_1,87150794B47488127174201,1,Dossa,4366.2964982251215,2730.292057544519,86.94926891263721,773.6087096160277,0.0,56.145541633103115,1,4,2,NER,305089.36954995117,298363.6789641133,2828.219809165597,43086.54444274289,2267227.0589421955,0.0,1173.3740653206612,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b7_2,87150794B47488127174201,1,Dossa,0.0,0.0,0.0,0.0,48.041665055719655,1239.3137735353782,0,0,4,NER,0.0,0.0,0.0,0.0,2267227.0589421964,2715.3038281387853,108416.98622773206,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b8_0,87150794B29979307394387,1,Niamey,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NER,0.0,0.0,0.0,0.0,540044.6903931367,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b8_1,87150794B29979307394387,1,Niamey,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NER,0.0,0.0,0.0,0.0,1026169.98656949,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b8_2,87150794B29979307394387,1,Niamey,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NER,0.0,0.0,0.0,0.0,1026169.9865694902,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b9_0,87150794B24708462658640,1,Tillaberi,707.0143776587411,5494.40907376694,2164.926350476599,569.6294181757078,0.0,0.0,4,4,1,NER,8992.697004732188,42205.53163314176,20213.287061715513,6488.236055964378,1593661.491620645,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b9_1,87150794B24708462658640,1,Tillaberi,11592.778660929833,8127.7936858658,2263.0832351459267,1479.4819081547141,0.0,130.96129358898412,5,6,4,NER,524238.26809855923,236227.56242502946,48141.1560048315,62070.59140086101,3205272.7451407383,0.0,5312.533819338972,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b9_2,87150794B24708462658640,1,Tillaberi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NER,0.0,0.0,0.0,0.0,3205272.7451407416,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ba_0,87150794B5839560144768,1,Maradi,276.27389761060476,1305.1896915817633,0.0,0.0,0.0,0.0,1,0,0,NER,685.3030140604824,3539.6589007498696,0.0,0.0,1838474.4185796187,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ba_1,87150794B5839560144768,1,Maradi,276.27389761060476,1305.1896915817633,0.0,0.0,0.0,0.0,1,0,0,NER,4444.966265276074,24497.070160210133,0.0,0.0,3977545.8205524758,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
