system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0001000000000000000d_0,94367503B51750357600402,1,Rio San Juan,215.6324917615227,384.93456107325414,1994.2952408313786,1215.7220218228506,0.0,0.0,9,3,2,NIC,968.2421964090245,16676.899696948552,2071.192653676444,13011.923907596884,86857.55906425862,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000d_1,94367503B51750357600402,1,Rio San Juan,215.6324917615227,384.9345610732541,1994.2952408313784,1215.7220218228506,401.66643999516964,1002.7277851281688,11,3,3,NIC,1773.125540806324,26848.86137352285,4195.456468906429,28309.325237414443,145253.1865297304,11181.873281490058,20848.148190181702,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000d_2,94367503B51750357600402,1,Rio San Juan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NIC,0.0,0.0,0.0,0.0,145253.18652973042,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000e_0,94367503B94735481042460,1,Boaco,165.01673752898535,2040.639274978145,0.0,0.0,0.0,0.0,5,1,0,NIC,2515.9355200049963,104357.42765804831,0.0,0.0,156189.60855964856,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000e_1,94367503B94735481042460,1,Boaco,165.01673752898532,2040.6392749781453,0.0,0.0,0.0,61.335035938327664,5,1,2,NIC,2216.3514596427185,114267.40954670712,0.0,0.0,172756.7502738432,0.0,2012.4458346105162,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000e_2,94367503B94735481042460,1,Boaco,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NIC,0.0,0.0,0.0,0.0,172756.7502738432,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000f_0,94367503B5776780049527,1,Chontales,190.31056736934127,1204.343329789018,0.0,0.0,0.0,0.0,2,0,0,NIC,792.048783775419,74779.7020514087,0.0,0.0,162254.76695090416,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000f_1,94367503B5776780049527,1,Chontales,190.31056736934127,1204.3433297890183,0.0,0.0,0.0,0.0,3,0,0,NIC,716.4925097567029,82113.66201366045,0.0,0.0,168730.8932633222,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000000f_2,94367503B5776780049527,1,Chontales,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,NIC,0.0,0.0,0.0,0.0,168730.89326332218,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000010_0,94367503B81766766698586,1,Managua,22.28165579861505,788.4794717580883,5.893091772471134,186.46865427831153,0.0,0.0,7,1,0,NIC,339.1182410299742,1008371.5689895835,42.98222456445881,144905.10924534488,1261861.1595892499,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
