system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000002c_0,70912109B90439427603182,1,Balochistan,7576.449559024799,17769.516996243325,3236.235927075414,4795.492095427554,166.85056904773504,1703.2522163958015,18,3,4,PAK,45390.637332470156,1186972.9566538723,11842.4383698089,19764.958435663786,7193361.05991947,310.5010694563389,163714.16188797235,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_1,70912109B90439427603182,1,Balochistan,7576.449559024799,17769.516996243325,3236.2359270754137,4795.492095427555,166.85056904773504,1703.2522163958015,18,3,5,PAK,47025.30337152816,1470370.161409148,15810.318121447706,23223.073060922798,8213760.582670833,316.64698669314384,185929.0173142507,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_2,70912109B90439427603182,1,Balochistan,0.0,0.0,0.0,0.0,24.306587453774522,998.3211691099384,0,0,1,PAK,0.0,0.0,0.0,0.0,8213760.582670832,16.618342570171638,14202.413396953045,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,70912109B8393927546319,1,Sindh,18241.954856422253,14391.40250824158,2800.3932281752936,3652.4985920957597,1979.6838116452464,8774.568803604001,16,1,16,PAK,845283.2724843788,5263545.949499908,26220.21761456549,49708.18426737128,3.411475581561038E7,362418.76662901527,3253130.8191401125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_1,70912109B8393927546319,1,Sindh,18241.954856422257,14391.402508241576,2800.393228175294,3652.4985920957597,1979.6838116452466,8774.568803604003,16,1,17,PAK,1310774.1812960545,8234465.2148235645,29577.55653807416,83992.01128002087,5.1726307281040564E7,484138.9861268953,4562541.359916358,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_2,70912109B8393927546319,1,Sindh,0.0,0.0,0.0,0.0,244.62768255081028,1990.3840384958312,0,0,2,PAK,0.0,0.0,0.0,0.0,5.172630728104061E7,47376.73221919313,397582.74315432087,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,70912109B54485417915534,1,Gilgit-Baltistan,1804.8168413052335,5574.888410850428,3308.895547115244,4836.855942338055,1717.8931430592038,6921.357423386533,5,1,10,PAK,14239.466758684255,89900.69543042872,126.36412808485329,1020.7893324624747,851632.2387306949,3689.3004350289702,186242.9119701806,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_1,70912109B54485417915534,1,Gilgit-Baltistan,1804.8168413052335,5574.888410850428,3810.175063988738,6688.834854688941,1531.7402432230135,6189.6085476928665,5,2,10,PAK,13723.427182994783,116473.59475272335,161.612577104941,2568.56000684388,1045258.3891480968,4140.53767420724,231365.24849867454,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_2,70912109B54485417915534,1,Gilgit-Baltistan,0.0,0.0,0.0,0.0,2952.9701344633077,3183.533936923238,0,0,2,PAK,0.0,0.0,0.0,0.0,1045258.3891480968,1665.0723665989935,1674.587238419801,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,70912109B7720427584286,1,Azad Kashmir,10.290425114267888,833.2200374237134,0.0,0.0,432.3040467357994,2968.5232656515436,3,0,7,PAK,1639.62288095057,194343.03869521874,0.0,0.0,3012582.8027943787,82917.75059159512,1337203.3725687799,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_1,70912109B7720427584286,1,Azad Kashmir,10.290425114267888,833.2200374237135,0.0,0.0,432.3040467357993,2968.523265651544,3,0,7,PAK,1807.1490987933735,231358.0208614534,0.0,0.0,3750766.1406323453,114360.42704448037,1575341.7441987542,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_2,70912109B7720427584286,1,Azad Kashmir,0.0,169.29004750123946,0.0,0.0,66.74770382698625,638.4550698733103,1,0,1,PAK,0.0,28036.25938860881,0.0,0.0,3750766.1406323453,65600.45236351527,381771.7376386594,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,70912109B89717923239242,1,Khyber Pakhtunkhwa,679.8775874939947,4608.207256782021,149.345933935605,1069.58073302079,1950.928079384043,11040.02847213379,9,1,19,PAK,439667.4139002282,950132.6126229034,6.088014781475067,115872.55558887124,2.3943127679785028E7,345770.06207204796,3863619.2290461273,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_1,70912109B89717923239242,1,Khyber Pakhtunkhwa,652.6324973148494,4398.374991247529,158.60233794073486,3311.6912473939433,1950.928079384043,11040.02847213379,9,3,19,PAK,484783.538679881,1643733.794638907,5.611174140125513,171974.053528914,3.5692154612618014E7,503541.8630906753,5641266.753863273,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
