system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000002c_0,70912109B90439427603182,1,Balochistan,7601.632981614779,16725.813511621578,3237.1434551115904,4333.885157861538,161.5236024777752,1520.8158631511399,18,3,4,PAK,91874.1611071641,717679.2455996926,16927.84567144239,38940.22824190233,6082795.492285531,3313.3600319064717,215928.8594316265,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_1,70912109B90439427603182,1,Balochistan,7601.632981614779,16725.813511621578,3237.1434551115904,4333.8851578615395,161.5236024777752,1520.8158631511396,18,3,5,PAK,105569.29360514559,948765.2365252019,21479.08620461383,51018.48104889701,7694685.04423248,3601.5452844554447,233188.2688849958,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_2,70912109B90439427603182,1,Balochistan,0.0,0.0,0.0,0.0,24.444517547502095,813.7249461241795,0,0,1,PAK,0.0,0.0,0.0,0.0,7694685.04423248,393.4382906435459,10663.305623466958,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,70912109B8393927546319,1,Sindh,18314.17036048214,13659.626689867397,2799.844796708285,3272.6366952260187,2042.6309831328615,8444.259262028563,16,1,16,PAK,835011.9427861831,3671915.7467917865,29490.942194943673,59794.30155514917,2.6420178914000314E7,244317.6822320634,2292574.8578751595,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_1,70912109B8393927546319,1,Sindh,18314.170360482145,13659.626689867398,2799.844796708285,3272.6366952260187,2042.6309831328617,8444.259262028561,16,1,17,PAK,1297407.8569648536,5736494.984959599,40498.26556107875,114810.68260232573,4.204676946039293E7,407221.87107570923,3685337.072220997,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_2,70912109B8393927546319,1,Sindh,0.0,0.0,0.0,0.0,244.33408300206065,1774.448211118579,0,0,2,PAK,0.0,0.0,0.0,0.0,4.20467694603929E7,38937.62136507034,325869.4065299779,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,70912109B54485417915534,1,Gilgit-Baltistan,1804.9797036265954,4658.896399363875,3309.501448523253,3601.8177647618577,1758.774538898917,6254.207798622356,5,1,10,PAK,22568.52224220708,75325.25711869076,5199.529734804761,4245.222113348951,672324.2181379559,13702.38111421324,85500.57374462731,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_1,70912109B54485417915534,1,Gilgit-Baltistan,1804.9797036265954,4658.896399363875,3810.749889007338,5392.471755545545,1608.8068021946422,5615.133509611517,5,2,10,PAK,27400.472633954138,101373.55315610673,5845.371403595019,7186.485201543906,942491.425580167,15688.238815764935,129024.27552188764,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_2,70912109B54485417915534,1,Gilgit-Baltistan,0.0,0.0,0.0,0.0,2953.2733218410003,2952.3402850493535,0,0,2,PAK,0.0,0.0,0.0,0.0,942491.4255801669,7738.126062344554,9830.403644283853,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,70912109B7720427584286,1,Azad Kashmir,10.343682682791762,685.963699031318,0.0,0.0,431.5934268642509,2621.4516679764192,3,0,7,PAK,831.1690449329568,84141.81489296109,0.0,0.0,2348049.2363403016,95412.41826575146,832794.8959353805,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_1,70912109B7720427584286,1,Azad Kashmir,10.343682682791762,685.9636990313181,0.0,0.0,431.5934268642509,2621.4516679764197,3,0,7,PAK,1367.7650828446829,122331.85547477605,0.0,0.0,3302492.2581567205,119128.348830165,1171675.0318977286,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_2,70912109B7720427584286,1,Azad Kashmir,0.0,122.2457740066281,0.0,0.0,66.67054222989827,532.236453555097,1,0,1,PAK,0.0,26210.62354599401,0.0,0.0,3302492.25815672,54978.70292496681,277622.99632007,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
