system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000007a1_0,3916807B26828785452377,1,Kangwon,0.0,202.2606983582836,0.0,312.43166212258757,0.0,0.0,3,2,0,PRK,0.0,11036.468009489276,0.0,5855.755173342982,1206314.410086657,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a1_1,3916807B26828785452377,1,Kangwon,46.87293197977193,1368.4790758711194,0.0,312.43166212258745,0.0,0.0,44,2,1,PRK,912.5188094896431,91999.62653677685,0.0,5811.8440576698995,1186475.1811694738,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a1_2,3916807B26828785452377,1,Kangwon,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PRK,0.0,0.0,0.0,0.0,1186475.181169474,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a2_0,3916807B41102927738048,1,Nampo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PRK,0.0,0.0,0.0,0.0,805939.0402684024,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a2_1,3916807B41102927738048,1,Nampo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PRK,0.0,0.0,0.0,0.0,778174.5937439591,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a2_2,3916807B41102927738048,1,Nampo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PRK,0.0,0.0,0.0,0.0,778174.5937439591,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a3_0,3916807B15402665570595,1,North Hwanghae,0.0,177.50492313603925,0.0,0.0,0.0,0.0,4,0,0,PRK,0.0,17911.463982453068,0.0,0.0,1957797.3444013763,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a3_1,3916807B15402665570595,1,North Hwanghae,0.0,660.2130279560519,0.0,0.0,0.0,0.0,29,0,0,PRK,0.0,141929.23886919813,0.0,0.0,2067237.0373191754,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a3_2,3916807B15402665570595,1,North Hwanghae,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PRK,0.0,0.0,0.0,0.0,2067237.0373191757,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007a4_0,3916807B17303695305929,1,Pyongyang,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PRK,0.0,0.0,0.0,0.0,2656924.8619727585,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
