system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000017c_0,86620642B69119058579524,1,Abyei PCA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,187.5293649382305,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c_1,86620642B69119058579524,1,Abyei PCA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,179.13894037902364,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c_2,86620642B69119058579524,1,Abyei PCA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,179.1389403790236,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d_0,86620642B80352504723135,1,Gezira,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,2627040.4111413443,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d_1,86620642B80352504723135,1,Gezira,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,3800360.09385453,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d_2,86620642B80352504723135,1,Gezira,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,3800360.0938545307,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e_0,86620642B86272532082738,1,Blue Nile,0.0,28.796204213023763,66.23727439954585,887.0861631469619,0.0,0.0,1,1,0,SDN,0.0,337.9398200392285,403.8013297343224,5841.6060459997625,537291.1206140736,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e_1,86620642B86272532082738,1,Blue Nile,0.0,28.796204213023763,66.23727439954585,887.0861631469617,0.0,0.0,1,1,0,SDN,0.0,757.2550236268371,785.7388027519863,8726.899415657748,1023462.0567862134,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e_2,86620642B86272532082738,1,Blue Nile,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,1023462.0567862132,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f_0,86620642B67241023181859,1,Central Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,431287.56177465996,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f_1,86620642B67241023181859,1,Central Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,427217.48795022734,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f_2,86620642B67241023181859,1,Central Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,427217.4879502274,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000180_0,86620642B42892304507154,1,East Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,770010.7010485884,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000180_1,86620642B42892304507154,1,East Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,1823150.9185081378,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000180_2,86620642B42892304507154,1,East Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,1823150.9185081373,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000181_0,86620642B51630913908628,1,Gedaref,0.0,0.0,2573.190647557739,1546.6673492882223,0.0,0.0,0,1,0,SDN,0.0,0.0,33702.69131043431,24608.730864768986,1059776.9252089334,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000181_1,86620642B51630913908628,1,Gedaref,0.0,0.0,2573.19064755774,1546.6673492882219,0.0,0.0,0,1,0,SDN,0.0,0.0,34274.63313285087,31412.170684688193,1310248.2051893843,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000181_2,86620642B51630913908628,1,Gedaref,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,1310248.205189385,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000182_0,86620642B34113093603931,1,Kassala,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,1259407.7661461195,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000182_1,86620642B34113093603931,1,Kassala,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,2064468.3731098413,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000182_2,86620642B34113093603931,1,Kassala,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,2064468.3731098413,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000183_0,86620642B69351377969837,1,Khartoum,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,3593194.9928620877,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
