system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000013b_0,83879307B66756469447496,1,Hiiraan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,378685.410464542,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_1,83879307B66756469447496,1,Hiiraan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,572195.2666075714,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_2,83879307B66756469447496,1,Hiiraan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,572195.2666075713,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_0,83879307B13610404434600,1,Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,313455.3443849012,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_1,83879307B13610404434600,1,Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,517119.8815738519,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_2,83879307B13610404434600,1,Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,517119.881573852,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d_0,83879307B32896531038690,1,Banadir,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,1063887.4332606723,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d_1,83879307B32896531038690,1,Banadir,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,3228871.6213922575,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d_2,83879307B32896531038690,1,Banadir,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,3228871.6213922584,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e_0,83879307B67680758004346,1,Togdheer,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,462455.6918201876,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e_1,83879307B67680758004346,1,Togdheer,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,737813.0923753722,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e_2,83879307B67680758004346,1,Togdheer,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,737813.0923753722,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f_0,83879307B58207540839705,1,Bakool,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,349909.5102698817,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f_1,83879307B58207540839705,1,Bakool,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,514123.80422679894,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f_2,83879307B58207540839705,1,Bakool,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,514123.80422679894,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000140_0,83879307B34714219035659,1,Gedo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,373855.4134848797,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000140_1,83879307B34714219035659,1,Gedo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,541255.9101256452,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000140_2,83879307B34714219035659,1,Gedo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,541255.9101256453,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000141_0,83879307B5242146898757,1,Middle Shebelle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,595111.2837693545,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000141_1,83879307B5242146898757,1,Middle Shebelle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,1119611.3550937965,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000141_2,83879307B5242146898757,1,Middle Shebelle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,1119611.3550937965,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000142_0,83879307B42572798770371,1,Woqooyi Galbeed,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,885669.3391731752,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000142_1,83879307B42572798770371,1,Woqooyi Galbeed,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,1853261.7309200615,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000142_2,83879307B42572798770371,1,Woqooyi Galbeed,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,1853261.7309200612,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000143_0,83879307B65026001570916,1,Sool,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,170014.53646917007,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000143_1,83879307B65026001570916,1,Sool,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,247236.62388216073,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000143_2,83879307B65026001570916,1,Sool,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,247236.62388216078,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_0,83879307B66585548815331,1,Nugaal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,143207.70810549348,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_1,83879307B66585548815331,1,Nugaal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,207837.70095204524,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_2,83879307B66585548815331,1,Nugaal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,207837.7009520452,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_0,83879307B26517451678825,1,Mudug,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,401212.4395571503,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_1,83879307B26517451678825,1,Mudug,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,583224.2617133381,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_2,83879307B26517451678825,1,Mudug,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,583224.2617133383,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_0,83879307B33420401553888,1,Middle Juba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,273345.4179131395,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_1,83879307B33420401553888,1,Middle Juba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,396648.31372281024,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_2,83879307B33420401553888,1,Middle Juba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,396648.3137228102,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147_0,83879307B35519599536274,1,Lower Shebelle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,1007034.8248408821,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147_1,83879307B35519599536274,1,Lower Shebelle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,2464495.752785828,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147_2,83879307B35519599536274,1,Lower Shebelle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,2464495.752785828,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_0,83879307B35818532110087,1,Lower Juba,0.0,9.949252501206802,0.0,0.0,9.104450927148845,614.7698642850653,1,0,1,SOM,0.0,13704.253593301539,0.0,0.0,450639.90066030517,0.0,252.45041740355538,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_1,83879307B35818532110087,1,Lower Juba,0.0,9.949252501206802,0.0,0.0,9.104450927148847,614.7698642850653,1,0,1,SOM,0.0,19089.203166862793,0.0,0.0,870375.2941634728,0.0,1494.5798707306967,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_2,83879307B35818532110087,1,Lower Juba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,870375.294163473,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_0,83879307B20044253365087,1,Galgaduud,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,382734.29858408635,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_1,83879307B20044253365087,1,Galgaduud,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,555151.7783747278,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_2,83879307B20044253365087,1,Galgaduud,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,555151.7783747279,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014a_0,83879307B67196763494499,1,Bay,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,711064.8443968471,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014a_1,83879307B67196763494499,1,Bay,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,1032057.9483132906,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014a_2,83879307B67196763494499,1,Bay,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,1032057.9483132907,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014b_0,83879307B19000204873860,1,Bari,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,429210.8725839838,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014b_1,83879307B19000204873860,1,Bari,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,628731.4973794918,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014b_2,83879307B19000204873860,1,Bari,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,628731.4973794919,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014c_0,83879307B11376444747055,1,Awdal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,344551.10166950565,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014c_1,83879307B11376444747055,1,Awdal,0.0,0.0,0.0,0.0,52.65604798739374,571.2831033970722,0,0,1,SOM,0.0,0.0,0.0,0.0,505721.35874763445,182.3829155494185,1055.6237004777963,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014c_2,83879307B11376444747055,1,Awdal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,505721.3587476344,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
