system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000018f_0,75366066B3567364273406,1,Manzini,0.0,0.0,13.82854077397097,594.9338118993329,0.0,0.0,0,4,0,SWZ,0.0,0.0,41.75117672857847,67253.67681138107,309648.2739290657,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018f_1,75366066B3567364273406,1,Manzini,15.736542660742998,448.1218208129938,13.828540773970968,594.9338118993329,0.0,0.0,1,4,0,SWZ,26.371092898771167,32197.67122787216,63.2898028680799,77367.29966728557,389370.0374153631,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018f_2,75366066B3567364273406,1,Manzini,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SWZ,0.0,0.0,0.0,0.0,389370.03741536336,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000190_0,75366066B12234306804593,1,Lubombo,0.0,0.0,478.72304445435384,2112.325713230994,0.0,60.22290657178006,0,3,2,SWZ,0.0,0.0,1059.210428637215,91888.2367046244,207455.60221622413,0.0,103.16489721960296,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000190_1,75366066B12234306804593,1,Lubombo,0.0,111.4353373253645,478.7230444543538,2112.3257132309946,3.236688144505024,608.3283609634411,1,3,4,SWZ,0.0,2909.3974039901705,638.8580160885501,102210.92090456412,239673.56316194416,28.16437449865043,23491.38228966286,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000190_2,75366066B12234306804593,1,Lubombo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SWZ,0.0,0.0,0.0,0.0,239673.5631619441,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000191_0,75366066B21527038718027,1,Shiselweni,0.0,0.0,0.0,0.0,0.0,246.18283487105487,0,0,3,SWZ,0.0,0.0,0.0,0.0,224909.74794604073,0.0,18535.382729885456,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000191_1,75366066B21527038718027,1,Shiselweni,0.0,0.0,0.0,0.0,0.176487671868766,383.4963757088152,0,0,5,SWZ,0.0,0.0,0.0,0.0,216602.31159010678,0.029332480477351767,26913.803665462492,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000191_2,75366066B21527038718027,1,Shiselweni,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SWZ,0.0,0.0,0.0,0.0,216602.31159010672,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000192_0,75366066B25905390127614,1,Hhohho,0.0,0.0,201.74936760620528,1119.0537303712658,0.15656023157358753,592.3046979940514,0,3,4,SWZ,0.0,0.0,610.5567146292285,153140.58715431107,285900.4381524713,0.0,33904.959927111864,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000192_1,75366066B25905390127614,1,Hhohho,1.4638968724757433,360.5133363278035,201.74936760620525,1119.0537303712654,0.07966596995133396,603.5606163638626,1,3,10,SWZ,20.796657368540764,23209.087908240035,217.61305141567308,171051.2547792267,334456.4751954538,0.0,46224.266467078305,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000192_2,75366066B25905390127614,1,Hhohho,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SWZ,0.0,0.0,0.0,0.0,334456.4751954538,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
