system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000018f_0,75366066B3567364273406,1,Manzini,0.0,0.0,13.880807519444796,489.3135006835209,0.0,0.0,0,4,0,SWZ,0.0,0.0,555.4941196085191,37264.67370830536,254921.50797873698,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018f_1,75366066B3567364273406,1,Manzini,15.69594276882708,453.98039429830567,13.880807519444794,489.313500683521,0.0,0.0,1,4,0,SWZ,237.08615431189537,27125.830144699765,569.155183502915,45784.7874102977,313164.21091160714,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018f_2,75366066B3567364273406,1,Manzini,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SWZ,0.0,0.0,0.0,0.0,313164.2109116072,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000190_0,75366066B12234306804593,1,Lubombo,0.0,0.0,478.7246434721109,2102.3950614925293,0.0,40.95108139395495,0,3,2,SWZ,0.0,0.0,6291.30561046596,69172.89920023942,171757.88336882772,0.0,788.5822004040666,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000190_1,75366066B12234306804593,1,Lubombo,0.0,108.76812798609116,478.724643472111,2102.3950614925293,3.234717432409525,592.1338886992677,1,3,4,SWZ,0.0,2878.902130232255,6336.626428588962,76477.08475281287,187804.79043276265,96.68575512617826,15865.24505867161,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000190_2,75366066B12234306804593,1,Lubombo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SWZ,0.0,0.0,0.0,0.0,187804.79043276262,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000191_0,75366066B21527038718027,1,Shiselweni,0.0,0.0,0.0,0.0,0.0,223.35904699711165,0,0,3,SWZ,0.0,0.0,0.0,0.0,184996.93718152808,0.0,10561.25879930809,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000191_1,75366066B21527038718027,1,Shiselweni,0.0,0.0,0.0,0.0,0.32034415510647446,374.21824097810867,0,0,5,SWZ,0.0,0.0,0.0,0.0,170368.22370313128,1.4811937902634051,12787.479402545367,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000191_2,75366066B21527038718027,1,Shiselweni,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SWZ,0.0,0.0,0.0,0.0,170368.22370313128,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000192_0,75366066B25905390127614,1,Hhohho,0.0,0.0,201.68878122505313,1027.1582380034395,1.7748044906366691,548.4240345813262,0,3,4,SWZ,0.0,0.0,5485.195918868173,112115.0284782063,231215.08353841875,33.707272533242424,26302.06208590998,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000192_1,75366066B25905390127614,1,Hhohho,1.4064228534698486,350.3248936394157,201.6887812250531,1027.1582380034392,1.7156808601034914,564.8370974392064,1,3,10,SWZ,143.35038423538208,22295.367976294503,5580.218624515422,131159.35308852507,269498.92658423726,36.1417025522201,30790.59474404173,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000192_2,75366066B25905390127614,1,Hhohho,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SWZ,0.0,0.0,0.0,0.0,269498.92658423714,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
