system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000005b6_0,23847190B76461278489523,1,Tibesti,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TCD,0.0,0.0,0.0,0.0,10278.631671282354,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b6_1,23847190B76461278489523,1,Tibesti,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TCD,0.0,0.0,0.0,0.0,56449.8003164334,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b6_2,23847190B76461278489523,1,Tibesti,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TCD,0.0,0.0,0.0,0.0,56449.800316433415,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b7_0,23847190B42201300909064,1,Borkou,36315.16086376966,7749.556134868212,0.0,0.0,0.0,0.0,1,0,0,TCD,20166.58663197267,2930.208226071405,0.0,0.0,37726.24344203442,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b7_1,23847190B42201300909064,1,Borkou,36315.16086376966,7749.556134868212,0.0,0.0,0.0,0.0,1,0,0,TCD,97261.6572990697,17371.24069578998,0.0,0.0,207180.94394020055,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b7_2,23847190B42201300909064,1,Borkou,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TCD,0.0,0.0,0.0,0.0,207180.94394020046,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b8_0,23847190B77249644038093,1,Ennedi-Ouest,1739.5965345352888,2602.5087168724767,0.0,0.0,0.0,0.0,2,0,0,TCD,561.1710193457548,978.8497198977691,0.0,0.0,18059.58714815234,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b8_1,23847190B77249644038093,1,Ennedi-Ouest,1739.5965345352888,2602.508716872477,0.0,0.0,9181.070156318783,5172.806449401751,2,0,2,TCD,3048.586933533661,5612.144751396254,0.0,0.0,98925.47754472306,18668.542118519446,6549.2192803914895,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b8_2,23847190B77249644038093,1,Ennedi-Ouest,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TCD,0.0,0.0,0.0,0.0,98925.47754472311,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005b9_0,23847190B87163061266246,1,Wadi Fira,7196.128006855413,2114.3503937251135,0.0,0.0,0.0,0.0,1,0,0,TCD,17031.869836239304,5752.129423613313,0.0,0.0,250268.8813225993,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
