system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000256_0,58719522B69518090574338,1,Oecusse,0.0,0.0,0.0,78.57803850706084,0.0,0.0,0,1,0,TLS,0.0,0.0,0.0,6744.154784976821,44547.81740388239,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000256_1,58719522B69518090574338,1,Oecusse,0.0,0.0,0.0,78.57803850706084,212.6380596430534,511.69594517782616,0,1,5,TLS,0.0,0.0,0.0,8007.926703339845,63245.189428922145,6214.942125294358,49022.32060028794,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000256_2,58719522B69518090574338,1,Oecusse,0.0,0.0,0.0,0.0,0.0,77.8861754698679,0,0,1,TLS,0.0,0.0,0.0,0.0,63245.189428922145,0.0,7829.411044863349,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257_0,58719522B52176164477569,1,Aileu,0.0,0.0,0.0,0.0,2.5635728317221593,331.8751833744347,0,0,4,TLS,0.0,0.0,0.0,0.0,23918.97829641317,71.72098675037131,11110.560936222166,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257_1,58719522B52176164477569,1,Aileu,0.0,0.0,0.0,0.0,2.5635728317221593,340.24453776549257,0,0,5,TLS,0.0,0.0,0.0,0.0,58836.51097080325,145.97929039258582,29742.23611234482,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257_2,58719522B52176164477569,1,Aileu,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,58836.51097080326,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000258_0,58719522B96669271034989,1,Ainaro,0.0,0.0,0.0,0.0,98.79593309042065,487.7666092504546,0,0,1,TLS,0.0,0.0,0.0,0.0,55214.32260391933,4538.674206427705,31295.513683008023,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000258_1,58719522B96669271034989,1,Ainaro,0.0,0.0,0.0,0.0,132.1732782376127,933.1819862008203,0,0,6,TLS,0.0,0.0,0.0,0.0,71895.71884046587,7196.652446452221,61769.48479906342,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000258_2,58719522B96669271034989,1,Ainaro,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,71895.71884046587,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000259_0,58719522B57750794760959,1,Baucau,0.0,0.0,0.0,0.0,94.35447567027501,788.4768109309285,0,0,2,TLS,0.0,0.0,0.0,0.0,84197.2521384887,7774.253589452599,38663.2340006608,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000259_1,58719522B57750794760959,1,Baucau,0.0,12.122053539807744,0.0,0.0,165.58163035641257,818.6260197081111,1,0,8,TLS,0.0,48.823540588453696,0.0,0.0,116447.18972636394,5684.996417527179,47826.48892420518,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000259_2,58719522B57750794760959,1,Baucau,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,116447.18972636397,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025a_0,58719522B64128847782213,1,Bobonaro,0.0,0.0,0.0,0.0,2.7763219858574533,128.11949131421233,0,0,1,TLS,0.0,0.0,0.0,0.0,65402.39820790237,79.02729386517814,14979.301869076899,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025a_1,58719522B64128847782213,1,Bobonaro,0.0,0.0,0.0,0.0,91.73536697995722,1224.563417377696,0,0,10,TLS,0.0,0.0,0.0,0.0,89016.12824459413,4178.485030135074,83759.74151739685,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025a_2,58719522B64128847782213,1,Bobonaro,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,89016.12824459415,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025b_0,58719522B58123781478976,1,Cova Lima,0.0,0.0,0.0,0.0,47.27437420898281,333.07401990955145,0,0,1,TLS,0.0,0.0,0.0,0.0,31016.37383145246,795.592123056656,14193.254571858166,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025b_1,58719522B58123781478976,1,Cova Lima,0.0,0.0,0.0,0.0,111.03334104634602,636.7055957311434,0,0,5,TLS,0.0,0.0,0.0,0.0,43667.60379851382,2600.1809036993513,31677.15489682675,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025b_2,58719522B58123781478976,1,Cova Lima,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,43667.60379851381,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025c_0,58719522B43373882655947,1,Dili,0.0,0.0,0.0,0.0,42.430081091112655,232.41422165011008,0,0,2,TLS,0.0,0.0,0.0,0.0,101833.73304032903,5036.485024131922,95476.01050242943,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025c_1,58719522B43373882655947,1,Dili,0.0,0.0,0.0,0.0,42.44060786001604,232.40369488120666,0,0,4,TLS,0.0,0.0,0.0,0.0,266995.8636898385,6822.639844393643,256929.87058279038,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025c_2,58719522B43373882655947,1,Dili,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,266995.86368983856,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025d_0,58719522B37683587147705,1,Ermera,0.0,0.0,0.0,0.0,41.185586787077284,536.0349118833266,0,0,2,TLS,0.0,0.0,0.0,0.0,81590.85934889977,1444.8999366223811,66023.56206290702,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025d_1,58719522B37683587147705,1,Ermera,0.0,0.0,0.0,0.0,41.18558678707728,639.0721470265411,0,0,7,TLS,0.0,0.0,0.0,0.0,129502.45896247073,1721.3265902900519,111508.39775362067,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025d_2,58719522B37683587147705,1,Ermera,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,129502.45896247073,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025e_0,58719522B74673759114814,1,Lautém,0.0,0.0,0.0,0.0,0.0,61.88346307181259,0,0,1,TLS,0.0,0.0,0.0,0.0,44908.661764024524,0.0,956.8622690299565,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025e_1,58719522B74673759114814,1,Lautém,703.1850442134138,688.5469118466784,0.0,0.0,23.24313866448972,160.9880370459939,1,0,5,TLS,11155.627511011555,35200.901075098765,0.0,0.0,56916.76169536702,691.6927884241239,3700.7556657611885,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025e_2,58719522B74673759114814,1,Lautém,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,56916.76169536703,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025f_0,58719522B91889916528445,1,Liquiçá,0.0,0.0,0.0,0.0,12.871349672421667,233.20389351466784,0,0,2,TLS,0.0,0.0,0.0,0.0,52924.01240299779,1823.3774086180856,37669.665632772936,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025f_1,58719522B91889916528445,1,Liquiçá,0.0,0.0,0.0,0.0,83.76440069511457,425.1862934197171,0,0,4,TLS,0.0,0.0,0.0,0.0,114778.81043428177,11582.403922449868,103167.94900407994,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025f_2,58719522B91889916528445,1,Liquiçá,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,114778.81043428177,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000260_0,58719522B79491931293061,1,Manatuto,0.0,0.0,0.0,0.0,81.61278856632975,648.520471607912,0,0,4,TLS,0.0,0.0,0.0,0.0,29266.451430971538,812.797833154011,10104.673536855413,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000260_1,58719522B79491931293061,1,Manatuto,0.0,0.0,0.0,0.0,230.09380354674207,1329.1923841869204,0,0,11,TLS,0.0,0.0,0.0,0.0,49003.32576370648,7349.213845184669,36380.388608224515,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000260_2,58719522B79491931293061,1,Manatuto,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,49003.32576370648,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000261_0,58719522B42816757733835,1,Manufahi,0.0,0.0,0.0,0.0,115.01906063100505,675.2286035414603,0,0,3,TLS,0.0,0.0,0.0,0.0,38919.553610457624,1598.010429467553,14367.967374684999,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000261_1,58719522B42816757733835,1,Manufahi,0.0,0.0,0.0,0.0,185.010166675528,913.6776466948145,0,0,8,TLS,0.0,0.0,0.0,0.0,49906.80070799217,6840.528446835616,32939.54343474059,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000261_2,58719522B42816757733835,1,Manufahi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,49906.800707992166,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000262_0,58719522B88874257219633,1,Viqueque,0.0,0.0,0.0,0.0,50.34011005463773,807.8729502084462,0,0,2,TLS,0.0,0.0,0.0,0.0,48970.74305761018,1462.9811975300604,23162.859611876134,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000262_1,58719522B88874257219633,1,Viqueque,0.0,0.0,0.0,0.0,263.4655482941837,1272.7979298294104,0,0,12,TLS,0.0,0.0,0.0,0.0,68968.51899367827,5987.570650658209,52501.176905658285,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000262_2,58719522B88874257219633,1,Viqueque,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,68968.51899367826,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
