system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000268_0,17295835B80141219017784,1,Northern Region,435.63199762260797,2145.320411163689,8960.170010685295,10901.537947965435,2583.7365603349294,37843.627031091775,4,9,217,UGA,3175.2653971618593,162311.38767897533,27481.131139346533,403989.61421904573,5117586.915135677,65868.54868172713,3689159.027717428,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000268_1,17295835B80141219017784,1,Northern Region,3115.6491515478488,5696.917901668619,8960.170010685297,10901.537947965437,2154.396645665647,35758.46223762273,7,9,218,UGA,161986.70453173775,399999.52512706333,34042.308517592886,769648.8402591331,9196271.764243077,88751.04776664525,6487175.878153993,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000268_2,17295835B80141219017784,1,Northern Region,174.35295608453453,1082.1766104418784,0.0,0.0,0.0,0.0,1,0,0,UGA,430.3693476668559,136822.43198185647,0.0,0.0,9196271.764243077,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000269_0,17295835B57878138064711,1,Eastern Region,21.85874029662752,264.9048782156963,1117.8608219881671,3417.8046652581584,529.4922108781286,17757.311459435292,1,4,149,UGA,57071.83403995107,173226.23292474216,17046.04880198663,1009643.2023010406,6126199.101356998,23299.251271782505,3990816.5272602574,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000269_1,17295835B57878138064711,1,Eastern Region,26.956585518840477,894.4127585700842,1117.860821988167,3417.8046652581584,629.3601514725708,17717.385830445433,3,4,150,UGA,70405.56716746604,277715.50283163274,51472.69960132597,1941057.5305023696,1.1639236517280085E7,80505.05360992058,7500157.080386635,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000269_2,17295835B57878138064711,1,Eastern Region,0.0,0.0,0.0,0.0,0.21852746419608593,360.0017698321345,0,0,1,UGA,0.0,0.0,0.0,0.0,1.163923651728008E7,313.9792198706418,349301.7744732625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026a_0,17295835B48340970483027,1,Central Region,69.9122175327411,778.9943846081183,0.0,90.70722298283567,2900.660439547516,28265.879689290767,2,1,269,UGA,64332.05741254491,218885.21120807485,0.0,6023.642333608632,6514420.447725675,92295.88508456624,5445317.293359788,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026a_1,17295835B48340970483027,1,Central Region,69.9122175327411,778.9943846081183,0.0,90.70722298283569,3004.153039743557,28203.529912097198,2,1,272,UGA,151748.62368509162,518260.9486835421,0.0,7787.394153429304,1.2125633871713439E7,186175.8534975089,1.0167814434146626E7,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026a_2,17295835B48340970483027,1,Central Region,0.0,0.0,0.0,0.0,12.644785393029451,1894.6380068066512,0,0,5,UGA,0.0,0.0,0.0,0.0,1.2125633871713445E7,2843.5970435533673,707433.20027561,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026b_0,17295835B91329899113986,1,Western Region,0.0,13.179256703229802,8344.449329143748,11865.815669770289,1822.427873413009,18388.039743867175,2,15,129,UGA,0.0,2135.5422583155187,27235.888371095698,2263191.821034795,6270353.16172191,29679.748193818185,2718817.714157113,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026b_1,17295835B91329899113986,1,Western Region,141.55100768695348,791.210317573364,8344.449329143748,11865.815669770283,1696.952472715569,17896.65424803769,4,15,130,UGA,9032.842985629151,97907.51640453181,36071.594472223,3868082.166935113,1.1463666025115311E7,46085.77628854407,5331934.486019827,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026b_2,17295835B91329899113986,1,Western Region,1.152239610441029,357.67101265955716,872.5706939063966,2846.224167270586,1.0529109612107277,472.7020515644302,1,2,1,UGA,5031.612698554993,59696.520778436214,4076.3981971116737,802182.9313057112,1.1463666025115315E7,700.9243187308311,230513.0976294754,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
