system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000026c_0,4885205B12556482424107,1,Andijan Region,0.0,0.0,0.0,123.79324617741224,0.0,0.0,0,2,0,UZB,0.0,0.0,0.0,3910.3531702452483,2185566.4374153437,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026c_1,4885205B12556482424107,1,Andijan Region,0.0,0.0,0.0,123.79324617741226,0.0,0.0,0,2,0,UZB,0.0,0.0,0.0,5437.99476927379,3066569.4579674955,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026c_2,4885205B12556482424107,1,Andijan Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,UZB,0.0,0.0,0.0,0.0,3066569.4579674974,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026d_0,4885205B45635895774148,1,Namangan Region,0.0,177.04229335316325,24.93771698418639,1616.7136541772452,0.0,0.0,1,6,0,UZB,0.0,252.83220197622498,12.346255680080503,147721.97234696607,1939977.5582646253,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026d_1,4885205B45635895774148,1,Namangan Region,0.0,177.04229335316325,24.937716984186398,1616.7136541772452,0.0,0.5695055089890957,1,6,1,UZB,0.0,575.7458732424523,16.072877518832684,206733.3740877923,2778399.304513411,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026d_2,4885205B45635895774148,1,Namangan Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,UZB,0.0,0.0,0.0,0.0,2778399.304513411,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026e_0,4885205B28124685388107,1,Fergana Region,0.0,0.0,18.35133360605687,307.934058574609,0.0,0.0,0,2,0,UZB,0.0,0.0,31.259005670435727,10385.6413592783,2746721.539847459,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026e_1,4885205B28124685388107,1,Fergana Region,0.0,0.0,18.35133360605687,307.934058574609,0.0,0.0,0,2,0,UZB,0.0,0.0,69.91083269612864,16238.588607025773,3795030.9085144144,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026e_2,4885205B28124685388107,1,Fergana Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,UZB,0.0,0.0,0.0,0.0,3795030.9085144135,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026f_0,4885205B14992965414009,1,Republic of Karakalpakstan,491.11990013640815,2392.149818913858,38.77316703391353,693.2905639113164,0.0,0.0,2,1,0,UZB,8.00744254142046,136.45274538965896,0.0,4.19334308616817,1566061.7742626246,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
