system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000026c_0,4885205B12556482424107,1,Andijan Region,0.0,0.0,0.0,51.40294411673265,0.0,0.0,0,2,0,UZB,0.0,0.0,0.0,5802.071970352415,1804130.9864219467,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026c_1,4885205B12556482424107,1,Andijan Region,0.0,0.0,0.0,51.402944116732655,0.0,0.0,0,2,0,UZB,0.0,0.0,0.0,13210.178206252349,2627674.481449374,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026c_2,4885205B12556482424107,1,Andijan Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,UZB,0.0,0.0,0.0,0.0,2627674.4814493754,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026d_0,4885205B45635895774148,1,Namangan Region,0.0,44.884169560709196,25.021670187045544,1393.4416728825106,0.0,0.0,1,6,0,UZB,0.0,1291.9015016716485,442.8731316429382,102003.62374665897,1588109.0211962909,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026d_1,4885205B45635895774148,1,Namangan Region,0.0,44.884169560709196,25.021670187045544,1393.4416728825108,0.0,1.7032978208735585,1,6,1,UZB,0.0,1281.418954051622,1717.325541653966,180802.01746991128,2362749.3427771213,0.0,8.812397649511695,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026d_2,4885205B45635895774148,1,Namangan Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,UZB,0.0,0.0,0.0,0.0,2362749.3427771204,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026e_0,4885205B28124685388107,1,Fergana Region,0.0,0.0,18.367523890919983,248.56141290080862,0.0,0.0,0,2,0,UZB,0.0,0.0,462.913413643837,12330.738483832865,2193501.6766769877,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026e_1,4885205B28124685388107,1,Fergana Region,0.0,0.0,18.367523890919983,248.56141290080862,0.0,0.0,0,2,0,UZB,0.0,0.0,1471.1170109808445,54110.57888767777,3165311.85795462,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026e_2,4885205B28124685388107,1,Fergana Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,UZB,0.0,0.0,0.0,0.0,3165311.8579546213,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026f_0,4885205B14992965414009,1,Republic of Karakalpakstan,490.425078300971,1909.6022189629064,38.836606842533264,679.4593693160836,0.0,0.0,2,1,0,UZB,1219.7967011915812,6008.065281129408,47.93937203486943,676.9453218199843,1317469.4597044683,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026f_1,4885205B14992965414009,1,Republic of Karakalpakstan,490.42507830097105,1909.6022189629064,6759.9572561489895,4132.744529678626,197.38581222300328,795.909570186795,2,2,1,UZB,1795.7720924759942,7566.125031051788,10171.47919514855,6829.731223277869,1615277.8833719525,21868.300296527614,95393.12683859545,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026f_2,4885205B14992965414009,1,Republic of Karakalpakstan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,UZB,0.0,0.0,0.0,0.0,1615277.8833719532,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000270_0,4885205B19700274577063,1,Xorazm Region,0.0,0.0,21.38311538717655,323.2341873453912,0.0,0.0,0,1,0,UZB,0.0,0.0,106.32448983321002,1331.6827382803253,1115003.2780920514,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000270_1,4885205B19700274577063,1,Xorazm Region,0.0,0.0,21.383115387176545,323.2341873453912,0.09376602984928326,484.58992748650917,0,1,1,UZB,0.0,0.0,263.6168692923352,3221.7694691035244,1567892.9234497626,4.078103561962353,132797.47151811706,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000270_2,4885205B19700274577063,1,Xorazm Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,UZB,0.0,0.0,0.0,0.0,1567892.9234497615,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000271_0,4885205B93943438401883,1,Navoiy Region,478.8279564886391,2007.3462849204975,0.0,163.85153030391743,0.0,0.0,6,1,0,UZB,1872.5703730238895,28959.285791707665,0.0,1440.0088571187182,658272.83608844,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000271_1,4885205B93943438401883,1,Navoiy Region,480.495367794725,2258.9939537138166,0.0,163.85153030391749,0.0,0.0,7,1,0,UZB,2360.2638285524195,34081.06965720987,0.0,1731.9490348938632,809960.2377677156,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000271_2,4885205B93943438401883,1,Navoiy Region,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,UZB,0.0,0.0,0.0,0.0,809960.2377677156,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000272_0,4885205B3120252971084,1,Surxondaryo Region,0.0,29.21329412867553,158.36626994979073,1610.632274569686,0.0,0.0,3,4,0,UZB,0.0,165.74987653723423,888.8559357424066,10320.371774647683,1464575.2935926272,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000272_1,4885205B3120252971084,1,Surxondaryo Region,0.0,29.21329412867553,158.36626994979073,1610.6322745696862,0.0,0.0,3,4,0,UZB,0.0,327.7807463944615,1436.5429900896097,20990.67903557448,2215690.244295096,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
