system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000100000000000000de_0,32282491B7486560380604,1,Sanma,20.307995897074978,571.0151633436517,0.05493766775391266,167.51756623528314,1.1648953860917803,310.484669649853,1,1,3,VUT,94.03606220616722,1566.1260123146294,1.8723771033918157,11513.248348184332,28877.084287410773,5.366398742152195,3478.8053337521083,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000de_1,32282491B7486560380604,1,Sanma,20.307995897074978,571.0151633436518,0.05493766775391266,167.51756623528314,1.1648953860917803,310.48466964985306,1,1,3,VUT,156.76647772702077,2646.9939013081803,3.0295172775164247,19539.421792151763,49033.80374540531,8.869988897267511,5904.04491144995,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000de_2,32282491B7486560380604,1,Sanma,0.0,0.0,0.0,0.0,31.9430517219007,410.4166534249653,0,0,1,VUT,0.0,0.0,0.0,0.0,49033.80374540532,0.0,1111.3940601144495,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000df_0,32282491B8417950609019,1,Torba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,3967.636111307188,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000df_1,32282491B8417950609019,1,Torba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,6068.04430265179,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000df_2,32282491B8417950609019,1,Torba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,6068.0443026517905,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e0_0,32282491B78905986242135,1,Penama,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,19474.65636679482,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e0_1,32282491B78905986242135,1,Penama,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,27429.28124906784,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e0_2,32282491B78905986242135,1,Penama,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,27429.281249067837,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e1_0,32282491B5439526076152,1,Malampa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,22370.696191645922,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e1_1,32282491B5439526076152,1,Malampa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,29866.85669542421,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e1_2,32282491B5439526076152,1,Malampa,0.0,0.0,0.0,0.0,152.66365652949932,1596.5276079312769,0,0,3,VUT,0.0,0.0,0.0,0.0,29866.856695424212,69.91793520704789,13851.458431528528,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e2_0,32282491B17169683382430,1,Shefa Province,0.0,0.0,0.0,0.0,1.7794674170696563,192.32410715123748,0,0,1,VUT,0.0,0.0,0.0,0.0,43405.419001795926,42.62310688692857,15828.117807842054,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e2_1,32282491B17169683382430,1,Shefa Province,0.0,72.99865179817539,0.0,0.0,1.7794674170696563,192.3241071512375,1,0,1,VUT,0.0,1136.2384450546376,0.0,0.0,85788.24496719458,84.06103403042344,30521.347937057726,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e2_2,32282491B17169683382430,1,Shefa Province,0.0,0.0,0.0,0.0,213.42569307424128,621.1422583811606,0,0,1,VUT,0.0,0.0,0.0,0.0,85788.24496719458,301.2817941820249,79325.18802151203,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e3_0,32282491B61228346728599,1,Tafea,29.61224765330553,398.67487015719803,0.0,0.0,0.0,0.0,1,0,0,VUT,0.6321660429239273,921.2301440164447,0.0,0.0,27235.330549995677,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e3_1,32282491B61228346728599,1,Tafea,29.61224765330553,398.67487015719803,0.0,0.0,0.0,0.0,1,0,0,VUT,0.8082916811108589,1218.625990960747,0.0,0.0,36162.4274762554,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e3_2,32282491B61228346728599,1,Tafea,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,36162.4274762554,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
