system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000100000000000000de_0,32282491B7486560380604,1,Sanma,20.31500079423993,508.29621317766095,0.050341762310149626,137.076799794166,1.158587995054675,281.9820310882202,1,1,3,VUT,53.55962231216459,1232.5963921484934,4.340115514689801,9384.084036947554,22964.127254309773,18.73782860855846,2021.4740731517275,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000de_1,32282491B7486560380604,1,Sanma,20.31500079423993,508.2962131776609,0.050341762310149626,137.07679979416596,1.158587995054675,281.98203108822014,1,1,3,VUT,77.58730108982282,1933.835148883747,10.876264479581048,15304.160869364623,38158.77128764935,59.408691784096696,3524.580914109789,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000de_2,32282491B7486560380604,1,Sanma,0.0,0.0,0.0,0.0,31.930962118320167,374.8994572028043,0,0,1,VUT,0.0,0.0,0.0,0.0,38158.77128764937,39.67970411898568,800.7414153995038,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000df_0,32282491B8417950609019,1,Torba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,2870.3180539854025,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000df_1,32282491B8417950609019,1,Torba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,4562.03145531798,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000df_2,32282491B8417950609019,1,Torba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,4562.0314553179805,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e0_0,32282491B78905986242135,1,Penama,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,14901.433997416292,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e0_1,32282491B78905986242135,1,Penama,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,20417.323641692816,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e0_2,32282491B78905986242135,1,Penama,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,20417.323641692816,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e1_0,32282491B5439526076152,1,Malampa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,16567.1680696271,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e1_1,32282491B5439526076152,1,Malampa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,22076.003425745977,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e1_2,32282491B5439526076152,1,Malampa,0.0,0.0,0.0,0.0,152.76706793059904,1455.0610717889613,0,0,3,VUT,0.0,0.0,0.0,0.0,22076.00342574598,395.12609477738766,11274.650043901165,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e2_0,32282491B17169683382430,1,Shefa Province,0.0,0.0,0.0,0.0,1.8174524686281004,207.78725011591234,0,0,1,VUT,0.0,0.0,0.0,0.0,35869.526245486195,55.76097317986629,3462.0154904561523,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e2_1,32282491B17169683382430,1,Shefa Province,0.0,107.36101092726871,0.0,0.0,1.8174524686281004,207.78725011591237,1,0,1,VUT,0.0,1567.3454471287937,0.0,0.0,75960.19379782064,92.51175580208793,7564.190723248154,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e2_2,32282491B17169683382430,1,Shefa Province,0.0,0.0,0.0,0.0,213.37099478486925,593.2255697685822,0,0,1,VUT,0.0,0.0,0.0,0.0,75960.19379782061,566.1379509875551,70615.19949713738,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e3_0,32282491B61228346728599,1,Tafea,29.56094964314252,369.28398452212707,0.0,0.0,0.0,0.0,1,0,0,VUT,20.716903787106276,428.3825275062672,0.0,0.0,21260.53618712907,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e3_1,32282491B61228346728599,1,Tafea,29.56094964314252,369.2839845221271,0.0,0.0,0.0,0.0,1,0,0,VUT,16.14850239106454,586.2780821392395,0.0,0.0,27104.54671495513,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000100000000000000e3_2,32282491B61228346728599,1,Tafea,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,VUT,0.0,0.0,0.0,0.0,27104.54671495514,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
