system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000002cf_0,18629408B48104637123824,1,San?a?,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1323592.6295941877,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cf_1,18629408B48104637123824,1,San?a?,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,2360359.0639626277,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cf_2,18629408B48104637123824,1,San?a?,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,2360359.0639626286,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d0_0,18629408B64822604790923,1,San?a? Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,607918.5230899851,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d0_1,18629408B64822604790923,1,San?a? Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1078428.7774490486,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d0_2,18629408B64822604790923,1,San?a? Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1078428.7774490493,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d1_0,18629408B46389326189415,1,Lahij Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,556589.9973071867,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d1_1,18629408B46389326189415,1,Lahij Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,964063.4277604262,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d1_2,18629408B46389326189415,1,Lahij Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,964063.4277604265,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d2_0,18629408B11945654439238,1,?Adan Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,405350.7660985079,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d2_1,18629408B11945654439238,1,?Adan Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,745190.5076626597,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d2_2,18629408B11945654439238,1,?Adan Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,745190.5076626596,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d3_0,18629408B71394624267216,1,Al Hudaydah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1601186.8294199605,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d3_1,18629408B71394624267216,1,Al Hudaydah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,2802420.7813036344,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d3_2,18629408B71394624267216,1,Al Hudaydah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,2802420.781303635,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d4_0,18629408B66245584752084,1,Ta'izz Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1849584.1102812048,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d4_1,18629408B66245584752084,1,Ta'izz Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,3166376.801239518,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d4_2,18629408B66245584752084,1,Ta'izz Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,3166376.801239518,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d5_0,18629408B8528421017910,1,Shabwah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,362912.9190669438,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d5_1,18629408B8528421017910,1,Shabwah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,624815.95250188,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d5_2,18629408B8528421017910,1,Shabwah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,624815.9525018797,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d6_0,18629408B49078263925584,1,Hadhramaut,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,751349.9716983531,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d6_1,18629408B49078263925584,1,Hadhramaut,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1326056.0806944142,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d6_2,18629408B49078263925584,1,Hadhramaut,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1326056.0806944165,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d7_0,18629408B92684990065302,1,Abyan Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,333069.69331642136,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d7_1,18629408B92684990065302,1,Abyan Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,584184.4722199586,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d7_2,18629408B92684990065302,1,Abyan Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,584184.4722199583,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d8_0,18629408B7407331306690,1,Al Jawf Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,343741.0486162689,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d8_1,18629408B7407331306690,1,Al Jawf Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,580684.4576241255,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d8_2,18629408B7407331306690,1,Al Jawf Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,580684.4576241258,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d9_0,18629408B5376796402494,1,Ibb Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1649815.0204750728,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d9_1,18629408B5376796402494,1,Ibb Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,2803209.293940105,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d9_2,18629408B5376796402494,1,Ibb Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,2803209.2939401055,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002da_0,18629408B74393010790481,1,Al Bayda' Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,446489.20749347634,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002da_1,18629408B74393010790481,1,Al Bayda' Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,762266.5957743127,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002da_2,18629408B74393010790481,1,Al Bayda' Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,762266.5957743129,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002db_0,18629408B11680885550387,1,Ad Dali' Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,362918.52273974346,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002db_1,18629408B11680885550387,1,Ad Dali' Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,628051.5457326805,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002db_2,18629408B11680885550387,1,Ad Dali' Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,628051.5457326802,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dc_0,18629408B38984328739410,1,Al Mahwit Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,381740.87045465654,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dc_1,18629408B38984328739410,1,Al Mahwit Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,656934.5509011582,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dc_2,18629408B38984328739410,1,Al Mahwit Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,656934.5509011582,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dd_0,18629408B52441229698015,1,Sa'dah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,531913.8446116158,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dd_1,18629408B52441229698015,1,Sa'dah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,915217.2721043315,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dd_2,18629408B52441229698015,1,Sa'dah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,915217.2721043318,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002de_0,18629408B8726373480353,1,Hajjah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1144197.1920050476,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002de_1,18629408B8726373480353,1,Hajjah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1955605.4014127885,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002de_2,18629408B8726373480353,1,Hajjah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1955605.4014127883,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002df_0,18629408B61413037281915,1,Dhamar Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1026910.4175971842,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002df_1,18629408B61413037281915,1,Dhamar Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,YEM,0.0,0.0,0.0,0.0,1758915.3857263848,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
