system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000524_0,92566538B14190085014946,1,Centre,0.0,0.0,0.0,0.0,305.3687655982361,919.430841296115,0,0,2,BFA,0.0,0.0,0.0,0.0,1219999.2258450708,4161.617114497871,941599.764655841,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000524_1,92566538B14190085014946,1,Centre,0.0,0.0,0.0,0.0,372.9442997705448,1174.1952417002626,0,0,4,BFA,0.0,0.0,0.0,0.0,3314072.829673862,14121.398572161523,2840136.3200498456,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000524_2,92566538B14190085014946,1,Centre,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,3314072.8296738635,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000525_0,92566538B5930876876994,1,Boucle du Mouhoun,0.0,189.97120611886038,616.4758962343939,1137.291826937519,1117.9659416583129,5167.692691393101,1,1,21,BFA,0.0,1370.4946452974177,209.1356763774529,78696.39179065003,1300095.9937489906,2133.4860004240754,201451.21263763143,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000525_1,92566538B5930876876994,1,Boucle du Mouhoun,637.1541078580799,2629.8532796019213,616.4758962343939,1137.291826937519,712.8464882830194,4297.602600444458,2,1,24,BFA,6513.657826248275,141510.2302296868,385.4970565745607,128326.69698027938,1907431.6423774469,2959.514111092274,238564.47923565755,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000525_2,92566538B5930876876994,1,Boucle du Mouhoun,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1907431.6423774464,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000526_0,92566538B65696039363280,1,Cascades,0.0,0.0,0.0,121.4211603483806,1810.6633475884503,7349.380915634211,0,1,15,BFA,0.0,0.0,0.0,355.963704098016,407688.2582227777,3712.1414902535907,213573.51548829305,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000526_1,92566538B65696039363280,1,Cascades,1142.2132995543418,1176.4503038942669,0.0,121.42116034838058,1821.489584116404,7267.116629147171,1,1,18,BFA,86.85251507667058,28539.793612011,0.0,1362.5311994887888,1013567.6602593648,13175.07582583703,581099.8777975815,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000526_2,92566538B65696039363280,1,Cascades,0.0,0.0,0.0,0.0,2.375681624444676,989.8663307431866,0,0,3,BFA,0.0,0.0,0.0,0.0,1013567.6602593649,0.12351132556796074,5082.419663809378,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000527_0,92566538B37033565003987,1,Centre-Est,1.052717551377182,935.5116952957511,0.0,27.30779563739677,6.320730704018006,1098.9186037948027,5,1,3,BFA,0.0,35685.40616663314,0.0,37.985483911195224,967565.1745710784,118.87130695953965,62568.00868021157,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000527_1,92566538B37033565003987,1,Centre-Est,1.052717551377182,935.5116952957511,0.0,27.30779563739677,203.05732350757748,2944.6940882401364,5,1,9,BFA,0.0,64874.72279059348,0.0,16.867037543402436,1656600.383278335,11279.14020612414,352863.65797613835,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000527_2,92566538B37033565003987,1,Centre-Est,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1656600.3832783347,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000528_0,92566538B59117792838125,1,Centre-Nord,0.0,0.0,0.0,0.0,29.574226866684416,1791.9608665384976,0,0,6,BFA,0.0,0.0,0.0,0.0,1052913.290341378,79.79543676884735,106345.0784756638,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000528_1,92566538B59117792838125,1,Centre-Nord,0.0,0.0,0.0,0.0,304.4875729703107,4100.98477335692,0,0,11,BFA,0.0,0.0,0.0,0.0,1706839.1394578316,34663.903247483264,423996.8986075503,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000528_2,92566538B59117792838125,1,Centre-Nord,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1706839.1394578326,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000529_0,92566538B57875752774417,1,Centre-Ouest,0.0,65.66633017347269,430.15556976890514,1165.6255618564053,1197.0231077714436,3580.656190016625,2,3,12,BFA,0.0,7.8697251818343705,11.758203725210008,17464.789068291044,1080045.738399743,3019.3302428067536,128262.78906208348,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000529_1,92566538B57875752774417,1,Centre-Ouest,635.5784584713332,1306.759964643868,430.1555697689052,1165.6255618564055,560.2068592885072,2345.5210709948165,3,3,13,BFA,2763.594003314386,102538.89739393965,11.841387113380957,39885.46032249762,1671877.3593899184,4398.939995737746,109097.48006012235,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000529_2,92566538B57875752774417,1,Centre-Ouest,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1671877.3593899189,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052a_0,92566538B49759193106183,1,Centre-Sud,0.01539399426284374,527.1367409504073,1269.0619646099087,2721.7828052703694,1229.9611850089884,2104.8348328416473,5,2,6,BFA,0.0,10077.671738788584,188.72407713654798,83563.12662420244,579759.8072321366,18237.94554885695,147656.8276928377,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052a_1,92566538B49759193106183,1,Centre-Sud,0.01539399426284374,527.1367409504073,1269.0619646099085,2721.7828052703694,1315.8453865081656,2619.10298539465,5,2,10,BFA,0.0,25560.486546988355,108.69580645015573,151116.75459818586,831199.1273091765,23891.78981507767,259761.6408089436,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052a_2,92566538B49759193106183,1,Centre-Sud,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,831199.1273091763,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052b_0,92566538B57532963969301,1,Est,2454.7257698749577,2717.8168168902735,2597.2158718155474,3350.1873168027214,1251.772317878902,2208.110764742489,5,5,2,BFA,7414.946845987026,42767.46264697293,225.1803406744611,26212.0489192996,1002697.8474321157,405.9451843770221,20952.806538239536,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052b_1,92566538B57532963969301,1,Est,2159.326265631561,2121.579873147081,4870.31995331132,5310.809721921854,395.1911643892307,3122.701756812318,5,7,14,BFA,34517.726016052795,119107.25140677652,2257.9926522368164,127546.71733202101,1962547.0125792164,2770.3395436024293,160949.88833157558,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052b_2,92566538B57532963969301,1,Est,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1962547.0125792164,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052c_0,92566538B19127906733451,1,Hauts-Bassins,0.0,129.21833059187685,6.546556022197154,400.36553985294245,1687.0580054723057,8288.466062806197,3,1,25,BFA,0.0,1478.7940543048924,0.0,7742.7497711051765,1211444.959130964,1665.2928031155566,732483.1592164796,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052c_1,92566538B19127906733451,1,Hauts-Bassins,0.0,129.21833059187685,6.546556022197154,400.36553985294245,1687.0580054723057,8288.466062806196,3,1,25,BFA,0.0,2265.9962647118077,0.0,11340.924144774552,2597212.735539064,3352.622596942469,1665927.1931380418,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052c_2,92566538B19127906733451,1,Hauts-Bassins,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,2597212.735539065,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052d_0,92566538B60283727543208,1,Nord,0.0,0.0,0.0,0.0,23.836618798752042,1096.395571645291,0,0,3,BFA,0.0,0.0,0.0,0.0,1044200.2929608915,23.697049878537655,53161.8078711401,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052d_1,92566538B60283727543208,1,Nord,0.0,0.0,0.0,0.0,127.2344780872302,1935.8961381540396,0,0,5,BFA,0.0,0.0,0.0,0.0,1572124.6845617124,5175.340460822209,111067.05481601,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052d_2,92566538B60283727543208,1,Nord,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1572124.6845617131,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052e_0,92566538B74906977122081,1,Plateau Central,0.0,0.0,0.0,0.0,424.0008018150596,2135.3412208989703,0,0,7,BFA,0.0,0.0,0.0,0.0,630813.5507331325,11874.294238234685,88802.62262792575,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052e_1,92566538B74906977122081,1,Plateau Central,0.0,0.0,0.0,0.0,424.24978780530245,2415.5263318537714,0,0,11,BFA,0.0,0.0,0.0,0.0,909980.1609716131,16682.11476579991,172777.38482654974,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052e_2,92566538B74906977122081,1,Plateau Central,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,909980.1609716133,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
