system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000524_0,92566538B14190085014946,1,Centre,0.0,0.0,0.0,0.0,305.3273254145338,865.7464601013589,0,0,2,BFA,0.0,0.0,0.0,0.0,1026219.4958274135,22572.959573816082,681877.006568056,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000524_1,92566538B14190085014946,1,Centre,0.0,0.0,0.0,0.0,372.9244938016851,1172.9009701044208,0,0,4,BFA,0.0,0.0,0.0,0.0,3620022.7712067156,89051.51174391655,3160970.1440486494,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000524_2,92566538B14190085014946,1,Centre,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,3620022.771206715,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000525_0,92566538B5930876876994,1,Boucle du Mouhoun,0.0,168.81024470173702,616.3677134648768,1136.4802984465864,1119.365889491042,5141.987299335696,1,1,21,BFA,0.0,1334.5984584380014,10860.640772630246,50179.10401130266,1092210.6374904253,27642.841043029028,175254.73765262146,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000525_1,92566538B5930876876994,1,Boucle du Mouhoun,627.1970141473316,2582.9942416692406,616.3677134648768,1136.4802984465862,722.4161750413001,4169.536099897421,2,1,24,BFA,19186.258669678806,113328.5308692713,11399.614676457206,80879.74412784827,1660354.7969041183,32328.105360033995,226252.5574909806,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000525_2,92566538B5930876876994,1,Boucle du Mouhoun,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1660354.7969041178,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000526_0,92566538B65696039363280,1,Cascades,0.0,0.0,0.0,128.87007268690232,1810.455912813749,7304.6174090462,0,1,15,BFA,0.0,0.0,0.0,2566.024602198191,341279.49892540136,13855.263018662725,151441.05295775316,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000526_1,92566538B65696039363280,1,Cascades,1144.1434643381767,1199.007400797136,0.0,128.87007268690232,1821.1268691020487,7163.690542976982,1,1,18,BFA,26516.916361796077,41538.82941560312,0.0,3863.4619755115,976160.5270903333,67276.84168671377,460004.2934140423,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000526_2,92566538B65696039363280,1,Cascades,0.0,0.0,0.0,0.0,2.3400412340849344,980.8571453879607,0,0,3,BFA,0.0,0.0,0.0,0.0,976160.5270903334,46.525695009734115,26100.894647302346,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000527_0,92566538B37033565003987,1,Centre-Est,1.0531854221670358,928.9209652363342,0.0,13.743976304895593,7.294403218481617,1078.573834957124,5,1,3,BFA,22.346594160108594,31655.556176218422,0.0,341.2859143348886,816653.811250676,512.8392732441425,69061.52671652354,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000527_1,92566538B37033565003987,1,Centre-Est,1.0531854221670358,928.9209652363343,0.0,13.743976304895593,206.36284010337263,2862.082721350006,5,1,9,BFA,30.45070452561565,56608.578634118094,0.0,492.3382795169073,1476485.740681957,24121.95938615495,307056.20216673333,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000527_2,92566538B37033565003987,1,Centre-Est,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1476485.7406819582,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000528_0,92566538B59117792838125,1,Centre-Nord,0.0,0.0,0.0,0.0,29.48553269523762,1765.6734041397008,0,0,6,BFA,0.0,0.0,0.0,0.0,883882.4437011617,2054.942267645691,111233.36437206158,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000528_1,92566538B59117792838125,1,Centre-Nord,0.0,0.0,0.0,0.0,305.0257732604941,4020.6284323540244,0,0,11,BFA,0.0,0.0,0.0,0.0,1491046.683692181,36331.05399245235,394338.27196075814,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000528_2,92566538B59117792838125,1,Centre-Nord,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1491046.6836921806,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000529_0,92566538B57875752774417,1,Centre-Ouest,0.0,72.88525518206332,430.3292992132844,1116.2466228555743,1218.0501717987418,3535.521238365137,2,3,12,BFA,0.0,843.2223152651068,3577.238320886855,20366.071270901255,905496.337588036,20956.30633911905,90016.10853629137,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000529_1,92566538B57875752774417,1,Centre-Ouest,632.3832652795805,1235.780736557734,430.3292992132844,1116.246622855574,582.3526755509752,2379.206305526642,3,3,13,BFA,16717.294806726073,72760.28562809095,14608.111346139598,51584.828456569885,1469088.9731826582,16640.739132181043,101748.77409452612,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000529_2,92566538B57875752774417,1,Centre-Ouest,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1469088.9731826587,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052a_0,92566538B49759193106183,1,Centre-Sud,0.019204949843240723,555.4363154625959,1269.1794711173532,2776.8244895360126,1212.5481562597824,2065.7702540453447,5,2,6,BFA,0.6969754901878973,19729.200632841552,17854.5619763068,90974.3555183648,486339.1881802212,26575.642208945552,104045.58959179325,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052a_1,92566538B49759193106183,1,Centre-Sud,0.019204949843240723,555.4363154625959,1269.1794711173527,2776.824489536012,1293.5351663698095,2563.7765401431598,5,2,10,BFA,0.9132612038476795,32611.673524484973,37353.21908699426,148296.98320614148,750623.196769801,68047.12837533976,211088.64990635338,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052a_2,92566538B49759193106183,1,Centre-Sud,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,750623.196769801,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052b_0,92566538B57532963969301,1,Est,2467.8958758442686,2684.158962884013,2597.1210545737654,3279.9700083838015,1261.5900204749778,2232.977381699894,5,5,2,BFA,10698.83798717175,32431.73284605009,9218.233722781353,44352.72322911259,843010.5052187005,7381.949094044045,27989.732404258422,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052b_1,92566538B57532963969301,1,Est,2193.138283809742,2152.1416272195315,4870.205684067298,5193.660777548858,378.97386766783893,3146.717485330257,5,7,14,BFA,50050.80800607143,81436.41342763057,73890.37612554799,147432.40378908825,1747054.9708717586,7804.373807374388,111179.63468320349,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052b_2,92566538B57532963969301,1,Est,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1747054.970871758,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052c_0,92566538B19127906733451,1,Hauts-Bassins,0.0,132.2703631912778,6.523376965248846,432.08137435606665,1685.4328629487834,8179.316565506332,3,1,25,BFA,0.0,3104.9095996928418,79.2126827334072,9332.060307217433,1015599.9684201292,61059.23766931505,476762.6133966838,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052c_1,92566538B19127906733451,1,Hauts-Bassins,0.0,132.2703631912778,6.523376965248846,432.0813743560666,1685.4328629487836,8179.31656550633,3,1,25,BFA,0.0,5340.479604766183,119.06318746659103,19678.728820044063,2125391.938982971,124877.07981377016,1073736.1365819194,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052c_2,92566538B19127906733451,1,Hauts-Bassins,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,2125391.9389829715,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052d_0,92566538B60283727543208,1,Nord,0.0,0.0,0.0,0.0,23.8070665938451,1066.6510877724445,0,0,3,BFA,0.0,0.0,0.0,0.0,876877.1841362785,1156.5541530502778,60371.657131856184,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052d_1,92566538B60283727543208,1,Nord,0.0,0.0,0.0,0.0,127.35218777406378,1889.665620547113,0,0,5,BFA,0.0,0.0,0.0,0.0,1368842.8964812334,4939.036599548307,111877.50058423048,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052d_2,92566538B60283727543208,1,Nord,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1368842.8964812334,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052e_0,92566538B74906977122081,1,Plateau Central,0.0,0.0,0.0,0.0,424.2106779491676,2049.1384862142486,0,0,7,BFA,0.0,0.0,0.0,0.0,528060.4983879905,18332.751318707073,108533.94483750265,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052e_1,92566538B74906977122081,1,Plateau Central,0.0,0.0,0.0,0.0,424.5179097792609,2369.175049659683,0,0,11,BFA,0.0,0.0,0.0,0.0,786205.9506090875,28526.251257181924,203478.46688342793,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052e_2,92566538B74906977122081,1,Plateau Central,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,786205.9506090876,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052f_0,92566538B81581720767285,1,Sahel,18153.33415577384,3838.219341606598,0.0,0.0,0.0,0.0,1,0,1,BFA,279772.4555456096,101672.51307097045,0.0,0.0,676948.5654451621,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052f_1,92566538B81581720767285,1,Sahel,18183.99322440821,3807.5602729722314,0.0,0.0,12.676635505357648,755.5831511488477,2,0,5,BFA,544914.7273063541,187187.46579315054,0.0,0.0,1278830.946590722,374.62625253270653,27603.86758683581,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052f_2,92566538B81581720767285,1,Sahel,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,1278830.9465907207,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000530_0,92566538B26761698110708,1,Sud-Ouest,470.11824633424703,1399.229887096131,0.0,71.59614029809394,929.2207739078752,2074.6537498279085,2,1,8,BFA,12498.00397578621,71261.66572440758,0.0,4185.074026231672,456206.58489411423,13526.222634558966,46125.33639314308,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000530_1,92566538B26761698110708,1,Sud-Ouest,470.118246334247,1399.229887096131,0.0,71.59614029809394,929.2207739078751,2074.653749827909,2,1,8,BFA,18680.44929064255,97772.59003556593,0.0,4650.170140553338,799223.2886063525,27413.610940848026,98484.06801317603,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000530_2,92566538B26761698110708,1,Sud-Ouest,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,BFA,0.0,0.0,0.0,0.0,799223.2886063526,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
