system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00010000000000000191_0,26024454B17172096462676,1,Beni,1512.539870419112,6465.951771954455,39.384115055448135,2166.2176794636994,30673.855117992294,21521.149924244943,7,3,20,BOL,929.9232150577009,9558.392827126412,0.0,771.4254366233945,415951.62633184856,70288.63557861879,159059.92456473855,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000191_1,26024454B17172096462676,1,Beni,1512.539870419112,6465.951771954455,39.384115055448135,2166.2176794636994,36682.18251940683,26111.72877602166,7,3,24,BOL,1191.4820825522766,10206.213114983531,0.0,852.8560728058219,497944.76623335213,88889.8585755923,222098.0807324468,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000191_2,26024454B17172096462676,1,Beni,0.0,0.0,0.0,0.0,2351.159518279395,6474.82292200001,0,0,3,BOL,0.0,0.0,0.0,0.0,497944.7662333521,120515.80788693856,10817.837748929858,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000192_0,26024454B30905576957948,1,Chuquisaca,0.0,0.0,0.0,0.0,675.1143644928093,2347.132177046887,0,0,3,BOL,0.0,0.0,0.0,0.0,560840.8197435293,198907.4006204456,35174.694811402995,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000192_1,26024454B30905576957948,1,Chuquisaca,0.0,0.0,0.26871137218732466,289.88258111724883,3913.5828044434065,8751.244585774568,0,1,13,BOL,0.0,0.0,0.0,7.861810608219136,637170.2310070156,295989.3474461688,80191.96778723155,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000192_2,26024454B30905576957948,1,Chuquisaca,0.0,536.088051492571,0.0,0.0,0.0,166.43912321183393,1,0,1,BOL,0.0,27.995906590484083,0.0,0.0,637170.2310070157,0.0,1469.8378338997563,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000193_0,26024454B59884138823050,1,Cochabamba,0.0,0.0,0.0,0.0,13677.836702243678,15253.85748216089,0,0,15,BOL,0.0,0.0,0.0,0.0,1511428.492689864,84482.19657554074,1048125.9051463229,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000193_1,26024454B59884138823050,1,Cochabamba,0.0,0.0,0.0,0.0,16039.628455642005,16381.803219009416,0,0,26,BOL,0.0,0.0,0.0,0.0,2091574.485311085,585225.5018260643,1207085.6394080094,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000193_2,26024454B59884138823050,1,Cochabamba,0.0,0.0,0.0,0.0,0.0,568.4676365696695,0,0,1,BOL,0.0,0.0,0.0,0.0,2091574.4853110851,0.0,241.88986061885953,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00010000000000000194_0,26024454B78392246351569,1,La Paz,2293.73214612143,4072.140791789037,10.921349511704612,2202.1950066678187,23935.019893728397,15368.975594970509,3,1,39,BOL,516.734157955274,14389.154954837635,0.0,6.553124491125345,2441758.7376234955,35132.63778696128,1562475.112942279,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
