system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000572_0,27767025B11866847137657,1,Centre,0.0,0.0,2464.650013615487,1653.3412655609932,0.0,0.0,0,1,0,CMR,0.0,0.0,2636.7741948732955,2851.525984410448,2204952.3223876567,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000572_1,27767025B11866847137657,1,Centre,0.0,0.0,3438.683287576882,3617.525073222751,138.4968836922454,1400.5081618493311,0,2,2,CMR,0.0,0.0,6705.599175221793,10229.272047958244,5001706.555609149,2364.398013683197,39676.18562826614,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000572_2,27767025B11866847137657,1,Centre,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CMR,0.0,0.0,0.0,0.0,5001706.555609148,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000573_0,27767025B65184844379073,1,Far North,19.76375894835036,459.03550809253306,1490.3312200363725,3553.1102566486443,0.0,0.0,1,3,0,CMR,414.0284899883411,9769.678297502618,25256.528016880155,169182.29221077918,2289480.8158348855,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000573_1,27767025B65184844379073,1,Far North,1734.0461197862214,1382.6322966143086,1490.3312200363725,3553.1102566486443,4682.633569884808,1032.4091414698269,2,3,2,CMR,51520.136548447335,99759.9371347763,44809.05976802111,303732.6213749904,4060611.576201338,333162.78039456595,131821.9220708876,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000573_2,27767025B65184844379073,1,Far North,0.0,0.0,0.0,0.0,0.0,106.13685397872446,0,0,1,CMR,0.0,0.0,0.0,0.0,4060611.5762013365,0.0,23775.940854607143,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000574_0,27767025B7666404469333,1,North,0.0,0.0,7344.762746306976,8116.483566542093,0.0,0.0,0,3,0,CMR,0.0,0.0,29051.31097260926,57553.57595285096,1175379.1112819856,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000574_1,27767025B7666404469333,1,North,0.0,0.0,7407.805295849372,9232.520835117955,0.0,0.0,0,5,0,CMR,0.0,0.0,53207.17980962593,146990.44442423986,2635111.6020129006,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000574_2,27767025B7666404469333,1,North,0.0,0.0,0.0,0.0,0.0,153.46737702790574,0,0,1,CMR,0.0,0.0,0.0,0.0,2635111.6020129016,0.0,25338.51245632776,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000575_0,27767025B74489197250691,1,North-West,1.5173985958756768,1007.9721403445208,0.0,0.0,0.0,0.0,1,0,0,CMR,36.41090750150821,10932.663882945812,0.0,0.0,1332001.94624716,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000575_1,27767025B74489197250691,1,North-West,23.596093032527353,1422.4982050159033,982.6283959835256,2457.266799098768,0.0,0.0,4,1,0,CMR,1484.2893136814237,144295.3297302917,17463.686484926664,74664.03569419788,1988806.4467079306,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
